category 1; category 2; p-value; effect-size 1-2 ; effect-size 2-1 
 top_15_20  ;  top_10_15 ; < 0.01 ;  0.41 ;  0.59  
 top_20_25  ;  top_10_15 ; < 0.01 ;  0.36 ;  0.64  
 top_25_30  ;  top_10_15 ; < 0.01 ;  0.35 ;  0.65  
 top_30_35  ;  top_10_15 ; < 0.01 ;  0.33 ;  0.67  
 top_35_40  ;  top_10_15 ; < 0.01 ;  0.29 ;  0.71  
 top_40_45  ;  top_10_15 ; < 0.01 ;  0.28 ;  0.72  
 top_45_50  ;  top_10_15 ; < 0.01 ;  0.36 ;  0.64  
 top_5  ;  top_10_15 ; < 0.01 ;  0.89 ;  0.11  
 top_50_100  ;  top_10_15 ; < 0.01 ;  0.37 ;  0.63  
 top_5_10  ;  top_10_15 ; < 0.01 ;  0.6 ;  0.4  
 top_20_25  ;  top_15_20 ;  0.0435 ;  0.45 ;  0.55  
 top_25_30  ;  top_15_20 ; < 0.01 ;  0.43 ;  0.57  
 top_30_35  ;  top_15_20 ; < 0.01 ;  0.42 ;  0.58  
 top_35_40  ;  top_15_20 ; < 0.01 ;  0.37 ;  0.63  
 top_40_45  ;  top_15_20 ; < 0.01 ;  0.36 ;  0.64  
 top_45_50  ;  top_15_20 ;  0.0215 ;  0.45 ;  0.55  
 top_5  ;  top_15_20 ; < 0.01 ;  0.92 ;  0.08  
 top_50_100  ;  top_15_20 ; invalid ;  0.47 ;  0.53  
 top_5_10  ;  top_15_20 ; < 0.01 ;  0.68 ;  0.32  
 top_25_30  ;  top_20_25 ; invalid ;  0.48 ;  0.52  
 top_30_35  ;  top_20_25 ; invalid ;  0.47 ;  0.53  
 top_35_40  ;  top_20_25 ; < 0.01 ;  0.42 ;  0.58  
 top_40_45  ;  top_20_25 ; < 0.01 ;  0.41 ;  0.59  
 top_45_50  ;  top_20_25 ; invalid ;  0.5 ;  0.5  
 top_5  ;  top_20_25 ; < 0.01 ;  0.94 ;  0.06  
 top_50_100  ;  top_20_25 ; invalid ;  0.52 ;  0.48  
 top_5_10  ;  top_20_25 ; < 0.01 ;  0.72 ;  0.28  
 top_30_35  ;  top_25_30 ; invalid ;  0.48 ;  0.52  
 top_35_40  ;  top_25_30 ; < 0.01 ;  0.43 ;  0.57  
 top_40_45  ;  top_25_30 ; < 0.01 ;  0.42 ;  0.58  
 top_45_50  ;  top_25_30 ; invalid ;  0.51 ;  0.49  
 top_5  ;  top_25_30 ; < 0.01 ;  0.94 ;  0.06  
 top_50_100  ;  top_25_30 ;  0.0291 ;  0.54 ;  0.46  
 top_5_10  ;  top_25_30 ; < 0.01 ;  0.73 ;  0.27  
 top_35_40  ;  top_30_35 ; < 0.01 ;  0.45 ;  0.55  
 top_40_45  ;  top_30_35 ; < 0.01 ;  0.44 ;  0.56  
 top_45_50  ;  top_30_35 ; invalid ;  0.53 ;  0.47  
 top_5  ;  top_30_35 ; < 0.01 ;  0.94 ;  0.06  
 top_50_100  ;  top_30_35 ; < 0.01 ;  0.55 ;  0.45  
 top_5_10  ;  top_30_35 ; < 0.01 ;  0.75 ;  0.25  
 top_40_45  ;  top_35_40 ; invalid ;  0.49 ;  0.51  
 top_45_50  ;  top_35_40 ; < 0.01 ;  0.58 ;  0.42  
 top_5  ;  top_35_40 ; < 0.01 ;  0.95 ;  0.05  
 top_50_100  ;  top_35_40 ; < 0.01 ;  0.61 ;  0.39  
 top_5_10  ;  top_35_40 ; < 0.01 ;  0.78 ;  0.22  
 top_45_50  ;  top_40_45 ; < 0.01 ;  0.59 ;  0.41  
 top_5  ;  top_40_45 ; < 0.01 ;  0.95 ;  0.05  
 top_50_100  ;  top_40_45 ; < 0.01 ;  0.62 ;  0.38  
 top_5_10  ;  top_40_45 ; < 0.01 ;  0.79 ;  0.21  
 top_5  ;  top_45_50 ; < 0.01 ;  0.93 ;  0.07  
 top_50_100  ;  top_45_50 ; invalid ;  0.52 ;  0.48  
 top_5_10  ;  top_45_50 ; < 0.01 ;  0.72 ;  0.28  
 top_50_100  ;  top_5 ; < 0.01 ;  0.06 ;  0.94  
 top_5_10  ;  top_5 ; < 0.01 ;  0.15 ;  0.85  
 top_5_10  ;  top_50_100 ; < 0.01 ;  0.71 ;  0.29  

