category 1; category 2; p-value; effect-size 1-2 ; effect-size 2-1 
 top_15_20  ;  top_10_15 ; invalid ;  0.44 ;  0.56  
 top_20_25  ;  top_10_15 ; < 0.01 ;  0.39 ;  0.61  
 top_25_30  ;  top_10_15 ; < 0.01 ;  0.38 ;  0.62  
 top_30_35  ;  top_10_15 ; < 0.01 ;  0.35 ;  0.65  
 top_35_40  ;  top_10_15 ; < 0.01 ;  0.34 ;  0.66  
 top_40_45  ;  top_10_15 ; < 0.01 ;  0.16 ;  0.84  
 top_45_50  ;  top_10_15 ; < 0.01 ;  0.24 ;  0.76  
 top_5  ;  top_10_15 ; < 0.01 ;  0.61 ;  0.39  
 top_50_100  ;  top_10_15 ; < 0.01 ;  0.33 ;  0.67  
 top_5_10  ;  top_10_15 ;  0.0119 ;  0.57 ;  0.43  
 top_20_25  ;  top_15_20 ;  0.0395 ;  0.44 ;  0.56  
 top_25_30  ;  top_15_20 ; < 0.01 ;  0.42 ;  0.58  
 top_30_35  ;  top_15_20 ; < 0.01 ;  0.39 ;  0.61  
 top_35_40  ;  top_15_20 ; < 0.01 ;  0.37 ;  0.63  
 top_40_45  ;  top_15_20 ; < 0.01 ;  0.13 ;  0.87  
 top_45_50  ;  top_15_20 ; < 0.01 ;  0.24 ;  0.76  
 top_5  ;  top_15_20 ; < 0.01 ;  0.65 ;  0.35  
 top_50_100  ;  top_15_20 ; < 0.01 ;  0.35 ;  0.65  
 top_5_10  ;  top_15_20 ; < 0.01 ;  0.62 ;  0.38  
 top_25_30  ;  top_20_25 ; invalid ;  0.48 ;  0.52  
 top_30_35  ;  top_20_25 ;  0.0168 ;  0.44 ;  0.56  
 top_35_40  ;  top_20_25 ; < 0.01 ;  0.42 ;  0.58  
 top_40_45  ;  top_20_25 ; < 0.01 ;  0.14 ;  0.86  
 top_45_50  ;  top_20_25 ; < 0.01 ;  0.25 ;  0.75  
 top_5  ;  top_20_25 ; < 0.01 ;  0.67 ;  0.33  
 top_50_100  ;  top_20_25 ; < 0.01 ;  0.4 ;  0.6  
 top_5_10  ;  top_20_25 ; < 0.01 ;  0.66 ;  0.34  
 top_30_35  ;  top_25_30 ; invalid ;  0.46 ;  0.54  
 top_35_40  ;  top_25_30 ; < 0.01 ;  0.43 ;  0.57  
 top_40_45  ;  top_25_30 ; < 0.01 ;  0.14 ;  0.86  
 top_45_50  ;  top_25_30 ; < 0.01 ;  0.25 ;  0.75  
 top_5  ;  top_25_30 ; < 0.01 ;  0.68 ;  0.32  
 top_50_100  ;  top_25_30 ; < 0.01 ;  0.41 ;  0.59  
 top_5_10  ;  top_25_30 ; < 0.01 ;  0.67 ;  0.33  
 top_35_40  ;  top_30_35 ; invalid ;  0.47 ;  0.53  
 top_40_45  ;  top_30_35 ; < 0.01 ;  0.14 ;  0.86  
 top_45_50  ;  top_30_35 ; < 0.01 ;  0.27 ;  0.73  
 top_5  ;  top_30_35 ; < 0.01 ;  0.69 ;  0.31  
 top_50_100  ;  top_30_35 ; < 0.01 ;  0.45 ;  0.55  
 top_5_10  ;  top_30_35 ; < 0.01 ;  0.69 ;  0.31  
 top_40_45  ;  top_35_40 ; < 0.01 ;  0.15 ;  0.85  
 top_45_50  ;  top_35_40 ; < 0.01 ;  0.28 ;  0.72  
 top_5  ;  top_35_40 ; < 0.01 ;  0.7 ;  0.3  
 top_50_100  ;  top_35_40 ; invalid ;  0.47 ;  0.53  
 top_5_10  ;  top_35_40 ; < 0.01 ;  0.7 ;  0.3  
 top_45_50  ;  top_40_45 ; < 0.01 ;  0.59 ;  0.41  
 top_5  ;  top_40_45 ; < 0.01 ;  0.84 ;  0.16  
 top_50_100  ;  top_40_45 ; < 0.01 ;  0.8 ;  0.2  
 top_5_10  ;  top_40_45 ; < 0.01 ;  0.85 ;  0.15  
 top_5  ;  top_45_50 ; < 0.01 ;  0.79 ;  0.21  
 top_50_100  ;  top_45_50 ; < 0.01 ;  0.68 ;  0.32  
 top_5_10  ;  top_45_50 ; < 0.01 ;  0.78 ;  0.22  
 top_50_100  ;  top_5 ; < 0.01 ;  0.29 ;  0.71  
 top_5_10  ;  top_5 ;  0.0364 ;  0.44 ;  0.56  
 top_5_10  ;  top_50_100 ; < 0.01 ;  0.71 ;  0.29  

