"display_name","count","id_user","category","class","class2"
WYSIWYG,878,"8,774",top_5,top_5,outstanding
Remi.b,470,"9,386",top_5,top_5,outstanding
MattDMo,374,"7,565",top_5,top_5,outstanding
AliceD,367,"13,299",top_5,top_5,outstanding
anongoodnurse,345,"10,214",top_5,top_5,outstanding
A__,287,"10,932",no_participation,ordinary,ordinary
canadianer,270,"11,103",top_5,top_5,outstanding
terdon,255,"7,885",top_5,top_5,outstanding
fileunderwater,244,"9,006",top_5,top_5,outstanding
AMR,240,"16,227",top_5,top_5,outstanding
user137,196,"9,878",top_5,top_5,outstanding
shigeta,149,"9,014",top_5,top_5,outstanding
jamesqf,121,"13,922",top_5,top_5,outstanding
kmm,105,"6,802",top_5,top_5,outstanding
biogirl,93,"8,998",top_5,top_5,outstanding
theforestecologist,71,"16,394",top_5,top_5,outstanding
Armatus,68,"7,435",top_5,top_5,outstanding
inf3rno,61,"9,065",top_5,top_5,outstanding
JM97,60,"18,566",top_5,top_5,outstanding
iayork,51,"17,472",top_5,top_5,outstanding
AlexDeLarge,48,"20,136",top_5,top_5,outstanding
Bez,46,"11,273",top_5,top_5,outstanding
bobthejoe,46,"7,064",top_5,top_5,outstanding
jonsca,44,"6,753",top_5,top_5,outstanding
Amory,41,"9,381",top_5,top_5,outstanding
Polisetty,39,"18,336",top_5,top_5,outstanding
CMosychuk,37,"14,034",top_5,top_5,outstanding
Oreotrephes,37,"9,261",top_5,top_5,outstanding
tomd,37,"7,737",top_5,top_5,outstanding
Probably,36,"10,957",top_5,top_5,outstanding
har-wradim,36,"9,752",top_5,top_5,outstanding
mdperry,35,"14,879",top_5,top_5,outstanding
dustin,34,"14,057",top_5,top_5,outstanding
Superbest,33,"7,198",top_5,top_5,outstanding
dd3,33,"8,533",top_5,top_5,outstanding
Luigi,33,"13,208",top_5,top_5,outstanding
arboviral,32,"19,912",top_5,top_5,outstanding
mgkrebbs,32,"6,918",top_5,top_5,outstanding
rumtscho,31,"8,124",top_5,top_5,outstanding
RHA,28,"17,620",top_5,top_5,outstanding
cagliari2005,28,"14,785",top_5,top_5,outstanding
Konrad,28,"22,218",top_50_100,ordinary,ordinary
vonjd,27,"13,497",top_5,top_5,outstanding
tel,27,"7,416",top_5,top_5,outstanding
Resonating,27,"9,387",top_5,top_5,outstanding
augurar,26,"13,855",top_5,top_5,outstanding
rhill45,26,"10,904",top_5,top_5,outstanding
swbarnes2,26,"10,175",top_5,top_5,outstanding
CDB,25,"14,529",top_5,top_5,outstanding
rwst,25,"7,726",top_5,top_5,outstanding
aaaaaa,24,"14,576",top_5,top_5,outstanding
Corvus,24,"14,197",top_5,top_5,outstanding
ddiez,23,"12,594",top_5,top_5,outstanding
