"display_name","count","id_user","category","class","class2"
orthocresol,562,"37,163",top_5,top_5,outstanding
Mithoron,530,"34,465",top_5,top_5,outstanding
MaxW,402,"39,440",top_5,top_5,outstanding
ron,318,"31,528",top_5,top_5,outstanding
Dissenter,248,"32,198",top_5,top_5,outstanding
permeakra,220,"29,235",top_5,top_5,outstanding
bon,200,"34,625",top_5,top_5,outstanding
Zhe,180,"46,240",top_5,top_5,outstanding
DavePhD,168,"32,257",top_5,top_5,outstanding
jerepierre,149,"31,592",top_5,top_5,outstanding
Loong,127,"33,720",top_5,top_5,outstanding
porphyrin,127,"43,702",top_5,top_5,outstanding
airhuff,116,"49,629",top_5,top_5,outstanding
Wildcat,101,"28,971",top_5,top_5,outstanding
LordStryker,93,"28,802",top_5,top_5,outstanding
LDC3,92,"32,073",top_5,top_5,outstanding
Marko,87,"33,067",top_5,top_5,outstanding
matt_black,81,"28,869",top_5,top_5,outstanding
Jori,76,"30,440",top_5,top_5,outstanding
jonsca,75,"28,861",top_5,top_5,outstanding
hBy2Py,74,"34,756",top_5,top_5,outstanding
DHMO,73,"45,548",top_5,top_5,outstanding
Lighthart,61,"29,921",top_5,top_5,outstanding
Georg,55,"28,892",top_5,top_5,outstanding
F'x,51,"28,818",top_5,top_5,outstanding
ssavec,47,"30,850",top_5,top_5,outstanding
Tyberius,46,"51,583",top_5,top_5,outstanding
getafix,41,"36,724",top_5,top_5,outstanding
ringo,39,"36,260",top_5,top_5,outstanding
tschoppi,37,"31,213",top_5,top_5,outstanding
chipbuster,37,"30,608",top_5,top_5,outstanding
Aesin,37,"28,827",top_5,top_5,outstanding
Buttonwood,36,"30,357",top_5,top_5,outstanding
A.K.,35,"40,299",top_5,top_5,outstanding
aventurin,35,"41,191",top_5,top_5,outstanding
Mockingbird,32,"42,378",top_5,top_5,outstanding
bobthechemist,32,"30,181",top_5,top_5,outstanding
user1420303,31,"35,666",top_5,top_5,outstanding
long,30,"30,917",top_5,top_5,outstanding
Freddy,30,"32,502",top_5,top_5,outstanding
santiago,29,"40,037",top_50_100,ordinary,ordinary
Beerhunter,29,"37,194",top_5,top_5,outstanding
Michiel,29,"29,995",top_5,top_5,outstanding
pentavalentcarbon,29,"28,979",top_5,top_5,outstanding
DSVA,28,"47,547",top_5,top_5,outstanding
R.M.,28,"34,958",top_5,top_5,outstanding
CHM,28,"28,866",top_5,top_5,outstanding
Nanoputian,26,"38,118",top_5,top_5,outstanding
JM97,25,"40,544",top_5,top_5,outstanding
thomij,25,"32,643",top_5,top_5,outstanding
Aug,24,"33,092",top_5,top_5,outstanding
vapid,24,"44,264",top_5,top_5,outstanding
ManishEarth,24,"28,810",top_5,top_5,outstanding
mannaia,23,"31,230",top_5,top_5,outstanding
bonCodigo,22,"33,313",top_5,top_5,outstanding
Sparkler,22,"34,569",top_5,top_5,outstanding
user137,21,"28,924",top_5,top_5,outstanding
SendersReagent,21,"40,239",top_5,top_5,outstanding
TAR86,21,"49,251",top_5,top_5,outstanding
RobChem,21,"32,883",top_5,top_5,outstanding
Waylander,20,"51,712",top_5,top_5,outstanding
Canageek,20,"28,908",top_5,top_5,outstanding
iad22agp,20,"32,594",top_5,top_5,outstanding
Fl.pf.,19,"47,378",top_5,top_5,outstanding
LievenB,19,"30,636",top_5,top_5,outstanding
trb456,19,"29,219",top_5,top_5,outstanding
electronpusher,19,"48,893",top_5,top_5,outstanding
uhoh,17,"36,687",top_5,top_5,outstanding
f'',17,"43,515",top_5,top_5,outstanding
paracetamol,16,"45,307",top_5,top_5,outstanding
Eliza,16,"31,020",top_5,top_5,outstanding
FreezingFire,16,"41,874",top_5,top_5,outstanding
xavier_fakerat,16,"51,911",top_5,top_5,outstanding
j__,16,"41,051",no_participation,ordinary,ordinary
Saad,16,"36,114",top_50_100,ordinary,ordinary
ChemExchange,16,"36,137",top_5,top_5,outstanding
user26143,15,"31,046",top_5,top_5,outstanding
Geoff,15,"33,259",no_participation,ordinary,ordinary
Babounet,15,"34,579",top_5,top_5,outstanding
jheindel,15,"37,811",top_5,top_5,outstanding
sixtytrees,15,"44,650",top_5,top_5,outstanding
cbeleites,14,"28,946",top_5,top_5,outstanding
yasir,14,"36,106",top_5,top_5,outstanding
curious_cat,14,"35,104",top_5,top_5,outstanding
DSinghvi,14,"32,478",top_5,top_5,outstanding
Adroit,14,"46,518",top_10_15,top_10_15,outstanding
user2617804,13,"31,007",top_5,top_5,outstanding
gannex,13,"42,438",top_5,top_5,outstanding
Oscar,13,"47,269",no_participation,ordinary,ordinary
Hexacoordinate-C,13,"36,149",top_5,top_5,outstanding
hey,13,"51,653",top_35_40,ordinary,ordinary
user223679,13,"36,601",top_5,top_5,outstanding
PLD,12,"29,044",top_5,top_5,outstanding
gilleain,12,"31,854",top_5,top_5,outstanding
Atticus283blink,12,"40,400",top_20_25,ordinary,ordinary
yolo123,12,"33,145",top_5,top_5,outstanding
Variax,12,"29,347",top_5,top_5,outstanding
a-cyclohexane-molecule,11,"39,762",top_5,top_5,outstanding
mhchem,11,"40,604",top_5,top_5,outstanding
SteffX,11,"44,774",top_5,top_5,outstanding
A---B,11,"44,447",top_5,top_5,outstanding
Ruslan,11,"30,650",top_5_10,top_5_10,outstanding
jjgoings,11,"31,178",top_5,top_5,outstanding
jlandercy,11,"31,238",top_5,top_5,outstanding
Don_S,11,"46,937",top_5,top_5,outstanding
ashu,10,"30,432",top_5,top_5,outstanding
kaliaden,10,"29,956",top_5,top_5,outstanding
t.c,10,"33,872",top_5,top_5,outstanding
khaverim,10,"37,991",top_5,top_5,outstanding
Nij,10,"41,839",top_5,top_5,outstanding
NeilRoy,10,"33,299",top_5,top_5,outstanding
surelyourejoking,9,"33,617",top_5,top_5,outstanding
halcyon,9,"31,141",top_5,top_5,outstanding
manshu,9,"39,953",top_5,top_5,outstanding
Simon-Nail-It,9,"34,318",top_5,top_5,outstanding
feetwet,9,"32,417",top_5,top_5,outstanding
ShankRam,9,"39,024",top_5,top_5,outstanding
gsurfer04,9,"31,797",top_5,top_5,outstanding
zwol,9,"32,060",top_5,top_5,outstanding
Yandle,9,"33,852",top_5,top_5,outstanding
user1945827,9,"35,417",top_5,top_5,outstanding
MSalters,9,"33,197",top_5_10,top_5_10,outstanding
CTKlein,9,"30,542",top_5,top_5,outstanding
rumtscho,9,"29,032",top_5_10,top_5_10,outstanding
bpedit,8,"46,107",top_5,top_5,outstanding
Anixx,8,"34,368",top_5,top_5,outstanding
LiamH,8,"37,840",top_5_10,top_5_10,outstanding
Juha,8,"28,931",top_5,top_5,outstanding
ericksonla,8,"31,928",top_5,top_5,outstanding
Luaan,8,"36,390",top_5,top_5,outstanding
FinnTheHuman,8,"44,690",top_5_10,top_5_10,outstanding
