"id_user","entropy","layer_1","layer_2","layer_3","layer_4","class","class2"
"6,701",0.5623351446,3,0,4,0,ordinary,ordinary
"6,704",10.5733470886,164,133,165,223,top_5,outstanding
"6,707",2.5665989181,6,1,0,16,top_5,outstanding
"6,710",8.0939702755,18,18,31,36,top_5,outstanding
"6,712",0,1,0,0,1,top_10_15,outstanding
"6,714",0.6931471806,1,2,0,0,top_10_15,outstanding
"6,715",1.5916598152,0,8,1,9,top_5_10,outstanding
"6,716",0,3,3,0,0,top_10_15,outstanding
"6,717",0.6931471806,0,0,2,1,top_10_15,outstanding
"6,720",1.0986122887,0,0,0,3,ordinary,ordinary
"6,721",2.3693821197,1,0,2,12,top_5,outstanding
"6,722",8.2687710046,25,32,27,63,top_5,outstanding
"6,723",0,0,2,0,0,top_5_10,outstanding
"6,725",9.0176456245,107,51,96,198,top_5,outstanding
"6,726",4.2225507981,4,5,3,3,top_5_10,outstanding
"6,728",3.2618903939,8,5,3,5,top_5,outstanding
"6,731",5.5331715386,12,3,6,17,top_5,outstanding
"6,732",0,0,1,0,1,top_10_15,outstanding
"6,733",4.1809757617,11,2,4,13,top_5,outstanding
"6,734",2.0125694536,3,1,1,14,top_5_10,outstanding
"6,735",0.6365141683,3,1,0,0,top_5_10,outstanding
"6,738",1.7917594692,3,0,0,2,top_10_15,outstanding
"6,739",3.1780538303,4,0,3,4,top_5,outstanding
"6,740",9.5807738481,47,94,139,130,top_5,outstanding
"6,741",0.5982695886,0,5,7,0,top_5_10,outstanding
"6,742",2.0794415417,2,4,4,4,top_5,outstanding
"6,743",1.4298983731,4,0,6,0,top_10_15,outstanding
"6,745",7.4211931444,14,9,22,24,top_5,outstanding
"6,746",0.5297061991,0,5,9,0,top_10_15,outstanding
"6,747",3.1435669928,7,2,4,23,top_5,outstanding
"6,751",1.0986122887,0,0,3,1,ordinary,ordinary
"6,753",10.2982467364,109,156,205,199,top_5,outstanding
"6,754",0,1,0,1,0,top_10_15,outstanding
"6,755",7.9348690352,10,11,13,22,top_5,outstanding
"6,756",0.6931471806,0,2,4,0,ordinary,ordinary
"6,757",0.6931471806,1,1,1,2,top_5_10,outstanding
"6,758",5.570811882,8,6,6,7,top_5,outstanding
"6,759",0,1,0,1,1,ordinary,ordinary
"6,762",9.3675241257,74,72,60,45,top_5,outstanding
"6,763",5.8421412525,17,18,61,55,top_5,outstanding
"6,764",8.43479645,34,31,40,34,top_5,outstanding
"6,765",11.2668228194,223,180,325,265,top_5,outstanding
"6,768",7.1061417369,39,48,27,41,top_5,outstanding
"6,769",2.0228085294,4,3,8,2,top_10_15,outstanding
"6,772",0.6931471806,0,1,2,0,top_10_15,outstanding
"6,773",1.3862943611,1,2,1,2,top_5_10,outstanding
"6,774",1.7958914497,3,10,10,1,top_5,outstanding
"6,776",8.6064701663,67,74,52,94,top_5,outstanding
"6,777",0.6931471806,1,1,1,4,top_5_10,outstanding
"6,779",6.4246775025,24,13,15,17,top_5,outstanding
"6,780",0.6931471806,1,0,2,0,ordinary,ordinary
"6,781",8.5149899414,154,348,531,662,top_5,outstanding
"6,782",8.1360693713,12,32,46,42,top_5,outstanding
"6,784",0,1,0,1,1,ordinary,ordinary
"6,785",3.8741704034,4,2,3,10,top_5,outstanding
"6,786",0,1,0,1,1,ordinary,ordinary
"6,787",1.0986122887,3,0,0,3,top_5_10,outstanding
"6,790",3.4527069025,2,6,3,4,ordinary,ordinary
"6,791",2.9874396172,0,9,5,20,top_5,outstanding
"6,794",3.2168098346,5,4,6,3,top_5,outstanding
"6,796",0,0,0,1,0,ordinary,ordinary
"6,798",3.6442247177,24,25,9,23,top_5,outstanding
"6,799",1.6609474333,4,3,0,1,top_5_10,outstanding
"6,801",1.3862943611,1,1,2,2,ordinary,ordinary
"6,802",11.59870533,235,210,378,292,top_5,outstanding
"6,804",0,0,1,1,0,ordinary,ordinary
"6,805",9.5743694493,58,84,59,85,top_5,outstanding
"6,807",0.5623351446,4,1,2,1,top_5,outstanding
"6,808",11.9846252975,409,374,426,435,top_5,outstanding
"6,810",4.4223291487,8,14,6,8,top_5_10,outstanding
"6,813",1.6232822062,5,5,3,2,top_10_15,outstanding
"6,814",0,1,1,1,1,top_5_10,outstanding
"6,816",0,0,1,1,0,ordinary,ordinary
