"id_user","entropy","layer_1","layer_2","layer_3","layer_4","class","class2"
"28,795",8.2014777696,64,21,126,34,top_5,outstanding
"28,798",3.0149118076,1,2,24,8,top_5_10,outstanding
"28,799",8.031223223,15,22,36,16,top_5,outstanding
"28,800",4.477135544,6,2,25,9,top_5,outstanding
"28,802",8.792288836,162,154,423,54,top_5,outstanding
"28,803",0,1,0,0,0,top_10_15,outstanding
"28,804",1.2770342595,0,0,7,0,top_5,outstanding
"28,805",0.6931471806,0,1,2,0,ordinary,ordinary
"28,806",1.7917594692,0,0,6,0,top_10_15,outstanding
"28,809",3.2188205126,3,2,9,4,top_5,outstanding
"28,810",11.2994633254,298,130,337,91,top_5,outstanding
"28,811",2.4606108903,1,10,65,3,top_5,outstanding
"28,812",1.0008048471,1,5,5,4,ordinary,ordinary
"28,813",7.1958669705,33,8,29,15,top_5,outstanding
"28,816",0,1,0,1,0,top_5_10,outstanding
"28,817",1.0986122887,0,0,3,1,ordinary,ordinary
"28,818",11.6009800532,254,117,393,135,top_5,outstanding
"28,819",0.6931471806,0,0,1,2,ordinary,ordinary
"28,820",9.3888347702,57,22,52,26,top_5,outstanding
"28,822",1.6020559155,4,0,4,12,top_5_10,outstanding
"28,823",4.6655783055,9,0,11,5,top_5,outstanding
"28,824",0,2,2,1,0,top_5_10,outstanding
"28,826",0,2,2,0,0,ordinary,ordinary
"28,827",10.4431385715,103,66,185,58,top_5,outstanding
"28,830",2.3915047651,7,0,4,3,top_5_10,outstanding
"28,831",4.7831557909,11,2,8,5,top_5,outstanding
"28,833",3.1780538303,2,0,6,2,ordinary,ordinary
"28,835",4.7697848545,9,3,32,15,top_5,outstanding
"28,838",4.3388281634,5,3,9,2,top_5,outstanding
"28,840",0,1,0,1,0,top_5_10,outstanding
"28,841",1.6094379124,0,1,5,0,top_5,outstanding
"28,842",1.0986122887,0,0,6,0,top_10_15,outstanding
"28,845",7.0962837542,27,15,33,13,top_5,outstanding
"28,848",1.3296613489,3,2,4,0,top_10_15,outstanding
"28,849",5.9316851931,13,10,22,4,top_5,outstanding
"28,852",4.9027111286,6,15,46,5,top_5,outstanding
"28,853",4.2225507981,5,2,6,3,ordinary,ordinary
