"id_user","class","class2","modularity_class","citations","avg_part"
"6,701",ordinary,ordinary,25,0,2
"6,704",top_5,outstanding,25,0,1.2371541502
"6,707",top_5,outstanding,25,0,1.8333333333
"6,710",top_5,outstanding,25,7,1.4545454545
"6,712",top_10_15,outstanding,25,0,1
"6,714",top_10_15,outstanding,25,0,1
"6,715",top_5_10,outstanding,25,0,1.4444444444
"6,716",top_10_15,outstanding,25,0,3
"6,717",top_10_15,outstanding,25,0,1
"6,720",ordinary,ordinary,25,0,1
"6,721",top_5,outstanding,25,0,1.4
"6,722",top_5,outstanding,25,0,1.7222222222
"6,723",top_5_10,outstanding,25,0,2
"6,725",top_5,outstanding,25,0,2.0319148936
"6,726",top_5_10,outstanding,25,1,1.25
"6,728",top_5,outstanding,25,0,1.4
"6,731",top_5,outstanding,25,0,1.75
"6,732",top_10_15,outstanding,25,0,1
"6,733",top_5,outstanding,25,3,1.5
"6,734",top_5_10,outstanding,25,0,1.8
"6,735",top_5_10,outstanding,25,0,1
"6,738",top_10_15,outstanding,25,0,1
"6,739",top_5,outstanding,25,0,1.2
"6,740",top_5,outstanding,25,0,1.625
"6,741",top_5_10,outstanding,25,0,2.5
"6,742",top_5,outstanding,25,0,1.1666666667
"6,743",top_10_15,outstanding,25,0,2.25
"6,745",top_5,outstanding,25,1,1.347826087
"6,746",top_10_15,outstanding,24,2,3.5
"6,747",top_5,outstanding,25,0,1.8888888889
"6,751",ordinary,ordinary,25,0,1
"6,753",top_5,outstanding,25,44,1.564516129
"6,754",top_10_15,outstanding,25,0,1
"6,755",top_5,outstanding,25,2,1.2105263158
"6,756",ordinary,ordinary,25,0,2
"6,757",top_5_10,outstanding,25,0,1
"6,758",top_5,outstanding,25,0,1
"6,759",ordinary,ordinary,25,0,1
"6,762",top_5,outstanding,25,0,1.3896103896
"6,763",top_5,outstanding,25,1,1.475
"6,764",top_5,outstanding,25,0,1.4210526316
"6,765",top_5,outstanding,25,0,1.3172804533
"6,768",top_5,outstanding,25,15,1.6304347826
"6,769",top_10_15,outstanding,25,0,1.75
"6,772",top_10_15,outstanding,18,0,1
"6,773",top_5_10,outstanding,25,0,1
"6,774",top_5,outstanding,25,1,3.3333333333
"6,776",top_5,outstanding,25,10,1.630952381
"6,777",top_5_10,outstanding,25,1,1.3333333333
"6,779",top_5,outstanding,25,0,1.4210526316
"6,780",ordinary,ordinary,25,0,1
"6,781",top_5,outstanding,25,0,2.4775086505
"6,782",top_5,outstanding,17,0,1.2173913043
"6,784",ordinary,ordinary,22,0,1
"6,785",top_5,outstanding,25,0,1.5714285714
"6,786",ordinary,ordinary,25,0,1
"6,787",top_5_10,outstanding,25,1,1
"6,790",ordinary,ordinary,25,0,1.6
"6,791",top_5,outstanding,25,3,1.6
"6,794",top_5,outstanding,25,0,1.8333333333
"6,796",ordinary,ordinary,25,0,1
"6,798",top_5,outstanding,25,2,1.5
"6,799",top_5_10,outstanding,25,0,1
"6,801",ordinary,ordinary,35,0,1
"6,802",top_5,outstanding,25,105,1.2137931034
"6,804",ordinary,ordinary,25,0,1
"6,805",top_5,outstanding,25,0,1.2745098039
"6,807",top_5,outstanding,25,0,1.25
"6,808",top_5,outstanding,25,0,1.6710526316
"6,810",top_5_10,outstanding,25,0,2
"6,813",top_10_15,outstanding,25,0,2
"6,814",top_5_10,outstanding,25,0,1
"6,816",ordinary,ordinary,25,0,1
"6,819",top_5_10,outstanding,25,0,1.4444444444
"6,821",ordinary,ordinary,25,1,6
"6,822",top_5,outstanding,25,0,2.6666666667
"6,825",top_5_10,outstanding,25,1,2
"6,827",top_10_15,outstanding,25,0,1
"6,829",top_5,outstanding,25,8,1.5
"6,830",top_5,outstanding,25,0,1.8
"6,831",top_5_10,outstanding,25,0,1
"6,832",ordinary,ordinary,25,0,1
"6,835",ordinary,ordinary,25,0,1
"6,837",top_10_15,outstanding,25,0,1.2857142857
"6,838",top_5,outstanding,25,3,2.6551724138
"6,840",top_5_10,outstanding,25,3,1.7142857143
"6,841",top_5,outstanding,25,0,1.5
"6,843",ordinary,ordinary,25,0,1
"6,844",top_5,outstanding,25,0,1.34375
"6,846",top_5,outstanding,25,0,1.48
"6,849",top_5_10,outstanding,25,0,1
"6,850",top_5,outstanding,25,2,1.2352941176
"6,852",top_10_15,outstanding,22,0,1.6666666667
"6,853",top_10_15,outstanding,25,0,2
"6,856",top_5_10,outstanding,25,0,1
"6,858",top_5,outstanding,25,0,1.6347305389
"6,859",top_5_10,outstanding,25,0,1
"6,863",ordinary,ordinary,25,0,1
"6,864",top_5,outstanding,25,7,1.9411764706
"6,865",top_5_10,outstanding,25,3,2.5
"6,869",top_5,outstanding,25,10,1.5945945946
"6,872",top_10_15,outstanding,25,0,2
"6,876",top_5,outstanding,25,0,1.46875
"6,877",top_5,outstanding,25,5,2.4545454545
"6,879",ordinary,ordinary,18,0,2.5
"6,883",top_5,outstanding,25,0,1.1818181818
"6,885",ordinary,ordinary,25,0,3.5
"6,889",ordinary,ordinary,25,0,1
"6,890",ordinary,ordinary,25,0,1
"6,891",ordinary,ordinary,18,0,3
"6,892",top_5,outstanding,25,0,1.6470588235
"6,893",top_5,outstanding,25,0,2.1
"6,894",top_5,outstanding,25,0,2.25
"6,896",top_10_15,outstanding,25,1,2.2
"6,898",ordinary,ordinary,25,0,1
"6,899",ordinary,ordinary,25,0,1
"6,906",top_5,outstanding,25,8,1.5
"6,908",ordinary,ordinary,25,0,1
"6,909",top_5,outstanding,25,0,1.612244898
"6,910",top_5,outstanding,25,1,1.36
"6,911",top_5_10,outstanding,25,1,2.3333333333
"6,912",top_5_10,outstanding,25,1,2.5
"6,913",top_5,outstanding,25,9,1.4285714286
"6,915",ordinary,ordinary,0,0,1
"6,917",ordinary,ordinary,25,0,1
"6,918",top_5,outstanding,0,32,1.1842105263
"6,920",ordinary,ordinary,25,0,1.4285714286
"6,921",top_10_15,outstanding,25,0,2
"6,922",top_10_15,outstanding,25,0,1
"6,924",top_10_15,outstanding,25,0,1.5
"6,925",top_5,outstanding,25,0,1.4626865672
"6,926",top_5,outstanding,25,0,1.4418604651
"6,930",ordinary,ordinary,18,1,3
"6,932",top_5_10,outstanding,25,0,4
"6,933",top_10_15,outstanding,25,0,2
"6,936",ordinary,ordinary,25,0,1.5
"6,937",top_5_10,outstanding,25,0,1.75
"6,938",top_5,outstanding,25,0,1.0833333333
"6,939",ordinary,ordinary,25,0,1
"6,945",top_10_15,outstanding,25,2,1.3333333333
"6,947",ordinary,ordinary,0,3,1
"6,949",top_10_15,outstanding,25,0,2
"6,950",top_5,outstanding,25,0,1.1428571429
"6,951",ordinary,ordinary,25,0,1
"6,952",ordinary,ordinary,25,0,2
"6,962",top_5,outstanding,25,0,1
"6,963",top_5,outstanding,25,0,1.3333333333
"6,968",top_5,outstanding,22,0,1.7857142857
"6,969",ordinary,ordinary,25,1,2
"6,970",ordinary,ordinary,25,0,1
"6,972",ordinary,ordinary,25,0,1
"6,977",ordinary,ordinary,25,0,1
"6,978",ordinary,ordinary,0,0,2
"6,980",ordinary,ordinary,25,0,1.8
"6,981",top_5,outstanding,25,0,2
"6,983",top_5_10,outstanding,25,1,1.2857142857
"6,985",top_5,outstanding,25,0,4.3333333333
"6,986",top_10_15,outstanding,35,0,1
"6,989",top_5,outstanding,25,23,1.4788732394
"6,990",top_10_15,outstanding,25,0,3.5
"6,992",ordinary,ordinary,17,0,2
"6,994",ordinary,ordinary,25,0,1
"6,995",top_10_15,outstanding,25,0,1
"6,996",top_10_15,outstanding,25,1,4
"6,998",ordinary,ordinary,17,0,2
"6,999",ordinary,ordinary,25,0,1
"7,001",top_10_15,outstanding,25,0,2
"7,002",ordinary,ordinary,25,0,1
"7,003",ordinary,ordinary,25,0,1
"7,005",top_5_10,outstanding,25,1,4
"7,006",ordinary,ordinary,25,0,1
"7,008",top_5_10,outstanding,25,0,2
"7,012",top_10_15,outstanding,35,0,1
"7,014",ordinary,ordinary,25,0,1
"7,017",ordinary,ordinary,17,4,1.8
"7,019",top_5,outstanding,25,0,1.6759259259
"7,020",ordinary,ordinary,25,0,2
"7,021",top_5,outstanding,25,1,3
"7,022",ordinary,ordinary,18,0,1
"7,023",ordinary,ordinary,22,0,2
"7,025",top_10_15,outstanding,25,0,1.4545454545
"7,026",ordinary,ordinary,25,0,1
"7,028",top_5_10,outstanding,25,0,1.6
"7,030",top_5_10,outstanding,25,0,3.6
"7,032",ordinary,ordinary,25,0,1
"7,036",top_5_10,outstanding,25,0,2
"7,041",ordinary,ordinary,25,0,1
"7,043",top_5_10,outstanding,25,0,1
"7,044",top_5,outstanding,25,0,1.4090909091
"7,045",ordinary,ordinary,25,0,1
"7,049",ordinary,ordinary,0,0,1
"7,052",top_10_15,outstanding,25,0,3
"7,055",ordinary,ordinary,25,0,1
"7,056",ordinary,ordinary,18,0,1.5
"7,057",ordinary,ordinary,25,0,1
"7,062",ordinary,ordinary,25,0,1
"7,064",top_5,outstanding,25,46,1.6231884058
"7,066",ordinary,ordinary,25,0,3
"7,067",top_5,outstanding,25,0,4.5
"7,069",ordinary,ordinary,25,0,1
"7,071",top_5,outstanding,25,0,2.3333333333
"7,074",top_10_15,outstanding,25,4,3.3333333333
"7,077",top_10_15,outstanding,25,0,3
"7,079",ordinary,ordinary,25,0,3
"7,081",ordinary,ordinary,25,0,2
"7,082",top_5,outstanding,25,22,2.2542372881
"7,083",ordinary,ordinary,0,0,1
"7,084",top_5_10,outstanding,25,1,1.6
"7,085",ordinary,ordinary,25,0,1
"7,087",ordinary,ordinary,25,0,9
"7,089",top_10_15,outstanding,22,1,1.5714285714
"7,093",ordinary,ordinary,25,0,3
"7,094",top_10_15,outstanding,25,0,1
"7,095",ordinary,ordinary,25,0,1
"7,096",top_5_10,outstanding,25,0,1
"7,102",top_5,outstanding,25,0,1.8702290076
"7,104",ordinary,ordinary,22,0,1
"7,106",ordinary,ordinary,25,0,1
"7,107",top_5_10,outstanding,25,0,2
"7,108",ordinary,ordinary,25,0,1
"7,111",top_5,outstanding,25,0,1.2317073171
"7,112",top_5,outstanding,25,2,1.25
"7,113",ordinary,ordinary,25,0,1
"7,116",ordinary,ordinary,35,0,1
"7,117",top_5_10,outstanding,25,0,1
"7,119",ordinary,ordinary,22,0,1
"7,120",ordinary,ordinary,25,0,1
"7,123",top_5,outstanding,17,19,1.4315068493
"7,124",top_10_15,outstanding,18,7,2.1111111111
"7,125",ordinary,ordinary,25,0,2
"7,127",top_10_15,outstanding,25,0,2.5
"7,129",top_5,outstanding,25,1,1.8
"7,130",ordinary,ordinary,25,0,1
"7,131",top_10_15,outstanding,25,0,2
"7,133",ordinary,ordinary,25,2,1
"7,137",top_5,outstanding,25,2,1.1666666667
"7,139",top_10_15,outstanding,25,0,1
"7,144",ordinary,ordinary,0,0,1
