"id_user","class","class2","modularity_class","citations","avg_part"
"28,795",top_5,outstanding,44,0,1.3636363636
"28,798",top_5_10,outstanding,44,2,2.3333333333
"28,799",top_5,outstanding,44,0,1.3548387097
"28,800",top_5,outstanding,44,0,1.4545454545
"28,802",top_5,outstanding,44,93,1.8465608466
"28,804",top_5,outstanding,44,0,1.5
"28,805",ordinary,ordinary,9,0,1
"28,806",top_10_15,outstanding,44,1,1
"28,809",top_5,outstanding,44,0,1.4
"28,810",top_5,outstanding,44,24,1.641350211
"28,811",top_5,outstanding,44,0,3.3636363636
"28,812",ordinary,ordinary,44,0,2.5
"28,813",top_5,outstanding,44,6,1.3103448276
"28,817",ordinary,ordinary,56,0,1
"28,818",top_5,outstanding,44,51,1.4216027875
"28,819",ordinary,ordinary,44,0,1
"28,820",top_5,outstanding,44,0,1.4042553191
"28,822",top_5_10,outstanding,44,0,2.3333333333
"28,823",top_5,outstanding,44,0,1.4285714286
"28,824",top_5_10,outstanding,44,0,1
"28,826",ordinary,ordinary,44,0,2
"28,827",top_5,outstanding,44,37,1.301369863
"28,830",top_5_10,outstanding,44,0,2
"28,831",top_5,outstanding,44,0,1.3333333333
"28,833",ordinary,ordinary,44,0,1
"28,835",top_5,outstanding,44,0,2.1428571429
"28,838",top_5,outstanding,44,2,1.4285714286
"28,840",top_5_10,outstanding,44,0,1
"28,841",top_5,outstanding,44,0,1
"28,842",top_10_15,outstanding,46,0,2
"28,845",top_5,outstanding,44,2,1.52
"28,848",top_10_15,outstanding,16,0,1.3333333333
"28,849",top_5,outstanding,44,6,1.2105263158
"28,852",top_5,outstanding,44,0,1.8235294118
"28,853",ordinary,ordinary,9,0,1.2
"28,854",ordinary,ordinary,9,0,1
"28,855",ordinary,ordinary,44,0,1
"28,861",top_5,outstanding,44,75,1.3598014888
"28,862",top_5,outstanding,44,0,1.3333333333
"28,866",top_5,outstanding,44,28,1.5
"28,867",ordinary,ordinary,44,0,1
"28,869",top_5,outstanding,41,81,1.2841880342
"28,870",top_5_10,outstanding,44,0,1
"28,871",top_5,outstanding,44,0,3
"28,872",top_5,outstanding,44,0,1.4551282051
"28,873",top_5,outstanding,44,0,1
