"id_user","ari","characters","complexwords","syllables","sentences","words","count_i_usage","count_you_usage","count_she_he_usage","class","class2"
"6,699",12.3771538462,277,12.6923076923,98.9230769231,2.4615384615,54.9230769231,0,1,0,ordinary,ordinary
"6,701",6.121,492.25,16.25,171.5,6.5,109.25,16,1,1,ordinary,ordinary
"6,704",10.1814897959,366.8163265306,12.6428571429,127.7908163265,4.0051020408,81.1530612245,279,499,3,top_5,outstanding
"6,707",14.107,598.1666666667,20.1666666667,207.6666666667,5.3333333333,132.8333333333,15,6,0,top_5,outstanding
"6,710",10.0863783784,306.027027027,9.2432432432,104.5405405405,3.5945945946,67.2972972973,31,45,2,top_5,outstanding
"6,712",3.643,170,1,56,3,46,1,2,0,top_10_15,outstanding
"6,714",8.45,288,10,107.5,4,70,9,0,0,top_10_15,outstanding
"6,715",8.7257142857,290.1428571429,11,103.7142857143,3.4285714286,66.4285714286,17,0,0,top_5_10,outstanding
"6,716",9.909,381.3333333333,13,135.6666666667,4,84.6666666667,2,0,0,top_10_15,outstanding
"6,717",12.058,557,15,179,5,125,0,4,0,top_10_15,outstanding
"6,720",8.729,307,11,108,4,66,0,0,0,ordinary,ordinary
"6,721",16.673,661.8333333333,21.6666666667,227.3333333333,5.5,145.3333333333,7,0,0,top_5,outstanding
"6,722",9.70146,244.3,8.02,85.38,2.62,55.26,81,31,0,top_5,outstanding
"6,723",8.4055,117.5,3.5,43,2.5,29,1,0,0,top_5_10,outstanding
"6,725",8.6340863309,515.1294964029,18.2446043165,178.9568345324,5.7482014388,112.309352518,225,283,15,top_5,outstanding
"6,726",7.0968,308,10.2,110,4.2,71.6,5,0,0,top_5_10,outstanding
"6,728",10.7388,617.6,26.4,224,7.6,130.2,13,4,0,top_5,outstanding
"6,731",9.841,341.7058823529,12.7058823529,117.8823529412,3.4705882353,72.5294117647,9,23,4,top_5,outstanding
"6,732",13.316,343,16,121,3,70,0,0,0,top_10_15,outstanding
"6,733",10.2563333333,372.7333333333,13.6666666667,130.2,3.8666666667,80.3333333333,14,26,2,top_5,outstanding
"6,734",12.7091428571,176,7.8571428571,63.2857142857,2.2857142857,34,2,1,5,top_5_10,outstanding
"6,735",14.263,"1,302",46,463,10,288,0,1,0,top_5_10,outstanding
"6,738",7.6836666667,265,6,85.3333333333,3.6666666667,57.6666666667,1,1,0,top_10_15,outstanding
"6,739",7.135,272.4,9.4,96.8,3.6,59.2,6,1,0,top_5,outstanding
"6,740",10.1175298507,381.4925373134,13.8656716418,132.2313432836,4.1865671642,80.9029850746,207,141,6,top_5,outstanding
"6,741",5.5172,222.2,8.2,76.4,4,48.4,8,3,1,top_5_10,outstanding
"6,742",15.65625,"1,112.25",36.75,380,6.75,240.25,4,23,3,top_5,outstanding
"6,743",10.1515,118,4.25,41.25,1.5,26.5,16,1,0,top_10_15,outstanding
"6,745",9.6008571429,485.1428571429,17.6666666667,169.1428571429,5.8095238095,106.1428571429,25,52,0,top_5,outstanding
"6,746",6.5695,216.5,8,84,3,51,33,1,0,top_10_15,outstanding
"6,747",9.369375,476.25,14.75,163.1875,5.5625,107.25,18,16,0,top_5,outstanding
"6,753",10.0183706897,271.5818965517,9.3879310345,94.7586206897,2.7931034483,58.8534482759,247,229,21,top_5,outstanding
"6,754",7.03,325,15,117,5,72,0,0,0,top_10_15,outstanding
"6,755",11.7612777778,353.7222222222,12.8333333333,123,3.3888888889,76.5,3,6,0,top_5,outstanding
"6,756",7.9545,120.5,4,42,2,25.5,1,3,0,ordinary,ordinary
"6,757",3.6385,140.5,3.5,46,3,35,0,0,0,top_5_10,outstanding
"6,758",8.418,466.1,16.5,161.7,5.9,102.2,13,2,0,top_5,outstanding
"6,759",6.429,248,9,89,4,56,0,2,0,ordinary,ordinary
"6,762",13.2922527473,877.010989011,32.5604395604,304.1758241758,7.2527472527,182.6593406593,120,138,16,top_5,outstanding
"6,763",9.9823421053,531,18.7105263158,187.1842105263,5.3157894737,117.5526315789,88,128,3,top_5,outstanding
"6,764",8.2604666667,415.6666666667,15.7333333333,145.4333333333,5.2666666667,86.7,41,23,4,top_5,outstanding
"6,765",10.9507315634,309.3067846608,10.8171091445,107.3716814159,2.9410029499,66.8967551622,367,333,15,top_5,outstanding
"6,768",9.5988461538,713.3846153846,25.25,249.0192307692,8.0384615385,155.8461538462,108,102,3,top_5,outstanding
"6,769",12.7347692308,238.3076923077,9.3076923077,81.3076923077,2.0769230769,48.3846153846,9,4,3,top_10_15,outstanding
"6,772",9.902,891,35,319,10,194,1,0,0,top_10_15,outstanding
"6,773",8.696,220,7.5,82,3,48,0,0,0,top_5_10,outstanding
"6,774",7.6909,222.9,8.3,78.9,2.4,50.4,6,4,0,top_5,outstanding
"6,776",7.5513369565,328.7065217391,12.097826087,115.5326086957,4.1195652174,71.1630434783,92,35,4,top_5,outstanding
"6,777",13.6096666667,460.3333333333,14.6666666667,154,3.6666666667,104.3333333333,6,13,0,top_5_10,outstanding
"6,779",6.4340769231,245.6153846154,8.4615384615,88.1538461538,3.5384615385,54.4615384615,20,11,1,top_5,outstanding
"6,780",15.808,140,5,49,1,29,2,0,0,ordinary,ordinary
"6,781",8.0305322581,449.3790322581,17.0967741935,157.2540322581,5.9233870968,94.7903225806,"1,106",640,51,top_5,outstanding
"6,782",14.4086315789,706.4473684211,27.1578947368,253.4210526316,5.5789473684,152.5526315789,38,55,1,top_5,outstanding
"6,784",10.51,194,7,60,3,35,2,0,0,ordinary,ordinary
"6,785",7.0897,291,11.2,101.4,4.7,61.5,7,2,0,top_5,outstanding
"6,786",2.665,171,4.5,60.5,4,43,6,0,0,ordinary,ordinary
"6,787",17.092,940,24,320,6,214,2,0,5,top_5_10,outstanding
"6,790",2.6331666667,117.1666666667,3.1666666667,39.5,2.8333333333,26.3333333333,3,3,0,ordinary,ordinary
"6,791",7.054,350.5,11.1,119,5.3,79.4,42,6,0,top_5,outstanding
"6,794",13.1626,336.6,12.1,118,3.5,73.4,10,5,2,top_5,outstanding
"6,798",7.6027222222,375.75,14.4166666667,131.0555555556,4.5277777778,80.3055555556,31,7,2,top_5,outstanding
"6,799",9.5495,292,6.5,96.5,4,67.5,0,0,0,top_5_10,outstanding
"6,801",8.2065,81,3.5,28,1.5,16,0,0,0,ordinary,ordinary
"6,802",7.3885299145,277.8888888889,10.0683760684,97.1367521368,3.5897435897,59.7635327635,188,481,15,top_5,outstanding
"6,804",15.171,142,3,50,1,38,1,4,0,ordinary,ordinary
"6,805",9.248804878,270.1463414634,8.9634146341,93.9390243902,3.1341463415,60.1951219512,36,134,2,top_5,outstanding
"6,807",7.9386666667,256.3333333333,5.6666666667,86.6666666667,3,58.3333333333,4,1,0,top_5,outstanding
"6,808",9.740518797,329.5695488722,11.1748120301,113.9793233083,3.3364661654,72.0751879699,603,711,36,top_5,outstanding
"6,810",7.1413333333,347.4444444444,9.7777777778,120,4.1111111111,80.6666666667,23,20,0,top_5_10,outstanding
"6,813",5.4286,182.6,5,62.4,3.4,43.6,4,7,0,top_10_15,outstanding
"6,814",8.7615,250.5,6,83,3,58.5,4,0,0,top_5_10,outstanding
"6,816",6.372,209,3,75,3,51,0,0,0,ordinary,ordinary
"6,819",5.5498181818,373.4545454545,13.5454545455,130.3636363636,6.1818181818,83.8181818182,43,12,0,top_5_10,outstanding
