"id_user","ari","characters","complexwords","syllables","sentences","words","count_i_usage","count_you_usage","count_she_he_usage","class","class2"
"28,793",25.4267272727,936.0909090909,33.6363636364,333.1818181818,4.4545454545,220.9090909091,1,8,0,ordinary,ordinary
"28,795",9.0168552632,486,15.2631578947,168.1447368421,5.4868421053,109.6710526316,91,357,1,top_5,outstanding
"28,798",5.622,537.5,22.5,191,5.5,126.5,9,2,0,top_5_10,outstanding
"28,799",9.8863076923,444.5,13.6153846154,159.5384615385,3.9230769231,107.8846153846,48,38,0,top_5,outstanding
"28,800",12.1034375,832.6875,32.8125,292.625,6.375,179.1875,11,13,0,top_5,outstanding
"28,802",8.0994728682,431.511627907,15.7170542636,150.3527131783,5.3449612403,95.0658914729,438,504,9,top_5,outstanding
"28,803",10.979,400,18,143,4,88,0,0,0,top_10_15,outstanding
"28,804",2.553,117,2.5,39.5,3,28,3,1,0,top_5,outstanding
"28,805",9.422,445,16,161,5,101,1,1,0,ordinary,ordinary
"28,809",7.3772,355.2,12.8,129.4,4,85.4,4,8,0,top_5,outstanding
"28,810",7.8647710843,471.1686746988,15.6947791165,167.8232931727,5.6546184739,110.6265060241,382,418,10,top_5,outstanding
"28,811",4.3947647059,184.6470588235,4.3529411765,65.7647058824,3.4705882353,46.7647058824,41,17,0,top_5,outstanding
"28,812",5.9915,85.25,1,29.25,1.25,20.75,23,1,0,ordinary,ordinary
"28,813",9.645030303,499.7878787879,16.8181818182,172.6060606061,5.2121212121,112.6363636364,14,34,2,top_5,outstanding
"28,817",3.916,157.5,4.5,55,3,37.5,3,0,0,ordinary,ordinary
"28,818",12.7905286624,475.5668789809,17.7484076433,170.1082802548,4.2356687898,106.9267515924,349,484,4,top_5,outstanding
"28,820",10.14568,"1,038.18",38.42,369.3,10.64,228.76,83,145,9,top_5,outstanding
"28,822",7.97275,379.25,8.25,124.5,5.5,87,13,0,0,top_5_10,outstanding
"28,823",9.2192857143,344.4285714286,13.8571428571,121.5714285714,4.1428571429,72.5714285714,7,5,0,top_5,outstanding
"28,824",15.953,554,22,195,4,111,1,0,0,top_5_10,outstanding
"28,826",4.6895,202.5,6.5,78,3.5,52.5,5,0,0,ordinary,ordinary
"28,827",11.8483309859,406.9436619718,14.4929577465,143.4929577465,3.485915493,91.9225352113,151,360,2,top_5,outstanding
"28,830",9.7734285714,393.1428571429,16.2857142857,140,5,83.2857142857,12,5,0,top_5_10,outstanding
"28,831",11.6246666667,236.8888888889,9.4814814815,83.2592592593,2.7777777778,49,21,3,0,top_5,outstanding
"28,833",11.147,482,16,167,5,101,4,2,0,ordinary,ordinary
"28,835",9.28915,250.95,9,87.55,3.05,55.45,21,21,0,top_5,outstanding
"28,838",8.8457142857,315.8571428571,11.7142857143,113.8571428571,4,71.2857142857,13,4,0,top_5,outstanding
"28,840",7.933,360,18,135,5,79,1,0,0,top_5_10,outstanding
"28,841",13.009,801.5,29,278.5,6.5,186,5,0,0,top_5,outstanding
"28,842",11.199,"2,111",94.5,734,22.5,422,11,1,0,top_10_15,outstanding
"28,845",8.2944347826,310.7826086957,12,110.8260869565,3.8695652174,68.3913043478,46,15,0,top_5,outstanding
"28,848",2.5945,252.5,13,95.5,4,54,3,3,0,top_10_15,outstanding
"28,849",10.5835714286,399.6428571429,14.8571428571,141.7857142857,3.7142857143,88.9285714286,5,20,0,top_5,outstanding
"28,852",12.8514444444,890.1666666667,40.5,316.5555555556,7.6111111111,184.7222222222,10,28,0,top_5,outstanding
"28,853",9.528,288.8,8.4,99,3.2,65.4,8,4,2,ordinary,ordinary
"28,854",9.6376666667,387.6666666667,14,135.3333333333,5,83.6666666667,0,2,0,ordinary,ordinary
"28,855",8.62,251,6,89,3,58,0,0,0,ordinary,ordinary
"28,861",8.1505636856,163.2655826558,4.487804878,54.972899729,2.1382113821,37.2899728997,395,672,12,top_5,outstanding
"28,862",7.8875,638.8333333333,22.6666666667,224.3333333333,7.6666666667,145,34,4,0,top_5,outstanding
"28,866",7.472547619,352,12.619047619,125.5833333333,4.7023809524,79.7023809524,122,148,6,top_5,outstanding
"28,869",9.4347105263,432.2894736842,14.7583732057,148.6626794258,4.8875598086,94.1052631579,137,697,24,top_5,outstanding
"28,871",11.6930555556,"1,471.8333333333",48.8333333333,507.1666666667,13.25,327.3888888889,152,150,4,top_5,outstanding
"28,872",12.2113706294,603.3146853147,23.6643356643,214.034965035,5.2657342657,129.7062937063,237,249,4,top_5,outstanding
