"id","questions","answers","comments","reviews","class","class2"
"10,171",1,607,"1,894","1,429",top_5,outstanding
"9,386",193,647,"2,359","2,213",top_5,outstanding
"13,299",20,536,"2,029","3,865",top_5,outstanding
"8,774",14,735,"3,248","3,175",top_5,outstanding
"9,014",22,456,950,448,top_5,outstanding
"7,898",0,412,538,771,top_5,outstanding
"10,214",2,256,929,250,top_5,outstanding
"8,135",55,172,"1,001",971,top_5,outstanding
"9,006",1,218,963,"1,094",top_5,outstanding
"16,394",17,141,406,"1,031",top_5,outstanding
"7,565",10,205,"1,293",652,top_5,outstanding
"7,885",14,161,790,506,top_5,outstanding
"6,765",25,75,365,699,top_5,outstanding
"17,339",10,121,520,680,top_5,outstanding
"11,103",4,187,901,738,top_5,outstanding
"6,802",3,110,415,684,top_5,outstanding
"9,381",0,144,171,413,top_5,outstanding
"7,102",10,44,191,58,top_5,outstanding
"7,819",1,126,182,48,top_5,outstanding
"13,693",29,120,412,200,top_5,outstanding
"6,704",21,73,219,434,top_5,outstanding
"8,946",53,81,668,939,top_5,outstanding
"19,500",4,219,704,913,top_5,outstanding
"11,200",0,125,31,156,top_5,outstanding
"12,115",1,81,95,60,top_5,outstanding
"23,106",0,140,590,110,top_5,outstanding
"6,808",4,75,683,120,top_5,outstanding
"16,076",143,74,433,677,top_5,outstanding
"7,435",21,94,284,131,top_5,outstanding
"14,034",5,167,395,112,top_5,outstanding
"21,073",1,81,219,328,top_5,outstanding
"6,762",1,58,48,47,top_5,outstanding
"6,725",28,53,110,58,top_5,outstanding
"6,776",21,26,90,70,top_5,outstanding
"10,660",4,96,113,65,top_5,outstanding
"7,064",68,53,215,80,top_5,outstanding
"9,261",8,76,225,353,top_5,outstanding
"7,374",17,65,166,62,top_5,outstanding
"8,270",5,124,75,21,top_5,outstanding
"10,663",10,108,231,120,top_5,outstanding
"8,423",2,61,121,27,top_5,outstanding
"16,227",1,89,811,412,top_5,outstanding
"8,998",228,55,597,141,top_5,outstanding
"15,449",7,90,342,64,top_5,outstanding
"9,878",17,102,693,68,top_5,outstanding
"6,858",2,33,238,32,top_5,outstanding
"11,840",17,97,170,123,top_5,outstanding
"6,989",70,26,114,120,top_5,outstanding
"9,274",16,63,271,122,top_5,outstanding
"6,740",31,37,101,250,top_5,outstanding
"6,805",4,55,71,52,top_5,outstanding
"6,918",2,73,105,98,top_5,outstanding
"6,753",22,35,236,411,top_5,outstanding
"7,193",0,63,53,26,top_5,outstanding
"9,387",3,88,223,48,top_5,outstanding
"17,472",1,79,167,25,top_5,outstanding
"9,065",24,100,379,106,top_5,outstanding
"7,726",6,66,90,59,top_5,outstanding
"7,111",6,44,51,40,top_5,outstanding
"9,123",33,47,121,169,top_5,outstanding
"10,659",4,54,78,34,top_5,outstanding
"7,416",5,60,76,93,top_5,outstanding
"14,879",0,116,211,40,top_5,outstanding
"7,232",120,16,93,38,top_5,outstanding
"12,743",2,26,56,86,top_5,outstanding
"14,717",5,63,179,134,top_5,outstanding
"6,781",237,80,399,507,top_5,outstanding
"7,737",0,34,236,111,top_5,outstanding
"10,904",23,71,165,83,top_5,outstanding
"9,752",0,69,118,51,top_5,outstanding
"6,763",3,31,25,4,top_5,outstanding
"13,208",3,51,118,81,top_5,outstanding
"7,198",44,36,150,53,top_5,outstanding
"11,273",3,79,244,90,top_5,outstanding
"20,136",3,38,230,156,top_5,outstanding
"6,768",0,23,52,22,top_5,outstanding
"14,785",4,46,154,155,top_5,outstanding
"10,175",0,142,113,15,top_5,outstanding
"7,123",10,40,159,72,top_5,outstanding
"18,566",77,25,236,124,top_5,outstanding
"14,001",14,49,284,106,top_5,outstanding
"8,533",19,55,161,241,top_5,outstanding
"6,926",0,20,42,16,top_5,outstanding
"17,664",9,41,101,272,top_5,outstanding
"10,070",34,18,133,161,top_5,outstanding
"16,967",1,30,51,26,top_5,outstanding
"17,154",1,44,54,26,top_5,outstanding
"19,912",2,41,143,45,top_5,outstanding
"14,576",0,81,273,41,top_5,outstanding
"23,877",0,61,278,73,top_5,outstanding
"6,906",0,21,12,6,top_5,outstanding
"14,640",9,53,132,32,top_5,outstanding
"11,770",3,47,76,89,top_5,outstanding
"15,731",16,27,75,44,top_5,outstanding
"14,057",0,37,86,65,top_5,outstanding
"6,869",3,20,36,5,top_5,outstanding
"17,758",1,34,59,93,top_5,outstanding
"6,925",35,5,58,27,top_5,outstanding
"12,380",2,3,2,0,top_5,outstanding
"6,710",1,19,28,17,top_5,outstanding
"6,893",0,18,24,4,top_5,outstanding
"7,943",21,29,141,190,top_5,outstanding
"24,610",14,12,77,209,top_5,outstanding
"13,654",42,29,131,73,top_5,outstanding
"20,587",0,93,72,33,top_5,outstanding
"7,158",17,16,55,35,top_5,outstanding
"9,942",4,46,139,54,top_5,outstanding
"7,617",70,0,64,34,top_5,outstanding
"6,764",4,10,40,16,top_5,outstanding
"6,745",0,20,11,3,top_5,outstanding
"18,336",71,27,179,69,top_5,outstanding
"15,940",11,36,390,478,top_5,outstanding
"17,620",2,46,124,114,top_5,outstanding
"8,006",0,39,71,17,top_5,outstanding
"21,704",0,14,10,18,top_5,outstanding
"8,124",11,19,95,15,top_5,outstanding
"6,722",9,11,42,21,top_5,outstanding
"26,149",1,47,118,38,top_5,outstanding
"9,162",2,40,233,12,top_5,outstanding
"14,070",8,61,105,62,top_5,outstanding
"6,758",11,0,1,4,top_5,outstanding
"6,779",12,1,14,11,top_5,outstanding
"6,829",5,18,64,14,top_5,outstanding
"6,877",6,3,18,21,top_5,outstanding
"20,088",27,28,124,62,top_5,outstanding
"7,112",1,10,9,6,top_5,outstanding
"6,963",3,7,10,13,top_5,outstanding
"7,019",46,10,125,120,top_5,outstanding
"19,484",0,35,38,28,top_5,outstanding
"9,949",4,31,60,16,top_5,outstanding
"14,197",0,32,72,23,top_5,outstanding
"13,835",0,24,31,32,top_5,outstanding
"9,437",0,39,23,12,top_5,outstanding
"8,046",0,42,88,20,top_5,outstanding
"8,478",2,16,38,49,top_5,outstanding
"14,604",28,27,72,15,top_5,outstanding
"12,594",0,26,88,80,top_5,outstanding
"7,609",0,16,28,3,top_5,outstanding
"13,575",10,31,77,15,top_5,outstanding
"6,755",1,13,9,10,top_5,outstanding
"14,529",15,22,94,22,top_5,outstanding
"6,850",24,6,12,6,top_5,outstanding
"6,962",1,9,0,12,top_5,outstanding
"12,212",9,15,61,11,top_5,outstanding
"12,352",1,41,58,33,top_5,outstanding
"6,876",2,14,31,10,top_5,outstanding
"7,439",11,4,44,33,top_5,outstanding
"17,640",6,51,71,18,top_5,outstanding
"22,731",0,52,70,25,top_5,outstanding
"7,301",0,14,7,12,top_5,outstanding
"13,855",7,16,87,14,top_5,outstanding
"12,479",9,38,97,125,top_5,outstanding
"8,313",64,4,38,80,top_5,outstanding
"6,844",25,3,15,13,top_5,outstanding
"7,168",1,12,17,2,top_5,outstanding
"7,993",4,19,31,12,top_5,outstanding
"12,691",2,0,6,0,top_5,outstanding
"9,412",0,51,52,9,top_5,outstanding
"10,969",71,0,33,16,top_5,outstanding
"16,049",0,31,28,8,top_5,outstanding
"6,822",4,5,39,18,top_5,outstanding
"17,590",0,44,58,28,top_5,outstanding
"6,892",14,5,9,4,top_5,outstanding
"25,444",1,21,22,60,top_5,outstanding
"8,001",0,12,9,8,top_5,outstanding
"11,693",2,19,51,5,top_5,outstanding
"8,527",10,22,34,8,top_5,outstanding
"9,445",0,26,12,5,top_5,outstanding
"8,771",0,23,35,16,top_5,outstanding
"8,407",31,9,42,22,top_5,outstanding
"6,798",34,0,17,15,top_5,outstanding
"17,189",1,23,36,7,top_5,outstanding
"12,377",86,0,119,41,top_5,outstanding
"15,029",4,37,25,10,top_5,outstanding
"8,033",30,3,62,9,top_5,outstanding
"9,013",0,22,76,12,top_5,outstanding
"12,357",1,32,37,22,top_5,outstanding
"7,082",36,8,89,21,top_5,outstanding
"8,867",0,24,11,10,top_5,outstanding
"19,158",47,1,12,19,top_5,outstanding
"15,596",6,66,98,27,top_5,outstanding
"7,701",1,17,23,9,top_5,outstanding
"23,667",1,17,46,29,top_5,outstanding
"6,782",0,23,33,8,top_5,outstanding
"11,429",7,8,34,74,top_5,outstanding
"10,610",45,2,11,5,top_5,outstanding
"7,703",0,11,3,0,top_5,outstanding
"7,429",3,7,15,1,top_5,outstanding
"11,448",0,33,34,7,top_5,outstanding
"7,305",32,9,20,21,top_5,outstanding
"10,957",53,9,144,66,top_5,outstanding
"14,083",11,0,4,5,top_5,outstanding
"6,950",19,0,5,2,top_5,outstanding
"12,161",1,29,24,61,top_5,outstanding
"15,130",48,4,43,18,top_5,outstanding
"22,701",5,5,2,2,top_5,outstanding
"8,141",1,3,3,1,top_5,outstanding
"6,910",8,7,19,18,top_5,outstanding
"18,898",0,28,46,19,top_5,outstanding
"6,731",0,10,11,4,top_5,outstanding
"9,479",15,20,35,23,top_5,outstanding
"15,540",4,30,71,18,top_5,outstanding
"20,081",0,31,70,25,top_5,outstanding
"7,762",0,14,19,4,top_5,outstanding
"11,109",0,20,23,9,top_5,outstanding
"12,528",22,1,11,8,top_5,outstanding
"6,707",2,4,5,3,top_5,outstanding
"11,092",5,15,156,130,top_5,outstanding
"13,424",23,10,75,50,top_5,outstanding
"11,168",0,12,5,28,top_5,outstanding
"6,985",0,1,12,6,top_5,outstanding
"13,851",37,1,55,24,top_5,outstanding
"6,728",1,3,3,0,top_5,outstanding
"11,044",4,30,44,28,top_5,outstanding
"7,230",4,2,1,0,top_5,outstanding
"7,044",7,10,14,8,top_5,outstanding
"23,501",3,6,15,3,top_5,outstanding
"9,695",20,11,36,15,top_5,outstanding
"9,727",0,16,9,0,top_5,outstanding
"6,909",5,7,67,12,top_5,outstanding
"10,672",4,19,22,5,top_5,outstanding
"9,464",1,24,19,5,top_5,outstanding
"10,080",5,13,33,16,top_5,outstanding
"24,579",5,9,20,11,top_5,outstanding
"15,120",1,8,8,7,top_5,outstanding
"19,317",1,26,11,22,top_5,outstanding
"6,838",25,6,46,17,top_5,outstanding
"8,014",5,18,18,12,top_5,outstanding
"9,932",5,35,151,20,top_5,outstanding
"7,604",0,17,41,14,top_5,outstanding
"12,913",8,3,35,18,top_5,outstanding
"10,857",39,8,28,10,top_5,outstanding
"8,274",8,7,5,0,top_5,outstanding
"14,386",0,13,24,16,top_5,outstanding
"10,786",0,17,49,46,top_5,outstanding
"16,827",29,2,18,19,top_5,outstanding
"23,023",0,25,30,21,top_5,outstanding
"7,947",30,0,18,6,top_5,outstanding
"6,742",1,5,1,1,top_5,outstanding
"16,676",14,1,17,2,top_5,outstanding
"6,747",1,6,10,2,top_5,outstanding
"13,163",2,24,50,9,top_5,outstanding
"25,936",3,16,32,21,top_5,outstanding
"8,711",0,14,3,6,top_5,outstanding
"7,475",2,15,17,17,top_5,outstanding
"6,938",1,6,6,8,top_5,outstanding
"8,350",1,16,15,5,top_5,outstanding
"9,410",1,13,6,2,top_5,outstanding
"14,960",9,6,28,23,top_5,outstanding
"9,504",26,0,22,0,top_5,outstanding
"11,328",44,1,40,6,top_5,outstanding
"11,617",1,3,35,13,top_5,outstanding
"24,172",30,0,18,7,top_5,outstanding
"16,806",1,7,4,14,top_5,outstanding
"11,692",27,0,23,12,top_5,outstanding
"21,987",0,11,28,19,top_5,outstanding
"6,794",2,3,6,2,top_5,outstanding
"22,795",0,14,15,2,top_5,outstanding
"15,935",0,11,36,16,top_5,outstanding
"8,176",0,32,25,5,top_5,outstanding
"11,820",15,7,17,5,top_5,outstanding
"11,313",8,4,25,18,top_5,outstanding
"12,035",3,1,2,2,top_5,outstanding
"12,650",0,1,7,1,top_5,outstanding
"15,964",0,18,22,4,top_5,outstanding
"7,214",24,0,9,7,top_5,outstanding
"7,398",0,18,12,5,top_5,outstanding
"11,124",6,1,11,4,top_5,outstanding
"11,298",0,12,12,4,top_5,outstanding
"11,709",0,20,18,3,top_5,outstanding
"10,585",32,0,47,19,top_5,outstanding
"8,674",0,6,2,2,top_5,outstanding
"13,922",0,13,339,11,top_5,outstanding
"14,807",14,10,49,66,top_5,outstanding
"7,297",1,7,7,13,top_5,outstanding
"12,392",0,1,9,2,top_5,outstanding
"14,405",7,9,66,34,top_5,outstanding
"13,537",20,0,8,8,top_5,outstanding
"15,244",6,6,24,3,top_5,outstanding
"13,379",10,14,48,29,top_5,outstanding
"6,913",6,4,20,6,top_5,outstanding
"7,802",0,8,2,4,top_5,outstanding
"7,137",4,13,4,8,top_5,outstanding
"18,726",0,1,1,0,top_5,outstanding
"6,830",1,4,4,0,top_5,outstanding
"12,963",0,22,41,5,top_5,outstanding
"10,606",0,27,11,4,top_5,outstanding
"9,409",1,26,20,6,top_5,outstanding
"9,640",6,16,56,59,top_5,outstanding
"23,045",1,3,9,58,top_5,outstanding
"7,837",0,8,4,15,top_5,outstanding
"7,200",1,10,33,42,top_5,outstanding
"6,883",0,20,19,5,top_5,outstanding
"17,896",3,19,45,9,top_5,outstanding
"11,278",3,12,10,1,top_5,outstanding
"7,238",7,8,4,2,top_5,outstanding
"7,333",1,8,30,5,top_5,outstanding
"14,687",1,13,10,4,top_5,outstanding
"10,353",4,13,35,20,top_5,outstanding
"22,023",26,53,900,246,top_5,outstanding
"7,325",14,0,22,10,top_5,outstanding
"6,807",1,2,2,0,top_5,outstanding
"17,320",27,1,34,58,top_5,outstanding
"7,591",5,3,17,7,top_5,outstanding
"23,713",2,12,18,30,top_5,outstanding
"7,588",1,14,10,10,top_5,outstanding
"26,371",1,16,25,3,top_5,outstanding
"8,535",3,9,30,9,top_5,outstanding
"21,615",12,13,11,25,top_5,outstanding
"6,785",5,1,5,3,top_5,outstanding
"9,488",0,10,17,3,top_5,outstanding
"9,213",5,17,28,5,top_5,outstanding
"8,816",0,10,15,2,top_5,outstanding
"25,517",0,19,10,4,top_5,outstanding
"8,326",12,0,10,6,top_5,outstanding
"16,242",0,13,23,6,top_5,outstanding
"6,733",0,6,9,3,top_5,outstanding
"7,813",7,2,5,1,top_5,outstanding
"15,999",3,15,13,5,top_5,outstanding
"14,860",0,5,3,1,top_5,outstanding
"25,774",4,11,19,10,top_5,outstanding
"7,217",0,2,5,4,top_5,outstanding
"6,981",1,0,1,0,top_5,outstanding
"7,446",0,12,12,1,top_5,outstanding
"8,408",8,8,17,0,top_5,outstanding
"7,216",30,1,43,25,top_5,outstanding
"13,270",12,8,30,12,top_5,outstanding
"7,719",9,2,10,10,top_5,outstanding
"20,608",0,15,28,10,top_5,outstanding
"21,560",1,4,11,8,top_5,outstanding
"7,495",2,0,2,1,top_5,outstanding
"7,184",1,5,1,1,top_5,outstanding
"7,211",19,1,46,21,top_5,outstanding
"7,071",1,2,4,3,top_5,outstanding
"7,021",2,1,6,5,top_5,outstanding
"26,953",1,10,37,4,top_5,outstanding
"10,972",1,2,13,19,top_5,outstanding
"23,775",10,1,63,25,top_5,outstanding
"9,273",4,3,41,10,top_5,outstanding
"14,852",16,9,30,19,top_5,outstanding
"6,841",4,2,3,12,top_5,outstanding
"15,028",7,6,23,12,top_5,outstanding
"15,822",0,11,34,4,top_5,outstanding
"13,497",8,2,59,22,top_5,outstanding
"10,350",9,4,4,5,top_5,outstanding
"20,074",0,13,22,16,top_5,outstanding
"9,857",27,1,34,16,top_5,outstanding
"8,337",0,11,6,4,top_5,outstanding
"12,799",1,11,16,12,top_5,outstanding
"22,929",1,0,3,0,top_5,outstanding
"6,721",2,4,1,5,top_5,outstanding
"14,777",41,5,110,18,top_5,outstanding
"8,129",16,8,37,13,top_5,outstanding
"21,626",0,13,26,3,top_5,outstanding
"7,942",1,7,7,4,top_5,outstanding
"8,796",0,7,4,1,top_5,outstanding
"11,868",3,2,40,13,top_5,outstanding
"7,392",0,1,3,1,top_5,outstanding
"18,643",13,3,17,29,top_5,outstanding
"14,448",2,10,12,8,top_5,outstanding
"10,782",4,0,3,0,top_5,outstanding
"11,108",0,15,24,5,top_5,outstanding
"14,577",0,6,18,9,top_5,outstanding
"9,316",2,11,6,16,top_5,outstanding
"10,371",2,4,36,19,top_5,outstanding
"7,129",4,1,4,0,top_5,outstanding
"8,398",9,9,14,3,top_5,outstanding
"10,635",41,1,30,15,top_5,outstanding
"6,774",1,2,7,2,top_5,outstanding
"9,449",0,6,11,1,top_5,outstanding
"13,129",0,12,8,3,top_5,outstanding
"10,888",2,7,5,8,top_5,outstanding
"7,835",2,4,6,1,top_5,outstanding
"7,454",5,3,36,3,top_5,outstanding
"12,596",8,9,18,15,top_5,outstanding
"8,603",18,0,13,12,top_5,outstanding
