"id","questions","answers","comments","reviews","class","class2"
"31,528",7,876,"1,478","1,746",top_5,outstanding
"29,176",0,846,973,"1,521",top_5,outstanding
"33,332",23,915,"2,040","3,048",top_5,outstanding
"29,055",12,487,868,448,top_5,outstanding
"32,257",5,552,765,706,top_5,outstanding
"33,720",4,418,648,"2,590",top_5,outstanding
"32,082",17,346,"2,479","4,076",top_5,outstanding
"37,163",21,339,"2,420","3,566",top_5,outstanding
"36,260",21,257,202,"1,329",top_5,outstanding
"32,143",8,246,713,461,top_5,outstanding
"28,818",31,167,210,400,top_5,outstanding
"30,116",1,164,971,208,top_5,outstanding
"29,235",2,292,956,179,top_5,outstanding
"35,391",7,320,656,411,top_5,outstanding
"28,971",6,184,508,465,top_5,outstanding
"38,398",0,236,"2,348",285,top_5,outstanding
"28,974",7,141,629,586,top_5,outstanding
"49,629",7,370,779,886,top_5,outstanding
"34,625",15,185,"1,063","1,691",top_5,outstanding
"34,756",8,154,735,738,top_5,outstanding
"33,352",0,183,152,41,top_5,outstanding
"28,869",16,195,390,86,top_5,outstanding
"28,810",28,75,287,732,top_5,outstanding
"34,933",0,306,250,42,top_5,outstanding
"43,702",0,345,741,201,top_5,outstanding
"30,917",0,159,161,39,top_5,outstanding
"29,083",2,122,289,183,top_5,outstanding
"39,440",7,370,"2,037",460,top_5,outstanding
"31,592",1,148,546,542,top_5,outstanding
"32,643",0,137,151,98,top_5,outstanding
"28,872",18,71,138,99,top_5,outstanding
"31,571",1,321,155,15,top_5,outstanding
"38,973",18,126,306,284,top_5,outstanding
"29,553",0,137,443,959,top_5,outstanding
"32,594",8,199,145,19,top_5,outstanding
"31,213",14,124,220,174,top_5,outstanding
"33,422",1,196,136,122,top_5,outstanding
"32,073",0,216,476,115,top_5,outstanding
"46,240",1,200,898,116,top_5,outstanding
"30,615",1,127,221,161,top_5,outstanding
"30,357",4,181,198,105,top_5,outstanding
"33,311",47,55,"1,143","2,466",top_5,outstanding
"33,067",153,57,407,128,top_5,outstanding
"45,307",66,24,198,545,top_5,outstanding
"36,724",18,98,186,271,top_5,outstanding
"37,648",74,164,368,389,top_5,outstanding
"29,921",0,149,340,91,top_5,outstanding
"30,181",1,71,148,34,top_5,outstanding
"29,219",6,91,85,52,top_5,outstanding
"28,827",0,63,127,36,top_5,outstanding
"29,132",7,44,57,174,top_5,outstanding
"29,995",17,64,172,159,top_5,outstanding
"32,680",0,85,677,12,top_5,outstanding
"38,118",48,79,145,243,top_5,outstanding
"32,142",0,133,60,150,top_5,outstanding
"37,517",0,119,215,71,top_5,outstanding
"28,795",12,41,67,56,top_5,outstanding
"40,299",2,135,169,163,top_5,outstanding
"28,920",6,26,39,24,top_5,outstanding
"32,198",361,149,"1,190",714,top_5,outstanding
"34,992",0,70,75,260,top_5,outstanding
"41,191",0,133,184,74,top_5,outstanding
"37,114",22,60,157,253,top_5,outstanding
"37,811",30,61,106,23,top_5,outstanding
"32,267",2,79,394,11,top_5,outstanding
"36,060",0,203,431,75,top_5,outstanding
"32,502",27,63,169,459,top_5,outstanding
"30,440",36,79,238,115,top_5,outstanding
"33,728",0,68,166,37,top_5,outstanding
"28,802",9,33,309,203,top_5,outstanding
"32,883",160,13,211,39,top_5,outstanding
"30,850",0,88,210,10,top_5,outstanding
"42,185",18,33,126,171,top_5,outstanding
"30,060",35,42,123,172,top_5,outstanding
"45,548",19,84,455,224,top_5,outstanding
"34,958",2,58,83,16,top_5,outstanding
"28,979",5,47,150,679,top_5,outstanding
"37,844",79,26,168,213,top_5,outstanding
"30,432",1,52,55,187,top_5,outstanding
"29,389",0,55,29,3,top_5,outstanding
"53,928",7,54,112,305,top_5,outstanding
"52,748",31,65,493,383,top_5,outstanding
"30,193",0,55,131,61,top_5,outstanding
"34,465",2,51,"2,615","1,999",top_5,outstanding
"28,820",1,26,39,31,top_5,outstanding
"35,416",1,46,63,25,top_5,outstanding
"32,562",24,142,166,116,top_5,outstanding
"28,871",3,11,40,24,top_5,outstanding
"29,162",29,7,56,"1,963",top_5,outstanding
"38,085",1,95,627,101,top_5,outstanding
"31,612",27,43,106,322,top_5,outstanding
"33,834",4,54,95,107,top_5,outstanding
"29,810",11,34,59,24,top_5,outstanding
"51,583",5,69,189,148,top_5,outstanding
"32,614",19,63,108,13,top_5,outstanding
"30,608",2,29,141,16,top_5,outstanding
"40,239",10,52,439,80,top_5,outstanding
"36,149",18,39,195,77,top_5,outstanding
"31,317",30,47,203,84,top_5,outstanding
"34,318",40,33,59,35,top_5,outstanding
"33,091",1,48,83,56,top_5,outstanding
"28,852",1,13,17,7,top_5,outstanding
"33,696",0,76,104,92,top_5,outstanding
"31,130",0,48,97,111,top_5,outstanding
"28,866",5,23,80,29,top_5,outstanding
"47,547",4,36,104,16,top_5,outstanding
"28,946",0,26,70,21,top_5,outstanding
"38,057",0,60,54,14,top_5,outstanding
"29,417",0,37,14,57,top_5,outstanding
"37,991",7,45,89,65,top_5,outstanding
"33,927",39,39,110,102,top_5,outstanding
"30,021",0,33,25,53,top_5,outstanding
"28,861",11,14,527,"1,270",top_5,outstanding
"44,650",0,112,82,47,top_5,outstanding
"51,911",0,53,70,68,top_5,outstanding
"29,315",12,28,40,49,top_5,outstanding
"28,800",1,10,5,5,top_5,outstanding
