"id_user","betweenness","closeness","clustering_coefficient","indegree","outdegree","class","class2"
"21,073","457,297.389254889",0.3399270073,0.0363819078,147,70,top_5,outstanding
"7,064","414,710.6950791396",0.3598918083,0.0805512518,111,96,top_5,outstanding
"6,805","204,943.8122512938",0.3403493386,0.087498188,85,48,top_5,outstanding
"7,193","64,709.5867851287",0.3200907279,0.1271062344,66,33,top_5,outstanding
"9,387","345,877.0726321992",0.3620743275,0.0577576086,203,59,top_5,outstanding
"17,472","297,258.166804327",0.3325715918,0.052576039,148,52,top_5,outstanding
"7,726","169,226.9983484693",0.3300028345,0.1230134964,79,51,top_5,outstanding
"6,781","592,078.9115196023",0.381533672,0.1029013321,107,120,top_5,outstanding
"8,533","179,954.7154001234",0.3401007814,0.069561623,122,44,top_5,outstanding
"17,154","119,071.2124076961",0.328675277,0.0575601384,75,29,top_5,outstanding
"11,770","165,120.3573640588",0.3503874802,0.0888017938,64,43,top_5,outstanding
"12,380","39,361.5765662586",0.2957388709,0.0416666679,5,21,top_5,outstanding
"24,610","138,672.6992664152",0.34836924,0.1088035554,50,44,top_5,outstanding
"20,587","177,950.7868682983",0.3577629254,0.0660992265,126,46,top_5,outstanding
"7,158","116,396.9825499406",0.3410472354,0.1279503107,41,37,top_5,outstanding
"6,764","52,908.8398913474",0.3245748536,0.1850138754,34,20,top_5,outstanding
"6,722","52,836.6176106991",0.3112135793,0.1418439746,28,22,top_5,outstanding
"7,019","248,968.9572740719",0.3522160036,0.0924468935,62,68,top_5,outstanding
"8,046","166,745.2183377896",0.317515511,0.0540450476,109,25,top_5,outstanding
"14,529","106,568.91496567",0.34267844,0.1207687929,49,40,top_5,outstanding
"7,301","21,605.0137759016",0.2897225333,0.2207792252,15,11,top_5,outstanding
"6,844","56,386.197957668",0.3622151357,0.1705989093,13,49,top_5,outstanding
"9,412","86,064.1178961916",0.3260519499,0.0844842792,66,26,top_5,outstanding
"10,969","121,639.5724646267",0.3635157287,0.1785964966,10,69,top_5,outstanding
"8,001","6,350.9605115647",0.3115258546,0.3359683752,14,12,top_5,outstanding
"11,693","86,741.4787894678",0.3148749155,0.0629807711,52,20,top_5,outstanding
"8,527","60,365.0740061485",0.3377084844,0.198113203,31,33,top_5,outstanding
"7,082","238,447.0927959032",0.3653695277,0.1368373781,44,73,top_5,outstanding
"7,305","53,042.5301798469",0.3472004771,0.1902601272,22,40,top_5,outstanding
"12,528","48,342.8703861784",0.3437661475,0.1959595978,9,39,top_5,outstanding
"6,707",690.1900345286,0.2856179086,0.2857142985,8,9,top_5,outstanding
"7,604","45,093.6139422249",0.3220385865,0.1168929115,42,15,top_5,outstanding
"25,936","40,519.0982446756",0.2936317781,0.0813131332,38,11,top_5,outstanding
"7,475","23,265.5908950101",0.2904271905,0.0819964334,23,12,top_5,outstanding
"22,795","17,968.3889488664",0.2883055779,0.1199999973,23,6,top_5,outstanding
"11,820","73,697.7285027",0.3457569233,0.2085365802,14,32,top_5,outstanding
"13,379","38,702.3824533854",0.3455260424,0.1836349964,28,28,top_5,outstanding
"7,802","2,178.5574912304",0.3150879567,0.1428571492,10,6,top_5,outstanding
"10,353","21,687.5269621511",0.3389867521,0.3068965375,16,17,top_5,outstanding
"23,713","46,244.8068477216",0.2963410754,0.062184874,25,13,top_5,outstanding
"26,371","92,407.8862084804",0.301619171,0.118371211,28,11,top_5,outstanding
"6,785","16,083.2154045085",0.3131177301,0.2582417727,3,12,top_5,outstanding
"9,213","24,796.0774267903",0.3266007434,0.1590909064,32,15,top_5,outstanding
"7,813","22,655.3506697356",0.3210395698,0.1772486717,5,26,top_5,outstanding
"10,972","6,446.0717742983",0.2662816628,0.1923076957,12,5,top_5,outstanding
"12,799","13,263.0747624541",0.3000451002,0.1376811564,21,5,top_5,outstanding
"7,942","18,445.81810653",0.2813387301,0.190476194,11,6,top_5,outstanding
"11,868","16,485.3915553448",0.2970972887,0.1521008462,22,14,top_5,outstanding
"7,392",308.4502279167,0.2659210226,0.3000000119,4,3,top_5,outstanding
"18,643","16,489.2834397778",0.3433352993,0.3526315689,6,18,top_5,outstanding
"8,398","55,416.898754171",0.3308468315,0.200000003,18,18,top_5,outstanding
"9,449","18,485.0008977977",0.2491173639,0.1454545408,10,4,top_5,outstanding
"21,592","32,889.0453957806",0.327243342,0.2663043439,16,13,top_5,outstanding
"7,419","7,966.9094907754",0.3110888444,0.1761904806,2,13,top_5,outstanding
"14,805","1,100.1680690153",0.3025401156,0.3012820482,10,4,top_5,outstanding
"8,269","1,936.4047218591",0.2908988694,0.2222222239,9,5,top_5,outstanding
"23,950","9,368.9614501877",0.3322394236,0.2738095224,4,20,top_5,outstanding
"12,605",0,0.3206936894,0.1583333313,0,16,top_5,outstanding
"19,724","16,654.3794782508",0.3063211208,0.148550719,19,8,top_5,outstanding
"13,345","15,563.8534823123",0.3126552534,0.2095238119,17,9,top_5,outstanding
"7,067","28,381.538191295",0.3311762196,0.136088714,8,31,top_5,outstanding
"7,318","20,822.8654732125",0.3229542302,0.2302955687,10,21,top_5,outstanding
"7,777","14,030.3283099104",0.3330472717,0.1584615409,8,19,top_5,outstanding
"9,194",421.0684502441,0.3049970529,0.2857142985,11,5,top_5,outstanding
"8,507","21,246.2445007222",0.3177104653,0.2526315749,10,13,top_5,outstanding
"28,134","22,235.2217532719",0.2806943524,0.174242422,9,6,top_5,outstanding
"11,581",290.4058868523,0.3185580409,0.5,3,6,top_5_10,outstanding
"6,723","7,595.9772510813",0.2883412792,0.0714285746,1,7,top_5_10,outstanding
"10,434","13,661.8007912012",0.3517903006,0.2237179428,2,40,top_5_10,outstanding
"14,130","23,259.9397281752",0.2860916575,0.200000003,3,10,top_5_10,outstanding
"22,278",878.0863812964,0.2897045101,0.1648351699,11,4,top_5_10,outstanding
"7,807","34,315.1571855492",0.3332140813,0.2056277096,3,21,top_5_10,outstanding
"14,533","53,780.0654621574",0.3375371458,0.2862069011,9,25,top_5_10,outstanding
"9,141","18,764.2247669136",0.3255049976,0.1597701162,15,18,top_5_10,outstanding
"24,410","8,859.0865977073",0.3278884743,0.5,4,13,top_5_10,outstanding
"27,143","17,516.3495305158",0.2701746244,0.1476190537,11,8,top_5_10,outstanding
"7,651","2,571.6973589243",0.2945604048,0.2279411703,6,15,top_5_10,outstanding
"7,107","7,608.4601087851",0.2758069292,0.4666666687,1,6,top_5_10,outstanding
"12,156","1,646.5431357321",0.3290003532,0.3160173297,7,17,top_5_10,outstanding
"23,777",0,0.2780065652,0.0238095243,0,7,top_5_10,outstanding
"8,584","22,331.5832268048",0.2912263148,0.1619047672,10,7,top_5_10,outstanding
"21,318","9,023.1583911865",0.3027171087,0.25,6,7,top_5_10,outstanding
"17,779","20,267.2019201685",0.3024222352,0.130541876,23,11,top_5_10,outstanding
"25,585","2,420.2925502783",0.3073927393,0.4175824225,5,13,top_5_10,outstanding
"13,815","3,566.3045587708",0.3089425501,0.2222222239,9,11,top_5_10,outstanding
"16,866",0,0.3453925421,0.2279202342,0,27,top_5_10,outstanding
"14,897","4,224.6283509675",0.3059387728,0.1168091148,23,6,top_5_10,outstanding
"6,859",33.3129879977,0.2449902698,0,2,2,top_5_10,outstanding
"17,035","26,824.9125313394",0.3360756296,0.2204433531,7,24,top_5_10,outstanding
"12,180","8,529.5418400299",0.3070077131,0.2416666597,7,12,top_5_10,outstanding
"16,408","16,437.700133792",0.319169351,0.2727272809,5,21,top_5_10,outstanding
"12,240",34.5222936167,0.2657801621,0,2,1,top_5_10,outstanding
"10,733","1,106.0074535168",0.3034667014,0.3818181753,5,7,top_5_10,outstanding
