"id_user","betweenness","closeness","clustering_coefficient","indegree","outdegree","class","class2"
"36,260","1,189,765.0065864378",0.3811002021,0.0364231281,309,138,top_5,outstanding
"28,818","1,087,067.2284775362",0.3606859798,0.0439708419,190,129,top_5,outstanding
"34,625","1,857,649.8075001496",0.3700147193,0.0168700665,715,91,top_5,outstanding
"33,352","933,807.415477626",0.3540576794,0.0428017154,213,90,top_5,outstanding
"39,440","3,499,692.2188912206",0.3619720241,0.0106927687,"1,114",171,top_5,outstanding
"31,592","451,543.4676176017",0.3467095757,0.046749074,303,50,top_5,outstanding
"29,553","951,447.4055144076",0.3455747578,0.0198932551,411,71,top_5,outstanding
"46,240","1,363,947.294373923",0.3474626473,0.0173158608,562,93,top_5,outstanding
"29,995","500,781.4782870236",0.3513009915,0.0520308428,132,66,top_5,outstanding
"28,920","108,552.7225244991",0.3249015263,0.1622895598,28,33,top_5,outstanding
"41,191","555,084.4341484398",0.3382239877,0.0358083956,212,71,top_5,outstanding
"36,060","760,152.3840676179",0.3351533236,0.0294172484,282,76,top_5,outstanding
"34,465","1,451,264.3123300315",0.3356647803,0.0087668756,"1,341",24,top_5,outstanding
"32,562","327,360.383316314",0.3574620802,0.0946676284,131,66,top_5,outstanding
"32,614","368,147.1308315624",0.3478518714,0.064116329,103,65,top_5,outstanding
"38,057","203,901.4284710368",0.3175911443,0.0561386123,74,38,top_5,outstanding
"29,315","115,979.4544122145",0.3216744866,0.0684811249,38,33,top_5,outstanding
"28,800","16,599.931404046",0.3032513787,0.1894736886,9,15,top_5,outstanding
"33,690","34,266.7045779959",0.3234086871,0.1817375869,32,22,top_5,outstanding
"35,529","184,830.0034399839",0.3136847109,0.0226492789,80,24,top_5,outstanding
"46,107","86,606.6600534947",0.2999091012,0.0571428575,41,20,top_5,outstanding
"30,706","185,597.4089052146",0.3458917573,0.1560019851,6,59,top_5,outstanding
"39,024","59,436.2997907279",0.3187994444,0.1019125655,47,16,top_5,outstanding
"44,841","90,933.6680596244",0.3196294502,0.1177498251,30,30,top_5,outstanding
"33,872","66,349.5728495041",0.3156352765,0.1224489808,30,25,top_5,outstanding
"36,381","53,288.3164226564",0.3357715303,0.2229729742,5,35,top_5,outstanding
"28,831","30,978.804980613",0.3153147772,0.2091503292,6,14,top_5,outstanding
"28,908","138,810.6796151128",0.3375103894,0.1564980149,33,36,top_5,outstanding
"44,664","162,360.8545861417",0.2897524562,0.0483146049,83,16,top_5,outstanding
"33,145","19,885.6574532837",0.3298756483,0.3866396844,13,29,top_5,outstanding
"35,901","47,502.1805238518",0.3467323481,0.2198067605,13,39,top_5,outstanding
"35,976","94,889.256594598",0.3523091297,0.2060362101,29,48,top_5,outstanding
"45,522","146,449.7678946021",0.3439984361,0.1240766048,44,48,top_5,outstanding
"28,935","64,487.8054581162",0.3370363277,0.2090196013,23,35,top_5,outstanding
"45,534","14,946.6689976015",0.2870269682,0.1391625553,27,10,top_5,outstanding
"31,007","87,752.0304438508",0.2855056787,0.0517241396,111,8,top_5,outstanding
"43,239","36,205.3187067147",0.3307436877,0.2566782832,18,27,top_5,outstanding
"32,368","67,835.1172582097",0.3016743814,0.0892597958,48,10,top_5,outstanding
"30,352","18,200.2599332353",0.2845668697,0.0877192989,14,7,top_5,outstanding
"36,996","37,412.805172019",0.3258843138,0.2592592537,5,24,top_5,outstanding
"46,937","36,898.2343507846",0.3169809055,0.1193759069,30,25,top_5,outstanding
"33,896","25,609.0467952309",0.2812916289,0.1403508782,15,5,top_5,outstanding
"34,474","109,457.8024720485",0.3431041206,0.2613320947,13,40,top_5,outstanding
"37,856","39,882.6548456164",0.3166006957,0.1254251748,35,19,top_5,outstanding
"31,273","33,740.3081876473",0.3340927789,0.2126050442,22,21,top_5,outstanding
"33,753","10,480.9110771884",0.2509626812,0,1,4,top_5,outstanding
"31,436","46,034.2715183629",0.3010722026,0.1103896126,2,22,top_5,outstanding
"29,225","34,402.5085380872",0.2915769125,0.1619047672,13,7,top_5,outstanding
"49,122","42,608.6062273197",0.3134611959,0.1622369885,31,21,top_5,outstanding
"36,993","5,354.9310010209",0.2863730064,0.200000003,4,2,top_5,outstanding
"29,878","89,883.3624522895",0.3433719266,0.2282352895,14,43,top_5,outstanding
"32,457","1,016.9335214221",0.3254423278,0.3833333254,4,13,top_5,outstanding
"28,873",0,0.2766659681,0.1333333403,0,6,top_5,outstanding
"34,132","49,022.8373304144",0.3398570785,0.2420718819,13,35,top_5,outstanding
"30,798","5,640.0758889814",0.2978615359,0.2424242496,5,9,top_5,outstanding
"39,052","12,087.020879942",0.2981306828,0.2134387344,19,7,top_5,outstanding
"32,930","47,278.2926195957",0.3226969864,0.1431451589,14,21,top_5,outstanding
"29,976","43,216.6293029876",0.3259446777,0.3430769145,10,22,top_5,outstanding
"37,241",417.5264546211,0.2988395132,0.380952388,7,12,top_5,outstanding
"29,101",115.7017139273,0.2571108514,0.2545454502,8,4,top_5,outstanding
"29,327","41,186.7855135428",0.2969734473,0.2619047761,10,18,top_5,outstanding
"29,286","14,852.0290423208",0.3084969612,0.3464052379,7,15,top_5,outstanding
"46,410","42,259.0793601221",0.2598956282,0.0849673226,12,9,top_5,outstanding
"39,297","30,514.5037549266",0.3317830432,0.3191287816,12,28,top_5,outstanding
"34,341","26,254.6126369193",0.2825563346,0.1190476194,16,8,top_5,outstanding
"28,879","11,365.4275904429",0.290070883,0.2348484844,6,9,top_5,outstanding
"29,371","22,084.8983021368",0.2654631399,0.0192307699,10,3,top_5,outstanding
"49,409","19,647.2076098567",0.3107304727,0.3842105269,9,14,top_5,outstanding
"30,701","8,038.3648973377",0.3240439506,0.2566844821,19,18,top_5,outstanding
"33,996","27,120.6973656222",0.3122190679,0.2189542502,4,17,top_5,outstanding
"36,711","11,508.6523399794",0.3078313604,0.2483660132,8,12,top_5,outstanding
