"id_user","entropy","class","class2","reputation","accepted_answers"
"6,701",0.5623351446,ordinary,ordinary,126,0
"6,704",10.5733470886,top_5,outstanding,"7,295",41
"6,707",2.5665989181,top_5,outstanding,897,2
"6,710",8.0939702755,top_5,outstanding,"1,975",12
"6,712",0,top_10_15,outstanding,176,1
"6,714",0.6931471806,top_10_15,outstanding,184,0
"6,715",1.5916598152,top_5_10,outstanding,304,0
"6,716",0,top_10_15,outstanding,196,0
"6,717",0.6931471806,top_10_15,outstanding,196,0
"6,720",1.0986122887,ordinary,ordinary,121,0
"6,721",2.3693821197,top_5,outstanding,508,1
"6,722",8.2687710046,top_5,outstanding,"1,765",6
"6,723",0,top_5_10,outstanding,370,0
"6,725",9.0176456245,top_5,outstanding,"5,362",28
"6,726",4.2225507981,top_5_10,outstanding,247,0
"6,728",3.2618903939,top_5,outstanding,879,1
"6,731",5.5331715386,top_5,outstanding,925,4
"6,732",0,top_10_15,outstanding,173,0
"6,733",4.1809757617,top_5,outstanding,562,3
"6,734",2.0125694536,top_5_10,outstanding,380,1
"6,735",0.6365141683,top_5_10,outstanding,226,1
"6,738",1.7917594692,top_10_15,outstanding,171,0
"6,739",3.1780538303,top_5,outstanding,418,0
"6,740",9.5807738481,top_5,outstanding,"3,708",11
"6,741",0.5982695886,top_5_10,outstanding,273,0
"6,742",2.0794415417,top_5,outstanding,738,4
"6,743",1.4298983731,top_10_15,outstanding,171,0
"6,745",7.4211931444,top_5,outstanding,"1,858",10
"6,746",0.5297061991,top_10_15,outstanding,163,0
"6,747",3.1435669928,top_5,outstanding,737,4
"6,751",1.0986122887,ordinary,ordinary,56,0
"6,753",10.2982467364,top_5,outstanding,"3,582",20
"6,754",0,top_10_15,outstanding,178,0
"6,755",7.9348690352,top_5,outstanding,"1,427",7
"6,756",0.6931471806,ordinary,ordinary,101,0
"6,757",0.6931471806,top_5_10,outstanding,269,0
"6,758",5.570811882,top_5,outstanding,"1,686",0
"6,759",0,ordinary,ordinary,101,0
"6,762",9.3675241257,top_5,outstanding,"5,367",35
"6,763",5.8421412525,top_5,outstanding,"2,574",10
"6,764",8.43479645,top_5,outstanding,"1,867",3
"6,765",11.2668228194,top_5,outstanding,"10,041",44
"6,768",7.1061417369,top_5,outstanding,"2,480",12
"6,769",2.0228085294,top_10_15,outstanding,170,0
"6,772",0.6931471806,top_10_15,outstanding,178,0
"6,773",1.3862943611,top_5_10,outstanding,221,0
"6,774",1.7958914497,top_5,outstanding,481,2
"6,776",8.6064701663,top_5,outstanding,"5,181",13
"6,777",0.6931471806,top_5_10,outstanding,297,0
"6,779",6.4246775025,top_5,outstanding,"1,663",1
"6,780",0.6931471806,ordinary,ordinary,101,0
"6,781",8.5149899414,top_5,outstanding,"2,717",47
"6,782",8.1360693713,top_5,outstanding,991,5
"6,784",0,ordinary,ordinary,125,0
"6,785",3.8741704034,top_5,outstanding,578,1
"6,786",0,ordinary,ordinary,91,0
"6,787",1.0986122887,top_5_10,outstanding,258,0
"6,790",3.4527069025,ordinary,ordinary,114,0
"6,791",2.9874396172,top_5,outstanding,395,0
"6,794",3.2168098346,top_5,outstanding,681,1
"6,796",0,ordinary,ordinary,113,0
"6,798",3.6442247177,top_5,outstanding,"1,109",0
"6,799",1.6609474333,top_5_10,outstanding,361,1
"6,801",1.3862943611,ordinary,ordinary,101,0
"6,802",11.59870533,top_5,outstanding,"9,311",65
"6,804",0,ordinary,ordinary,101,0
"6,805",9.5743694493,top_5,outstanding,"3,673",29
"6,807",0.5623351446,top_5,outstanding,598,1
"6,808",11.9846252975,top_5,outstanding,"6,252",40
"6,810",4.4223291487,top_5_10,outstanding,276,0
"6,813",1.6232822062,top_10_15,outstanding,180,0
"6,814",0,top_5_10,outstanding,223,0
"6,816",0,ordinary,ordinary,99,0
"6,819",3.204880964,top_5_10,outstanding,374,0
"6,821",0,ordinary,ordinary,153,0
"6,822",6.8028457078,top_5,outstanding,"1,201",3
"6,825",1.3095258353,top_5_10,outstanding,264,0
"6,827",0,top_10_15,outstanding,199,0
"6,829",8.6149081537,top_5,outstanding,"1,649",13
"6,830",1.6973711155,top_5,outstanding,621,3
"6,831",0,top_5_10,outstanding,309,1
"6,832",0.6931471806,ordinary,ordinary,49,0
"6,835",0,ordinary,ordinary,56,0
"6,837",3.2809651181,top_10_15,outstanding,188,0
"6,838",7.2352596001,top_5,outstanding,792,0
"6,840",4.0494898535,top_5_10,outstanding,295,0
"6,841",3.6902704628,top_5,outstanding,528,1
"6,843",0,ordinary,ordinary,141,0
"6,844",7.6352351596,top_5,outstanding,"1,253",2
"6,846",6.6632955659,top_5,outstanding,456,0
"6,849",0,top_5_10,outstanding,351,0
"6,850",7.0080535509,top_5,outstanding,"1,400",2
"6,852",0.6931471806,top_10_15,outstanding,176,0
"6,853",0,top_10_15,outstanding,193,0
"6,856",0,top_5_10,outstanding,298,0
"6,858",10.7590390644,top_5,outstanding,"4,248",14
"6,859",0.6931471806,top_5_10,outstanding,306,1
"6,863",0,ordinary,ordinary,101,0
"6,864",6.7209637577,top_5,outstanding,426,1
"6,865",0.6931471806,top_5_10,outstanding,275,0
"6,869",8.3700371279,top_5,outstanding,"2,092",12
"6,872",2.4590563444,top_10_15,outstanding,176,1
"6,876",7.8737740333,top_5,outstanding,"1,349",5
"6,877",5.6382445504,top_5,outstanding,"1,637",2
"6,879",1.3661588476,ordinary,ordinary,116,0
"6,883",8.1764954596,top_5,outstanding,613,2
"6,885",0.4101163183,ordinary,ordinary,83,0
"6,889",0,ordinary,ordinary,51,0
"6,890",0,ordinary,ordinary,51,0
"6,891",0,ordinary,ordinary,136,1
"6,892",6.6230504389,top_5,outstanding,"1,181",2
"6,893",6.4341884322,top_5,outstanding,"1,964",9
"6,894",2.0682044975,top_5,outstanding,392,0
"6,896",3.861517667,top_10_15,outstanding,198,0
"6,898",0.6931471806,ordinary,ordinary,31,0
"6,899",0.6931471806,ordinary,ordinary,81,0
"6,906",6.8980079277,top_5,outstanding,"2,154",12
"6,908",0,ordinary,ordinary,126,0
"6,909",7.2427010305,top_5,outstanding,810,5
"6,910",6.4356289951,top_5,outstanding,936,3
"6,911",1.5922140594,top_5_10,outstanding,222,0
"6,912",0,top_5_10,outstanding,215,0
"6,913",5.8816278269,top_5,outstanding,633,0
"6,915",1.3862943611,ordinary,ordinary,149,0
"6,917",0.6931471806,ordinary,ordinary,121,0
"6,918",11.2749024529,top_5,outstanding,"3,623",36
"6,920",4.1143038584,ordinary,ordinary,49,0
"6,921",0.6931471806,top_10_15,outstanding,193,0
"6,922",0,top_10_15,outstanding,181,0
"6,924",0.6365141683,top_10_15,outstanding,209,0
"6,925",9.4126086795,top_5,outstanding,"2,051",0
"6,926",8.6477997936,top_5,outstanding,"2,295",8
"6,930",0.6931471806,ordinary,ordinary,139,0
"6,932",1.0986122887,top_5_10,outstanding,292,0
"6,933",1.4894588207,top_10_15,outstanding,197,0
"6,936",0.6931471806,ordinary,ordinary,101,0
"6,937",1.1935496041,top_5_10,outstanding,328,0
"6,938",5.76282049,top_5,outstanding,711,1
"6,939",0,ordinary,ordinary,154,0
"6,945",0.6931471806,top_10_15,outstanding,178,0
"6,947",0.6931471806,ordinary,ordinary,109,0
"6,949",1.8140975732,top_10_15,outstanding,186,0
"6,950",7.9138507506,top_5,outstanding,953,0
"6,951",0,ordinary,ordinary,41,0
"6,952",0,ordinary,ordinary,48,0
"6,962",5.4510195172,top_5,outstanding,"1,394",4
"6,963",6.036119081,top_5,outstanding,"1,596",4
"6,968",5.6113044496,top_5,outstanding,403,0
"6,969",0,ordinary,ordinary,69,0
"6,970",0,ordinary,ordinary,41,0
"6,972",0.6931471806,ordinary,ordinary,151,0
"6,977",0,ordinary,ordinary,101,0
"6,978",0,ordinary,ordinary,41,0
"6,980",1.2790997989,ordinary,ordinary,101,0
"6,981",0,top_5,outstanding,551,0
"6,983",4.6683200767,top_5_10,outstanding,276,0
"6,985",0.6172417697,top_5,outstanding,882,1
"6,986",0,top_10_15,outstanding,163,0
"6,989",10.6598708607,top_5,outstanding,"3,984",14
"6,990",1.3760552853,top_10_15,outstanding,209,0
"6,992",0.6931471806,ordinary,ordinary,123,0
"6,994",0.6931471806,ordinary,ordinary,158,0
"6,995",0,top_10_15,outstanding,166,1
"6,996",0,top_10_15,outstanding,163,0
"6,998",0.6931471806,ordinary,ordinary,153,0
"6,999",0,ordinary,ordinary,41,0
"7,001",1.1246702892,top_10_15,outstanding,173,0
"7,002",0.6931471806,ordinary,ordinary,136,0
"7,003",0.6931471806,ordinary,ordinary,86,1
"7,005",0,top_5_10,outstanding,361,0
"7,006",0,ordinary,ordinary,101,0
"7,008",1.7917594692,top_5_10,outstanding,233,0
"7,012",1.2554823252,top_10_15,outstanding,175,0
"7,014",0,ordinary,ordinary,64,0
"7,017",2.5888942684,ordinary,ordinary,126,1
"7,018",0,ordinary,ordinary,121,0
"7,019",8.0132600514,top_5,outstanding,"1,588",7
"7,020",0.6931471806,ordinary,ordinary,139,0
"7,021",1.2513443831,top_5,outstanding,533,0
"7,022",0.6931471806,ordinary,ordinary,101,0
"7,023",1.5732677183,ordinary,ordinary,93,0
"7,025",4.000187045,top_10_15,outstanding,195,0
"7,026",0.6931471806,ordinary,ordinary,111,0
"7,028",3.7375516452,top_5_10,outstanding,226,0
"7,030",2.2416873084,top_5_10,outstanding,310,1
"7,032",0,ordinary,ordinary,143,0
"7,036",3.5018339037,top_5_10,outstanding,226,0
"7,041",0,ordinary,ordinary,51,0
"7,043",0,top_5_10,outstanding,231,0
"7,044",8.3162349526,top_5,outstanding,847,3
"7,045",0,ordinary,ordinary,101,0
"7,049",0,ordinary,ordinary,101,0
"7,052",0,top_10_15,outstanding,163,0
"7,055",0,ordinary,ordinary,41,0
"7,056",0.6365141683,ordinary,ordinary,101,0
"7,057",0,ordinary,ordinary,38,0
"7,062",0,ordinary,ordinary,101,0
"7,064",10.2476943389,top_5,outstanding,"5,101",19
"7,066",0,ordinary,ordinary,43,0
"7,067",2.0034798604,top_5,outstanding,414,0
"7,069",2.0253262208,ordinary,ordinary,111,0
"7,071",2.2108043654,top_5,outstanding,534,1
"7,074",0.964962923,top_10_15,outstanding,190,0
"7,077",0.6931471806,top_10_15,outstanding,171,0
"7,079",0.6931471806,ordinary,ordinary,138,0
"7,081",0,ordinary,ordinary,151,0
"7,082",7.9102979475,top_5,outstanding,"1,036",1
"7,083",2.0228085294,ordinary,ordinary,146,0
"7,084",3.5437795722,top_5_10,outstanding,316,0
"7,085",0,ordinary,ordinary,113,0
"7,087",0.6931471806,ordinary,ordinary,153,0
"7,089",2.7062873453,top_10_15,outstanding,184,0
"7,093",0,ordinary,ordinary,148,0
"7,094",0,top_10_15,outstanding,168,0
"7,095",0,ordinary,ordinary,101,0
"7,096",0,top_5_10,outstanding,290,0
"7,102",10.0398646296,top_5,outstanding,"8,308",29
"7,104",0,ordinary,ordinary,76,0
"7,106",1.0986122887,ordinary,ordinary,21,0
"7,107",0.6931471806,top_5_10,outstanding,320,0
"7,108",0,ordinary,ordinary,41,0
"7,111",10.3482328989,top_5,outstanding,"3,215",17
"7,112",5.9686439222,top_5,outstanding,"1,614",6
"7,113",0.6931471806,ordinary,ordinary,101,0
"7,116",2.4849066498,ordinary,ordinary,153,0
"7,117",4.3279113138,top_5_10,outstanding,304,2
"7,119",0,ordinary,ordinary,31,0
"7,120",0.6931471806,ordinary,ordinary,101,0
"7,123",9.1326567011,top_5,outstanding,"2,413",14
"7,124",3.7959780435,top_10_15,outstanding,184,0
"7,125",0,ordinary,ordinary,151,0
"7,127",1.08219553,top_10_15,outstanding,176,0
"7,129",2.8053083711,top_5,outstanding,483,1
"7,130",0,ordinary,ordinary,91,0
"7,131",0.6931471806,top_10_15,outstanding,161,0
"7,133",2.4849066498,ordinary,ordinary,101,0
"7,137",6.8133002396,top_5,outstanding,630,3
"7,139",1.3296613489,top_10_15,outstanding,161,2
"7,144",0,ordinary,ordinary,71,0
"7,146",0.6931471806,top_10_15,outstanding,175,0
"7,149",1.1988493129,ordinary,ordinary,138,0
"7,150",0.6931471806,top_10_15,outstanding,195,0
"7,151",0.6931471806,ordinary,ordinary,66,1
"7,153",0.6931471806,ordinary,ordinary,143,0
"7,154",1.9686932085,top_10_15,outstanding,203,0
"7,156",1.7328679514,top_5_10,outstanding,315,0
"7,158",8.2264583305,top_5,outstanding,"1,903",9
"7,159",0,ordinary,ordinary,106,0
"7,160",0,ordinary,ordinary,143,0
"7,162",1.0100997594,top_5_10,outstanding,333,0
"7,164",0,ordinary,ordinary,101,0
"7,165",1.0986122887,ordinary,ordinary,101,0
"7,166",1.6020559155,top_10_15,outstanding,176,0
"7,168",5.6552713502,top_5,outstanding,"1,252",2
"7,170",0,ordinary,ordinary,31,0
"7,176",0,ordinary,ordinary,35,0
"7,182",2.1383330595,top_5_10,outstanding,223,1
"7,183",0,ordinary,ordinary,101,0
"7,184",4.7333764219,top_5,outstanding,536,3
"7,185",0,ordinary,ordinary,56,1
"7,186",0.6931471806,ordinary,ordinary,101,0
"7,188",0,ordinary,ordinary,141,0
"7,193",9.775710869,top_5,outstanding,"3,561",24
"7,198",11.3490289891,top_5,outstanding,"2,517",12
"7,199",0,ordinary,ordinary,154,0
"7,200",6.4083160124,top_5,outstanding,614,2
"7,201",0.6931471806,ordinary,ordinary,143,0
"7,202",0.6931471806,ordinary,ordinary,31,0
"7,204",0.6931471806,ordinary,ordinary,56,0
"7,206",0,ordinary,ordinary,144,0
"7,208",2.005436529,ordinary,ordinary,143,0
"7,210",0,top_10_15,outstanding,174,1
"7,211",5.5632707496,top_5,outstanding,535,0
"7,213",0,ordinary,ordinary,18,0
"7,214",4.1139774956,top_5,outstanding,664,0
"7,216",6.3943087293,top_5,outstanding,545,0
"7,217",2.2193472228,top_5,outstanding,551,2
"7,220",1.9486295057,ordinary,ordinary,156,1
"7,221",3.0626081247,top_5_10,outstanding,353,3
"7,223",0,ordinary,ordinary,31,0
"7,225",1.3862943611,top_5_10,outstanding,218,1
"7,226",0,top_10_15,outstanding,160,0
"7,227",0,ordinary,ordinary,146,0
"7,228",0.6931471806,top_5_10,outstanding,251,0
"7,229",0,ordinary,ordinary,41,0
"7,230",3.6390226979,top_5,outstanding,849,2
"7,231",4.5215860725,top_10_15,outstanding,194,0
"7,232",7.8056139877,top_5,outstanding,"2,877",4
"7,233",1.2770342595,top_10_15,outstanding,163,0
"7,234",0.6931471806,top_10_15,outstanding,161,0
"7,235",0,top_10_15,outstanding,161,0
"7,238",6.3216779673,top_5,outstanding,603,1
"7,239",1.2914167691,top_10_15,outstanding,178,0
"7,240",2.2434743758,top_5_10,outstanding,330,0
"7,241",6.4165233683,top_5_10,outstanding,278,3
"7,243",0.6931471806,top_5_10,outstanding,288,0
"7,248",0,ordinary,ordinary,126,0
"7,249",0,ordinary,ordinary,146,0
"7,251",0,ordinary,ordinary,76,0
"7,252",0,top_10_15,outstanding,185,0
"7,253",1.7328679514,ordinary,ordinary,101,0
"7,254",1.1988493129,top_5_10,outstanding,235,0
"7,256",0,ordinary,ordinary,41,0
"7,257",0.6931471806,ordinary,ordinary,1,0
"7,260",1.1174899594,top_5_10,outstanding,310,0
"7,261",2.1391441115,top_5_10,outstanding,227,1
"7,262",0,top_5_10,outstanding,223,0
"7,263",3.4679944084,top_5,outstanding,401,0
"7,267",0,top_10_15,outstanding,201,0
"7,270",0,top_5_10,outstanding,381,0
"7,272",0,ordinary,ordinary,51,0
"7,273",0,ordinary,ordinary,123,0
"7,274",2.0051907072,top_5,outstanding,433,0
"7,275",0,top_10_15,outstanding,163,0
"7,277",2.3175423417,top_5_10,outstanding,274,1
"7,278",3.5137485373,top_5_10,outstanding,245,0
"7,281",0,ordinary,ordinary,101,0
"7,282",0,top_5_10,outstanding,263,0
"7,284",0,ordinary,ordinary,21,0
"7,287",0,ordinary,ordinary,131,0
"7,289",0,ordinary,ordinary,111,0
"7,293",0.6931471806,top_10_15,outstanding,188,0
"7,296",0,ordinary,ordinary,153,0
"7,297",3.4997088381,top_5,outstanding,644,4
"7,298",0,ordinary,ordinary,41,0
"7,299",0.6931471806,top_10_15,outstanding,178,0
"7,301",4.4205761682,top_5,outstanding,"1,268",7
"7,302",0.6931471806,ordinary,ordinary,153,0
"7,304",1.7480673485,ordinary,ordinary,138,0
"7,305",8.504120958,top_5,outstanding,967,3
"7,306",1.0986122887,ordinary,ordinary,106,0
"7,307",0,ordinary,ordinary,146,0
"7,308",0.6931471806,ordinary,ordinary,71,0
"7,311",0.6931471806,ordinary,ordinary,133,0
"7,313",1.8866967847,top_5,outstanding,386,0
"7,314",1.3296613489,top_10_15,outstanding,166,1
"7,316",2.0228085294,ordinary,ordinary,131,0
"7,318",5.046395873,top_5,outstanding,399,0
"7,320",0.6931471806,ordinary,ordinary,64,1
"7,323",0,ordinary,ordinary,133,0
"7,325",4.4416585151,top_5,outstanding,600,0
"7,326",0.6931471806,ordinary,ordinary,31,0
"7,328",0,ordinary,ordinary,153,0
"7,330",0.6615632382,top_10_15,outstanding,206,0
"7,331",0,ordinary,ordinary,121,0
"7,332",0.6931471806,ordinary,ordinary,13,0
"7,333",6.2311549869,top_5,outstanding,603,2
"7,335",1.7917594692,top_5_10,outstanding,236,0
"7,336",0.6931471806,ordinary,ordinary,18,0
"7,337",2.7524532087,top_5_10,outstanding,293,0
"7,338",4.1266312221,top_5_10,outstanding,261,2
"7,339",0,ordinary,ordinary,51,0
"7,340",3.5268859262,top_10_15,outstanding,172,1
"7,343",0,ordinary,ordinary,26,0
"7,344",2.1972245773,ordinary,ordinary,140,1
"7,345",2.0488828279,top_10_15,outstanding,186,0
"7,346",0,ordinary,ordinary,143,0
"7,347",0,ordinary,ordinary,26,0
"7,351",3.7604526777,top_5_10,outstanding,260,1
"7,357",0,ordinary,ordinary,126,0
"7,359",0.6365141683,top_10_15,outstanding,181,0
"7,361",2.8098755718,top_5_10,outstanding,244,0
"7,369",2.4849066498,ordinary,ordinary,111,0
"7,370",0.6931471806,ordinary,ordinary,136,1
"7,372",0.6931471806,ordinary,ordinary,138,0
"7,373",0.6931471806,ordinary,ordinary,133,0
"7,374",10.2930045275,top_5,outstanding,"4,910",30
"7,376",0,ordinary,ordinary,91,0
"7,377",0,ordinary,ordinary,113,0
"7,378",4.6836655565,top_10_15,outstanding,159,0
"7,379",1.0986122887,ordinary,ordinary,151,0
"7,380",1.8325261515,top_10_15,outstanding,182,0
"7,382",1.3296613489,ordinary,ordinary,61,0
"7,384",0,top_10_15,outstanding,203,0
"7,386",4.6135300758,top_5,outstanding,416,1
"7,387",0,ordinary,ordinary,138,0
"7,388",3.8264038726,top_5_10,outstanding,238,1
"7,389",1.9723469163,ordinary,ordinary,148,0
"7,390",0.6931471806,ordinary,ordinary,26,0
"7,391",5.574550251,ordinary,ordinary,73,0
"7,392",1.7328679514,top_5,outstanding,491,0
"7,398",6.8404413114,top_5,outstanding,661,6
"7,402",0,ordinary,ordinary,51,0
"7,403",2.995360602,top_5,outstanding,428,0
"7,408",0,ordinary,ordinary,136,0
"7,409",0,ordinary,ordinary,140,0
"7,410",0,ordinary,ordinary,31,0
"7,411",0.6931471806,ordinary,ordinary,123,0
"7,412",0.6931471806,ordinary,ordinary,139,0
"7,413",0.6931471806,top_10_15,outstanding,177,0
"7,415",2.5878637745,top_5_10,outstanding,239,0
"7,416",10.5318627154,top_5,outstanding,"3,119",27
"7,419",4.2084961952,top_5,outstanding,454,0
"7,421",0.6931471806,ordinary,ordinary,108,0
"7,422",0.5982695886,top_5_10,outstanding,234,0
"7,425",0,ordinary,ordinary,111,0
"7,429",6.3141188131,top_5,outstanding,972,4
"7,430",1.0986122887,ordinary,ordinary,141,0
"7,434",1.7917594692,ordinary,ordinary,121,0
"7,435",11.3252652899,top_5,outstanding,"5,806",41
"7,437",0.6931471806,ordinary,ordinary,141,0
"7,439",7.1254798185,top_5,outstanding,"1,349",0
"7,440",0.6931471806,ordinary,ordinary,51,0
"7,442",0,ordinary,ordinary,101,0
"7,443",2.4012218777,top_5_10,outstanding,293,0
"7,444",2.6539348802,top_5_10,outstanding,316,0
"7,445",1.3862943611,top_5_10,outstanding,296,0
"7,446",6.6884902924,top_5,outstanding,547,4
"7,447",1.0986122887,top_5_10,outstanding,256,1
"7,448",0.6931471806,ordinary,ordinary,51,0
"7,449",2.0493157482,ordinary,ordinary,151,0
"7,451",0,ordinary,ordinary,56,0
"7,453",1.3862943611,ordinary,ordinary,159,0
"7,454",7.9926030481,top_5,outstanding,478,1
"7,455",1.3862943611,ordinary,ordinary,86,1
"7,457",0,ordinary,ordinary,126,0
"7,458",0.8675632285,ordinary,ordinary,156,1
"7,459",0,ordinary,ordinary,86,1
"7,460",0.6931471806,ordinary,ordinary,101,0
"7,461",2.3845815168,ordinary,ordinary,153,0
"7,462",0.6365141683,top_5_10,outstanding,256,1
"7,463",4.8615826578,top_5_10,outstanding,301,0
"7,465",0,ordinary,ordinary,126,1
"7,466",2.3852288448,top_5_10,outstanding,240,0
"7,467",4.0176633887,ordinary,ordinary,121,0
"7,469",0.6931471806,ordinary,ordinary,101,0
"7,470",5.4578316584,top_10_15,outstanding,190,0
"7,471",0,ordinary,ordinary,44,0
"7,472",0,ordinary,ordinary,23,0
"7,473",0.6931471806,ordinary,ordinary,121,0
"7,475",8.0473959237,top_5,outstanding,712,2
"7,484",0.6931471806,ordinary,ordinary,68,0
"7,485",0,ordinary,ordinary,101,0
"7,487",5.1380933172,top_5,outstanding,413,0
"7,489",3.8472496714,top_5_10,outstanding,224,0
"7,490",5.0347762797,top_10_15,outstanding,178,1
"7,491",0.6931471806,ordinary,ordinary,133,0
"7,495",0.6829081047,top_5,outstanding,537,0
"7,496",0.6931471806,top_10_15,outstanding,171,0
"7,498",0.6931471806,ordinary,ordinary,11,0
"7,503",0.5623351446,top_5_10,outstanding,238,0
"7,505",2.7877881194,top_5_10,outstanding,250,0
"7,506",0,ordinary,ordinary,14,0
"7,507",0,ordinary,ordinary,118,0
"7,508",0,ordinary,ordinary,23,0
"7,509",0,ordinary,ordinary,118,1
"7,511",1.7917594692,ordinary,ordinary,146,1
