"id_user","entropy","class","class2","reputation","accepted_answers"
"28,795",8.2014777696,top_5,outstanding,"4,364",22
"28,798",3.0149118076,top_5_10,outstanding,310,0
"28,799",8.031223223,top_5,outstanding,"1,247",2
"28,800",4.477135544,top_5,outstanding,"1,653",4
"28,802",8.792288836,top_5,outstanding,"3,595",15
"28,803",0,top_10_15,outstanding,151,0
"28,804",1.2770342595,top_5,outstanding,376,0
"28,805",0.6931471806,ordinary,ordinary,121,0
"28,806",1.7917594692,top_10_15,outstanding,159,0
"28,809",3.2188205126,top_5,outstanding,511,1
"28,810",11.2994633254,top_5,outstanding,"9,576",41
"28,811",2.4606108903,top_5,outstanding,573,0
"28,812",1.0008048471,ordinary,ordinary,121,0
"28,813",7.1958669705,top_5,outstanding,"1,004",6
"28,816",0,top_5_10,outstanding,197,0
"28,817",1.0986122887,ordinary,ordinary,62,0
"28,818",11.6009800532,top_5,outstanding,"15,785",98
"28,819",0.6931471806,ordinary,ordinary,103,0
"28,820",9.3888347702,top_5,outstanding,"2,843",18
"28,822",1.6020559155,top_5_10,outstanding,312,0
"28,823",4.6655783055,top_5,outstanding,590,1
"28,824",0,top_5_10,outstanding,248,0
"28,826",0,ordinary,ordinary,102,0
"28,827",10.4431385715,top_5,outstanding,"4,657",33
"28,830",2.3915047651,top_5_10,outstanding,290,0
"28,831",4.7831557909,top_5,outstanding,879,1
"28,833",3.1780538303,ordinary,ordinary,128,0
"28,835",4.7697848545,top_5,outstanding,789,1
"28,838",4.3388281634,top_5,outstanding,492,0
"28,840",0,top_5_10,outstanding,181,0
"28,841",1.6094379124,top_5,outstanding,624,0
"28,842",1.0986122887,top_10_15,outstanding,158,0
"28,845",7.0962837542,top_5,outstanding,"1,047",0
"28,848",1.3296613489,top_10_15,outstanding,162,1
"28,849",5.9316851931,top_5,outstanding,400,0
"28,852",4.9027111286,top_5,outstanding,"2,088",7
"28,853",4.2225507981,ordinary,ordinary,111,0
"28,854",2.0794415417,ordinary,ordinary,79,0
"28,855",0,ordinary,ordinary,121,0
"28,861",12.0460398893,top_5,outstanding,"1,717",4
"28,862",2.393312123,top_5,outstanding,532,0
"28,866",9.5281174183,top_5,outstanding,"2,029",7
"28,867",0.6931471806,ordinary,ordinary,101,0
"28,869",11.9825346013,top_5,outstanding,"10,285",66
"28,870",0,top_5_10,outstanding,241,0
"28,871",6.1505556509,top_5,outstanding,"2,772",3
"28,872",10.9330386634,top_5,outstanding,"7,745",44
"28,873",2.0228085294,top_5,outstanding,452,0
"28,875",1.3862943611,top_10_15,outstanding,147,0
"28,878",2.6593226977,top_5,outstanding,469,0
"28,879",3.5692755816,top_5,outstanding,401,1
"28,880",2.2921618928,top_5_10,outstanding,275,1
"28,881",0,ordinary,ordinary,111,0
"28,882",0,top_10_15,outstanding,144,0
"28,884",1.3661588476,top_5,outstanding,442,0
"28,889",5.7846776997,top_5,outstanding,417,1
"28,891",3.1780538303,top_10_15,outstanding,151,0
"28,892",11.1815963008,top_5,outstanding,540,4
"28,893",0,top_10_15,outstanding,146,0
"28,894",5.2178590995,top_5,outstanding,461,2
"28,897",1.7917594692,top_5_10,outstanding,186,0
"28,898",0.6365141683,top_5_10,outstanding,289,0
"28,901",9.1907264896,top_5,outstanding,"1,223",4
"28,902",1.3296613489,top_5_10,outstanding,168,0
"28,905",2.2459520807,top_5,outstanding,504,2
"28,908",7.7543797046,top_5,outstanding,876,1
"28,911",5.0688805531,top_5,outstanding,"1,007",1
"28,912",0,ordinary,ordinary,101,0
"28,915",3.2908984711,top_5_10,outstanding,276,1
"28,917",1.0986122887,ordinary,ordinary,116,0
"28,920",8.262756569,top_5,outstanding,"4,295",16
"28,923",2.0253262208,top_5_10,outstanding,166,1
"28,924",10.1380774939,top_5,outstanding,"1,435",8
"28,926",9.3237509285,top_5,outstanding,"1,628",6
"28,927",0,ordinary,ordinary,68,0
"28,930",1.735126457,top_5_10,outstanding,209,0
"28,931",5.3574345266,top_5,outstanding,681,4
"28,932",5.6400847746,top_5,outstanding,484,1
"28,935",4.8366360436,top_5,outstanding,738,0
"28,938",0,top_10_15,outstanding,161,0
"28,939",0.6931471806,top_10_15,outstanding,144,0
