"id_user" ;"diff_min" ;"class" ;"class2"
10,171 ;35.2760666667 ;top_5 ;outstanding
9,386 ;73.4871666667 ;top_5 ;outstanding
13,299 ;1.6789 ;top_5 ;outstanding
9,014 ;16.60145 ;top_5 ;outstanding
7,898 ;8.4553833333 ;top_5 ;outstanding
10,214 ;4.18 ;top_5 ;outstanding
16,394 ;24,149.8161666667 ;top_5 ;outstanding
7,565 ;33.504 ;top_5 ;outstanding
7,885 ;21.7962833333 ;top_5 ;outstanding
6,765 ;87.4972666667 ;top_5 ;outstanding
11,103 ;17.3266166667 ;top_5 ;outstanding
6,802 ;711.2046666667 ;top_5 ;outstanding
9,381 ;13.15655 ;top_5 ;outstanding
7,102 ;188.5513833333 ;top_5 ;outstanding
7,819 ;0 ;top_5 ;outstanding
13,693 ;10,082.4331166667 ;top_5 ;outstanding
6,704 ;24.6948333333 ;top_5 ;outstanding
8,946 ;1,189.5796666667 ;top_5 ;outstanding
19,500 ;12.4408333333 ;top_5 ;outstanding
11,200 ;208.1972833333 ;top_5 ;outstanding
12,115 ;8,799.59295 ;top_5 ;outstanding
23,106 ;0.11805 ;top_5 ;outstanding
6,808 ;5.7052333333 ;top_5 ;outstanding
16,076 ;266,050.95 ;top_5 ;outstanding
7,435 ;32.7018833333 ;top_5 ;outstanding
14,034 ;23.4587166667 ;top_5 ;outstanding
21,073 ;19.9286166667 ;top_5 ;outstanding
6,762 ;17.1494 ;top_5 ;outstanding
6,725 ;3.8152833333 ;top_5 ;outstanding
6,776 ;604.9592333333 ;top_5 ;outstanding
10,660 ;1,389.9191166667 ;top_5 ;outstanding
7,064 ;7.9049333333 ;top_5 ;outstanding
8,270 ;195,967.7705 ;top_5 ;outstanding
10,663 ;3.1861666667 ;top_5 ;outstanding
8,423 ;934.38495 ;top_5 ;outstanding
16,227 ;14,466.69355 ;top_5 ;outstanding
8,998 ;0 ;top_5 ;outstanding
15,449 ;85.4807166667 ;top_5 ;outstanding
9,878 ;8.8021666667 ;top_5 ;outstanding
11,840 ;13,659.0583333333 ;top_5 ;outstanding
6,989 ;83.6123833333 ;top_5 ;outstanding
9,274 ;42.94045 ;top_5 ;outstanding
6,740 ;2.6817166667 ;top_5 ;outstanding
6,805 ;177.934 ;top_5 ;outstanding
6,918 ;8,852.4191666667 ;top_5 ;outstanding
7,193 ;3.0082333333 ;top_5 ;outstanding
9,387 ;10.33245 ;top_5 ;outstanding
17,472 ;12.33555 ;top_5 ;outstanding
7,726 ;3.18845 ;top_5 ;outstanding
7,111 ;0.8228833333 ;top_5 ;outstanding
9,123 ;10.6933333333 ;top_5 ;outstanding
10,659 ;8.1758833333 ;top_5 ;outstanding
7,416 ;610.9758333333 ;top_5 ;outstanding
14,879 ;1,332.3197833333 ;top_5 ;outstanding
7,232 ;8.4439333333 ;top_5 ;outstanding
12,743 ;11.5587166667 ;top_5 ;outstanding
14,717 ;1,374.6458333333 ;top_5 ;outstanding
6,781 ;1,446.2796166667 ;top_5 ;outstanding
7,737 ;561.51105 ;top_5 ;outstanding
10,904 ;14.4962333333 ;top_5 ;outstanding
9,752 ;2,066.2332666667 ;top_5 ;outstanding
13,208 ;87.6866666667 ;top_5 ;outstanding
7,198 ;273,834.8606666667 ;top_5 ;outstanding
11,273 ;36.8781 ;top_5 ;outstanding
20,136 ;101,159.3663333333 ;top_5 ;outstanding
6,768 ;57.0883333333 ;top_5 ;outstanding
14,785 ;2,869.9533333333 ;top_5 ;outstanding
10,175 ;0.5107166667 ;top_5 ;outstanding
7,123 ;6.6547666667 ;top_5 ;outstanding
18,566 ;142.4057333333 ;top_5 ;outstanding
14,001 ;23.89045 ;top_5 ;outstanding
8,533 ;35.3996 ;top_5 ;outstanding
6,926 ;149,724.8733333334 ;top_5 ;outstanding
17,664 ;1,158.5967166667 ;top_5 ;outstanding
10,070 ;21.0048333333 ;top_5 ;outstanding
16,967 ;5.708 ;top_5 ;outstanding
17,154 ;108.0525 ;top_5 ;outstanding
19,912 ;449.3265666667 ;top_5 ;outstanding
14,576 ;20.5576666667 ;top_5 ;outstanding
23,877 ;7.4691 ;top_5 ;outstanding
6,906 ;0 ;top_5 ;outstanding
14,640 ;2,651.2565 ;top_5 ;outstanding
11,770 ;443,665.4473833333 ;top_5 ;outstanding
15,731 ;0.8706666667 ;top_5 ;outstanding
14,057 ;972.9822833333 ;top_5 ;outstanding
6,869 ;2,409.1210666667 ;top_5 ;outstanding
17,758 ;5,424.2809333333 ;top_5 ;outstanding
6,925 ;16.115 ;top_5 ;outstanding
12,380 ;210.6908833333 ;top_5 ;outstanding
6,710 ;6.8382166667 ;top_5 ;outstanding
6,893 ;0 ;top_5 ;outstanding
7,943 ;140.626 ;top_5 ;outstanding
24,610 ;28,949.97795 ;top_5 ;outstanding
13,654 ;0.7871666667 ;top_5 ;outstanding
20,587 ;194,660.2791666667 ;top_5 ;outstanding
7,158 ;3.1413333333 ;top_5 ;outstanding
9,942 ;963,491.1140000001 ;top_5 ;outstanding
7,617 ;4,298.8551166667 ;top_5 ;outstanding
6,764 ;1,298.7843833333 ;top_5 ;outstanding
6,745 ;8.5392166667 ;top_5 ;outstanding
18,336 ;30.8788833333 ;top_5 ;outstanding
17,620 ;36,759.4916666667 ;top_5 ;outstanding
8,006 ;6,757.2018833333 ;top_5 ;outstanding
21,704 ;13.5771166667 ;top_5 ;outstanding
8,124 ;196,782.2677333333 ;top_5 ;outstanding
6,722 ;6.0556166667 ;top_5 ;outstanding
26,149 ;191.0416 ;top_5 ;outstanding
9,162 ;7,662.8122166667 ;top_5 ;outstanding
14,070 ;0.6341666667 ;top_5 ;outstanding
6,758 ;13,992.9433833333 ;top_5 ;outstanding
6,779 ;11,708.0263833333 ;top_5 ;outstanding
6,829 ;16.09355 ;top_5 ;outstanding
6,877 ;74.4164 ;top_5 ;outstanding
20,088 ;15.7475 ;top_5 ;outstanding
7,112 ;120.9219 ;top_5 ;outstanding
7,019 ;5.4982833333 ;top_5 ;outstanding
19,484 ;707.1178833333 ;top_5 ;outstanding
14,197 ;2.2448333333 ;top_5 ;outstanding
13,835 ;30,522.9282833333 ;top_5 ;outstanding
9,437 ;0 ;top_5 ;outstanding
