"id","betweenness","closeness","clustering_coefficient","degree","eccentricity","eigenvector","harmonic_closeness","id_community","id_user","indegree","interactions","modularity_class","outdegree","page_rank","strongly_component","weakly_component","id_graph_analysis_context","class","class2"
"237,716","414,710.6950791396",0.3598918083,0.0805512518,207,6,0.1378557483,0.3899899792,2,"7,064",111,536,25,96,0.0013738329,"1,057",0,83,top_5,outstanding
"235,343","297,258.166804327",0.3325715918,0.052576039,200,6,0.2127910686,0.3562271849,2,"17,472",148,394,18,52,0.0022084474,"1,057",0,83,top_5,outstanding
"237,496","592,078.9115196023",0.381533672,0.1029013321,227,6,0.2439479182,0.414304631,2,"6,781",107,"1,134",25,120,0.0019853497,"1,057",0,83,top_5,outstanding
"238,890","179,954.7154001234",0.3401007814,0.069561623,166,6,0.1738112516,0.3641543197,2,"8,533",122,320,25,44,0.0013862806,"1,057",0,83,top_5,outstanding
"238,617","138,672.6992664152",0.34836924,0.1088035554,94,6,0.0856002888,0.3742251807,2,"24,610",50,194,0,44,0.0006736285,"1,057",0,83,top_5,outstanding
"237,478","52,908.8398913474",0.3245748536,0.1850138754,54,7,0.0494264688,0.3436352853,2,"6,764",34,77,25,20,0.0003950581,"1,057",0,83,top_5,outstanding
"237,431","52,836.6176106991",0.3112135793,0.1418439746,50,7,0.0582415471,0.3292166426,2,"6,722",28,97,25,22,0.0003779371,"1,057",0,83,top_5,outstanding
"237,685","248,968.9572740719",0.3522160036,0.0924468935,130,6,0.1131963225,0.379922697,2,"7,019",62,274,25,68,0.0008455034,"1,057",0,83,top_5,outstanding
"242,958","106,568.91496567",0.34267844,0.1207687929,89,6,0.0869823725,0.3670853912,2,"14,529",49,251,22,40,0.0006764534,"1,057",0,83,top_5,outstanding
"237,726","238,447.0927959032",0.3653695277,0.1368373781,117,6,0.1270794301,0.3940340706,2,"7,082",44,235,25,73,0.0009156636,"1,057",0,83,top_5,outstanding
"238,143","45,093.6139422249",0.3220385865,0.1168929115,57,6,0.0801943139,0.3399899792,2,"7,604",42,89,0,15,0.0005560543,"1,057",0,83,top_5,outstanding
"238,043","23,265.5908950101",0.2904271905,0.0819964334,35,7,0.0251546077,0.304354428,2,"7,475",23,51,25,12,0.0002319853,"1,057",0,83,top_5,outstanding
"241,467","73,697.7285027",0.3457569233,0.2085365802,46,6,0.0424436339,0.3696585785,2,"11,820",14,77,35,32,0.0002798468,"1,057",0,83,top_5,outstanding
"242,404","38,702.3824533854",0.3455260424,0.1836349964,56,6,0.058971342,0.3691754348,2,"13,379",28,126,35,28,0.0003895356,"1,057",0,83,top_5,outstanding
"238,295","2,178.5574912304",0.3150879567,0.1428571492,16,6,0.0108828314,0.3312611839,2,"7,802",10,17,25,6,0.0001060057,"1,057",0,83,top_5,outstanding
"238,300","22,655.3506697356",0.3210395698,0.1772486717,31,7,0.0125863381,0.3403176989,2,"7,813",5,43,25,26,0.0000973287,"1,057",0,83,top_5,outstanding
"242,121","13,263.0747624541",0.3000451002,0.1376811564,26,6,0.0351790142,0.3156824851,2,"12,799",21,38,0,5,0.0002780233,"1,057",0,83,top_5,outstanding
"238,402","18,445.81810653",0.2813387301,0.190476194,17,7,0.0086802643,0.2933750524,2,"7,942",11,25,25,6,0.0001370868,"1,057",0,83,top_5,outstanding
"241,507","16,485.3915553448",0.2970972887,0.1521008462,36,7,0.0743158925,0.3125673589,2,"11,868",22,71,0,14,0.000381247,"1,057",0,83,top_5,outstanding
"237,973",308.4502279167,0.2659210226,0.3000000119,7,7,0.0008973736,0.2765435316,2,"7,392",4,8,25,3,0.0000299712,"1,361",0,83,top_5,outstanding
"238,769","55,416.898754171",0.3308468315,0.200000003,36,6,0.0368801757,0.3514601675,2,"8,398",18,58,25,18,0.0002180863,"1,057",0,83,top_5,outstanding
"236,883","32,889.0453957806",0.327243342,0.2663043439,29,6,0.0445470319,0.3469257748,2,"21,592",16,46,0,13,0.0001791488,"1,057",0,83,top_5,outstanding
"237,993","7,966.9094907754",0.3110888444,0.1761904806,15,7,0.0011441952,0.3282825649,2,"7,419",2,21,25,13,0.0000440539,"1,057",0,83,top_5,outstanding
"242,042",0,0.3206936894,0.1583333313,16,6,0,0.34027897,2,"12,605",0,21,20,16,0.0000219181,"4,500",0,83,top_5,outstanding
"242,388","15,563.8534823123",0.3126552534,0.2095238119,26,6,0.0402462345,0.3307279364,2,"13,345",17,34,22,9,0.0002373444,"1,057",0,83,top_5,outstanding
"237,718","28,381.538191295",0.3311762196,0.136088714,39,6,0.0088577823,0.3522797223,2,"7,067",8,53,25,31,0.0001726887,"1,057",0,83,top_5,outstanding
"237,911","20,822.8654732125",0.3229542302,0.2302955687,31,6,0.0180056093,0.342688426,2,"7,318",10,53,25,21,0.0000971652,"1,057",0,83,top_5,outstanding
"238,275","14,030.3283099104",0.3330472717,0.1584615409,27,6,0.0053163612,0.3532281154,2,"7,777",8,30,25,19,0.0000929612,"1,057",0,83,top_5,outstanding
"238,861","21,246.2445007222",0.3177104653,0.2526315749,23,6,0.0175763518,0.3360496743,2,"8,507",10,29,25,13,0.0001391992,"1,057",0,83,top_5,outstanding
"241,411","22,235.2217532719",0.2806943524,0.174242422,15,7,0.0047924281,0.2934905979,2,"28,134",9,28,0,6,0.0001147333,"1,057",0,83,top_5,outstanding
"240,360","13,661.8007912012",0.3517903006,0.2237179428,42,6,0.0032768055,0.3768269988,2,"10,434",2,79,25,40,0.0000508989,"1,057",0,83,top_5_10,outstanding
"238,467","8,859.0865977073",0.3278884743,0.5,17,6,0.0220802623,0.3496779042,2,"24,410",4,54,17,13,0.0000777436,"1,057",0,83,top_5_10,outstanding
"240,596","17,516.3495305158",0.2701746244,0.1476190537,19,7,0.003357563,0.2820551755,2,"27,143",11,32,22,8,0.0001679048,"1,057",0,83,top_5_10,outstanding
