"id","betweenness","closeness","clustering_coefficient","degree","eccentricity","eigenvector","harmonic_closeness","id_community","id_user","indegree","interactions","modularity_class","outdegree","page_rank","strongly_component","weakly_component","id_graph_analysis_context","class","class2"
"492,331","1,189,765.0065864378",0.3811002021,0.0364231281,447,6,0.2873813362,0.4140714782,3,"36,260",309,857,43,138,0.0027120779,"1,043",0,145,top_5,outstanding
"490,935","1,857,649.8075001496",0.3700147193,0.0168700665,806,7,0.568938423,0.4000491615,3,"34,625",715,"1,500",16,91,0.0065778211,"1,043",0,145,top_5,outstanding
"489,872","933,807.415477626",0.3540576794,0.0428017154,303,7,0.2473478409,0.3829107244,3,"33,352",213,548,56,90,0.0023484969,"1,043",0,145,top_5,outstanding
"494,848","3,499,692.2188912206",0.3619720241,0.0106927687,"1,285",6,0.8038268968,0.3965965776,3,"39,440","1,114","3,118",27,171,0.00956658,"1,043",0,145,top_5,outstanding
"500,358","451,543.4676176017",0.3467095757,0.046749074,353,7,0.4159488644,0.3714957739,3,"31,592",303,868,56,50,0.0030607716,"1,043",0,145,top_5,outstanding
"498,553","951,447.4055144076",0.3455747578,0.0198932551,482,7,0.3771305277,0.3715778602,3,"29,553",411,743,27,71,0.0038024192,"1,043",0,145,top_5,outstanding
"495,945","555,084.4341484398",0.3382239877,0.0358083956,283,6,0.1836925926,0.3644124519,3,"41,191",212,483,41,71,0.001785203,"1,043",0,145,top_5,outstanding
"492,172","760,152.3840676179",0.3351533236,0.0294172484,358,7,0.2796955708,0.3609936947,3,"36,060",282,901,16,76,0.0029607133,"1,043",0,145,top_5,outstanding
"501,174","327,360.383316314",0.3574620802,0.0946676284,197,7,0.1959912546,0.3849768625,3,"32,562",131,553,56,66,0.001525899,"1,043",0,145,top_5,outstanding
"493,737","203,901.4284710368",0.3175911443,0.0561386123,112,7,0.0552392552,0.3382891781,3,"38,057",74,205,16,38,0.0005315879,"1,043",0,145,top_5,outstanding
"498,298","115,979.4544122145",0.3216744866,0.0684811249,71,7,0.0275528771,0.3420254558,3,"29,315",38,125,44,33,0.000283796,"1,043",0,145,top_5,outstanding
"491,720","184,830.0034399839",0.3136847109,0.0226492789,104,7,0.0363234155,0.3322242669,3,"35,529",80,154,56,24,0.0007274079,"1,043",0,145,top_5,outstanding
"499,647","185,597.4089052146",0.3458917573,0.1560019851,65,7,0.0311843115,0.3717325612,3,"30,706",6,142,44,59,0.0000912119,"1,043",0,145,top_5,outstanding
"494,503","59,436.2997907279",0.3187994444,0.1019125655,63,7,0.0439928793,0.3379829333,3,"39,024",47,113,43,16,0.0004797548,"1,043",0,145,top_5,outstanding
"497,656","90,933.6680596244",0.3196294502,0.1177498251,60,7,0.0157767687,0.3396873506,3,"44,841",30,91,9,30,0.0002095282,"1,043",0,145,top_5,outstanding
"490,313","66,349.5728495041",0.3156352765,0.1224489808,55,7,0.028850325,0.3342286147,3,"33,872",30,130,56,25,0.0002784999,"1,043",0,145,top_5,outstanding
