"id_user","count_i_usage","category","class","class2"
"6,701",16,top_20_25,ordinary,ordinary
"6,704",279,top_5,top_5,outstanding
"6,707",15,top_5,top_5,outstanding
"6,710",31,top_5,top_5,outstanding
"6,712",1,top_10_15,top_10_15,outstanding
"6,714",9,top_10_15,top_10_15,outstanding
"6,715",17,top_5_10,top_5_10,outstanding
"6,716",2,top_10_15,top_10_15,outstanding
"6,721",7,top_5,top_5,outstanding
"6,722",81,top_5,top_5,outstanding
"6,723",1,top_5_10,top_5_10,outstanding
"6,725",225,top_5,top_5,outstanding
"6,726",5,top_5_10,top_5_10,outstanding
"6,728",13,top_5,top_5,outstanding
"6,731",9,top_5,top_5,outstanding
"6,733",14,top_5,top_5,outstanding
"6,734",2,top_5_10,top_5_10,outstanding
"6,738",1,top_10_15,top_10_15,outstanding
"6,739",6,top_5,top_5,outstanding
"6,740",207,top_5,top_5,outstanding
"6,741",8,top_5_10,top_5_10,outstanding
"6,742",4,top_5,top_5,outstanding
"6,743",16,top_10_15,top_10_15,outstanding
"6,745",25,top_5,top_5,outstanding
"6,746",33,top_10_15,top_10_15,outstanding
"6,747",18,top_5,top_5,outstanding
"6,751",9,top_50_100,ordinary,ordinary
"6,753",247,top_5,top_5,outstanding
"6,755",3,top_5,top_5,outstanding
"6,756",1,top_40_45,ordinary,ordinary
"6,758",13,top_5,top_5,outstanding
"6,762",120,top_5,top_5,outstanding
"6,763",88,top_5,top_5,outstanding
"6,764",41,top_5,top_5,outstanding
"6,765",367,top_5,top_5,outstanding
"6,768",108,top_5,top_5,outstanding
"6,769",9,top_10_15,top_10_15,outstanding
"6,772",1,top_10_15,top_10_15,outstanding
"6,774",6,top_5,top_5,outstanding
"6,776",92,top_5,top_5,outstanding
"6,777",6,top_5_10,top_5_10,outstanding
"6,779",20,top_5,top_5,outstanding
"6,780",2,top_40_45,ordinary,ordinary
"6,781","1,106",top_5,top_5,outstanding
"6,782",38,top_5,top_5,outstanding
"6,784",2,top_25_30,ordinary,ordinary
"6,785",7,top_5,top_5,outstanding
"6,786",6,top_45_50,ordinary,ordinary
"6,787",2,top_5_10,top_5_10,outstanding
"6,790",3,top_30_35,ordinary,ordinary
"6,791",42,top_5,top_5,outstanding
"6,794",10,top_5,top_5,outstanding
"6,796",1,top_30_35,ordinary,ordinary
"6,798",31,top_5,top_5,outstanding
"6,802",188,top_5,top_5,outstanding
"6,804",1,top_40_45,ordinary,ordinary
"6,805",36,top_5,top_5,outstanding
"6,807",4,top_5,top_5,outstanding
"6,808",603,top_5,top_5,outstanding
"6,810",23,top_5_10,top_5_10,outstanding
"6,813",4,top_10_15,top_10_15,outstanding
"6,814",4,top_5_10,top_5_10,outstanding
"6,819",43,top_5_10,top_5_10,outstanding
"6,821",11,top_15_20,ordinary,ordinary
"6,822",42,top_5,top_5,outstanding
"6,825",8,top_5_10,top_5_10,outstanding
"6,827",2,top_10_15,top_10_15,outstanding
"6,829",76,top_5,top_5,outstanding
"6,830",6,top_5,top_5,outstanding
"6,831",1,top_5_10,top_5_10,outstanding
"6,835",5,top_50_100,ordinary,ordinary
"6,837",13,top_10_15,top_10_15,outstanding
"6,838",45,top_5,top_5,outstanding
"6,840",17,top_5_10,top_5_10,outstanding
"6,841",20,top_5,top_5,outstanding
"6,844",34,top_5,top_5,outstanding
"6,846",28,top_5,top_5,outstanding
"6,850",52,top_5,top_5,outstanding
"6,852",10,top_10_15,top_10_15,outstanding
"6,853",2,top_10_15,top_10_15,outstanding
"6,858",161,top_5,top_5,outstanding
"6,859",2,top_5_10,top_5_10,outstanding
"6,863",1,top_40_45,ordinary,ordinary
"6,864",54,top_5,top_5,outstanding
"6,865",2,top_5_10,top_5_10,outstanding
"6,869",47,top_5,top_5,outstanding
"6,872",15,top_10_15,top_10_15,outstanding
"6,876",41,top_5,top_5,outstanding
"6,877",17,top_5,top_5,outstanding
"6,879",6,top_30_35,ordinary,ordinary
"6,883",43,top_5,top_5,outstanding
"6,885",12,top_45_50,ordinary,ordinary
"6,891",5,top_20_25,ordinary,ordinary
"6,892",43,top_5,top_5,outstanding
"6,893",56,top_5,top_5,outstanding
"6,894",16,top_5,top_5,outstanding
"6,896",18,top_10_15,top_10_15,outstanding
"6,898",1,top_50_100,ordinary,ordinary
"6,906",26,top_5,top_5,outstanding
"6,908",2,top_20_25,ordinary,ordinary
"6,909",36,top_5,top_5,outstanding
"6,910",42,top_5,top_5,outstanding
"6,911",12,top_5_10,top_5_10,outstanding
"6,912",21,top_5_10,top_5_10,outstanding
"6,913",29,top_5,top_5,outstanding
"6,917",2,top_25_30,ordinary,ordinary
"6,918",30,top_5,top_5,outstanding
"6,920",15,top_50_100,ordinary,ordinary
"6,921",1,top_10_15,top_10_15,outstanding
"6,922",1,top_10_15,top_10_15,outstanding
"6,925",44,top_5,top_5,outstanding
"6,926",69,top_5,top_5,outstanding
"6,930",27,top_15_20,ordinary,ordinary
"6,932",10,top_5_10,top_5_10,outstanding
"6,933",13,top_10_15,top_10_15,outstanding
"6,936",1,top_40_45,ordinary,ordinary
"6,937",11,top_5_10,top_5_10,outstanding
"6,938",9,top_5,top_5,outstanding
"6,945",2,top_10_15,top_10_15,outstanding
"6,947",3,top_35_40,ordinary,ordinary
"6,949",4,top_10_15,top_10_15,outstanding
"6,950",16,top_5,top_5,outstanding
"6,952",3,top_50_100,ordinary,ordinary
"6,962",2,top_5,top_5,outstanding
"6,963",28,top_5,top_5,outstanding
"6,968",42,top_5,top_5,outstanding
"6,970",2,top_50_100,ordinary,ordinary
"6,972",2,top_15_20,ordinary,ordinary
"6,977",1,top_45_50,ordinary,ordinary
"6,978",2,top_50_100,ordinary,ordinary
"6,980",11,top_45_50,ordinary,ordinary
"6,981",1,top_5,top_5,outstanding
"6,983",14,top_5_10,top_5_10,outstanding
"6,985",13,top_5,top_5,outstanding
"6,986",1,top_10_15,top_10_15,outstanding
"6,989",193,top_5,top_5,outstanding
"6,990",18,top_10_15,top_10_15,outstanding
"6,992",3,top_25_30,ordinary,ordinary
"6,996",4,top_10_15,top_10_15,outstanding
"6,998",5,top_15_20,ordinary,ordinary
"7,001",2,top_10_15,top_10_15,outstanding
"7,002",2,top_20_25,ordinary,ordinary
"7,003",1,top_45_50,ordinary,ordinary
"7,005",11,top_5_10,top_5_10,outstanding
"7,008",5,top_5_10,top_5_10,outstanding
"7,012",1,top_10_15,top_10_15,outstanding
"7,017",4,top_20_25,ordinary,ordinary
"7,018",7,top_25_30,ordinary,ordinary
"7,019",169,top_5,top_5,outstanding
"7,021",20,top_5,top_5,outstanding
"7,023",16,top_45_50,ordinary,ordinary
"7,025",7,top_10_15,top_10_15,outstanding
"7,026",4,top_30_35,ordinary,ordinary
