"id_user","count_she_he_usage","category","class","class2"
"6,701",1,top_20_25,ordinary,ordinary
"6,704",3,top_5,top_5,outstanding
"6,710",2,top_5,top_5,outstanding
"6,725",15,top_5,top_5,outstanding
"6,731",4,top_5,top_5,outstanding
"6,733",2,top_5,top_5,outstanding
"6,734",5,top_5_10,top_5_10,outstanding
"6,740",6,top_5,top_5,outstanding
"6,741",1,top_5_10,top_5_10,outstanding
"6,742",3,top_5,top_5,outstanding
"6,753",21,top_5,top_5,outstanding
"6,762",16,top_5,top_5,outstanding
"6,763",3,top_5,top_5,outstanding
"6,764",4,top_5,top_5,outstanding
"6,765",15,top_5,top_5,outstanding
"6,768",3,top_5,top_5,outstanding
"6,769",3,top_10_15,top_10_15,outstanding
"6,776",4,top_5,top_5,outstanding
"6,779",1,top_5,top_5,outstanding
"6,781",51,top_5,top_5,outstanding
"6,782",1,top_5,top_5,outstanding
"6,787",5,top_5_10,top_5_10,outstanding
"6,794",2,top_5,top_5,outstanding
"6,798",2,top_5,top_5,outstanding
"6,802",15,top_5,top_5,outstanding
"6,805",2,top_5,top_5,outstanding
"6,808",36,top_5,top_5,outstanding
"6,822",1,top_5,top_5,outstanding
"6,829",3,top_5,top_5,outstanding
"6,838",6,top_5,top_5,outstanding
"6,850",2,top_5,top_5,outstanding
"6,858",18,top_5,top_5,outstanding
"6,864",3,top_5,top_5,outstanding
"6,869",13,top_5,top_5,outstanding
"6,883",1,top_5,top_5,outstanding
"6,892",1,top_5,top_5,outstanding
"6,896",3,top_10_15,top_10_15,outstanding
"6,906",2,top_5,top_5,outstanding
"6,910",2,top_5,top_5,outstanding
"6,912",3,top_5_10,top_5_10,outstanding
"6,913",4,top_5,top_5,outstanding
"6,918",21,top_5,top_5,outstanding
"6,925",2,top_5,top_5,outstanding
"6,926",2,top_5,top_5,outstanding
"6,932",2,top_5_10,top_5_10,outstanding
"6,938",1,top_5,top_5,outstanding
"6,939",1,top_15_20,ordinary,ordinary
"6,963",9,top_5,top_5,outstanding
"6,983",5,top_5_10,top_5_10,outstanding
"6,989",9,top_5,top_5,outstanding
"6,990",2,top_10_15,top_10_15,outstanding
"7,019",6,top_5,top_5,outstanding
"7,021",1,top_5,top_5,outstanding
"7,025",2,top_10_15,top_10_15,outstanding
"7,028",2,top_5_10,top_5_10,outstanding
"7,044",1,top_5,top_5,outstanding
"7,064",6,top_5,top_5,outstanding
"7,067",2,top_5,top_5,outstanding
"7,082",3,top_5,top_5,outstanding
"7,102",43,top_5,top_5,outstanding
"7,107",3,top_5_10,top_5_10,outstanding
"7,137",4,top_5,top_5,outstanding
"7,158",22,top_5,top_5,outstanding
"7,162",5,top_5_10,top_5_10,outstanding
"7,168",6,top_5,top_5,outstanding
"7,193",8,top_5,top_5,outstanding
"7,198",4,top_5,top_5,outstanding
"7,200",5,top_5,top_5,outstanding
"7,211",2,top_5,top_5,outstanding
"7,214",1,top_5,top_5,outstanding
"7,217",1,top_5,top_5,outstanding
"7,220",1,top_15_20,ordinary,ordinary
"7,227",1,top_15_20,ordinary,ordinary
"7,230",5,top_5,top_5,outstanding
"7,232",14,top_5,top_5,outstanding
"7,238",2,top_5,top_5,outstanding
"7,240",5,top_5_10,top_5_10,outstanding
"7,241",5,top_5_10,top_5_10,outstanding
