"id_user","count_they_usage","category","class","class2"
"6,699",5,top_50_100,ordinary,ordinary
"6,701",1,top_20_25,ordinary,ordinary
"6,704",99,top_5,top_5,outstanding
"6,707",7,top_5,top_5,outstanding
"6,710",13,top_5,top_5,outstanding
"6,714",1,top_10_15,top_10_15,outstanding
"6,715",2,top_5_10,top_5_10,outstanding
"6,716",1,top_10_15,top_10_15,outstanding
"6,717",3,top_10_15,top_10_15,outstanding
"6,720",1,top_25_30,ordinary,ordinary
"6,721",5,top_5,top_5,outstanding
"6,722",20,top_5,top_5,outstanding
"6,725",87,top_5,top_5,outstanding
"6,726",3,top_5_10,top_5_10,outstanding
"6,728",1,top_5,top_5,outstanding
"6,731",12,top_5,top_5,outstanding
"6,733",1,top_5,top_5,outstanding
"6,734",1,top_5_10,top_5_10,outstanding
"6,735",2,top_5_10,top_5_10,outstanding
"6,738",1,top_10_15,top_10_15,outstanding
"6,739",1,top_5,top_5,outstanding
"6,740",47,top_5,top_5,outstanding
"6,743",2,top_10_15,top_10_15,outstanding
"6,745",12,top_5,top_5,outstanding
"6,746",2,top_10_15,top_10_15,outstanding
"6,747",10,top_5,top_5,outstanding
"6,753",64,top_5,top_5,outstanding
"6,754",1,top_10_15,top_10_15,outstanding
"6,755",10,top_5,top_5,outstanding
"6,757",1,top_5_10,top_5_10,outstanding
"6,758",9,top_5,top_5,outstanding
"6,762",99,top_5,top_5,outstanding
"6,763",53,top_5,top_5,outstanding
"6,764",30,top_5,top_5,outstanding
"6,765",188,top_5,top_5,outstanding
"6,768",47,top_5,top_5,outstanding
"6,769",4,top_10_15,top_10_15,outstanding
"6,772",7,top_10_15,top_10_15,outstanding
"6,774",1,top_5,top_5,outstanding
"6,776",61,top_5,top_5,outstanding
"6,777",4,top_5_10,top_5_10,outstanding
"6,779",4,top_5,top_5,outstanding
"6,781",220,top_5,top_5,outstanding
"6,782",45,top_5,top_5,outstanding
"6,785",3,top_5,top_5,outstanding
"6,791",5,top_5,top_5,outstanding
"6,794",2,top_5,top_5,outstanding
"6,798",13,top_5,top_5,outstanding
"6,799",2,top_5_10,top_5_10,outstanding
"6,802",178,top_5,top_5,outstanding
"6,805",28,top_5,top_5,outstanding
"6,807",3,top_5,top_5,outstanding
"6,808",270,top_5,top_5,outstanding
"6,810",8,top_5_10,top_5_10,outstanding
"6,813",2,top_10_15,top_10_15,outstanding
"6,814",2,top_5_10,top_5_10,outstanding
"6,819",1,top_5_10,top_5_10,outstanding
"6,821",1,top_15_20,ordinary,ordinary
"6,822",15,top_5,top_5,outstanding
"6,825",1,top_5_10,top_5_10,outstanding
"6,827",2,top_10_15,top_10_15,outstanding
"6,829",36,top_5,top_5,outstanding
"6,830",4,top_5,top_5,outstanding
"6,831",2,top_5_10,top_5_10,outstanding
"6,837",9,top_10_15,top_10_15,outstanding
"6,838",30,top_5,top_5,outstanding
"6,840",11,top_5_10,top_5_10,outstanding
"6,841",8,top_5,top_5,outstanding
"6,843",1,top_15_20,ordinary,ordinary
"6,844",13,top_5,top_5,outstanding
"6,846",3,top_5,top_5,outstanding
"6,850",10,top_5,top_5,outstanding
"6,852",1,top_10_15,top_10_15,outstanding
"6,858",146,top_5,top_5,outstanding
"6,859",6,top_5_10,top_5_10,outstanding
"6,864",9,top_5,top_5,outstanding
"6,869",15,top_5,top_5,outstanding
"6,872",5,top_10_15,top_10_15,outstanding
"6,876",13,top_5,top_5,outstanding
"6,877",26,top_5,top_5,outstanding
"6,879",1,top_30_35,ordinary,ordinary
"6,883",29,top_5,top_5,outstanding
"6,885",1,top_45_50,ordinary,ordinary
"6,892",33,top_5,top_5,outstanding
"6,893",26,top_5,top_5,outstanding
"6,894",3,top_5,top_5,outstanding
"6,896",6,top_10_15,top_10_15,outstanding
"6,899",2,top_45_50,ordinary,ordinary
"6,906",28,top_5,top_5,outstanding
"6,909",18,top_5,top_5,outstanding
"6,910",7,top_5,top_5,outstanding
"6,912",3,top_5_10,top_5_10,outstanding
"6,913",16,top_5,top_5,outstanding
"6,915",3,top_15_20,ordinary,ordinary
"6,918",80,top_5,top_5,outstanding
"6,920",1,top_50_100,ordinary,ordinary
"6,921",3,top_10_15,top_10_15,outstanding
"6,924",2,top_10_15,top_10_15,outstanding
"6,925",17,top_5,top_5,outstanding
"6,926",98,top_5,top_5,outstanding
"6,932",4,top_5_10,top_5_10,outstanding
"6,933",8,top_10_15,top_10_15,outstanding
"6,937",3,top_5_10,top_5_10,outstanding
"6,938",8,top_5,top_5,outstanding
"6,949",4,top_10_15,top_10_15,outstanding
"6,950",15,top_5,top_5,outstanding
"6,962",8,top_5,top_5,outstanding
"6,963",23,top_5,top_5,outstanding
"6,968",11,top_5,top_5,outstanding
"6,969",2,top_50_100,ordinary,ordinary
