"id_user","count_we_usage","category","class","class2"
"6,699",4,top_50_100,ordinary,ordinary
"6,701",5,top_20_25,ordinary,ordinary
"6,704",36,top_5,top_5,outstanding
"6,707",4,top_5,top_5,outstanding
"6,710",1,top_5,top_5,outstanding
"6,714",1,top_10_15,top_10_15,outstanding
"6,716",1,top_10_15,top_10_15,outstanding
"6,721",1,top_5,top_5,outstanding
"6,722",7,top_5,top_5,outstanding
"6,723",2,top_5_10,top_5_10,outstanding
"6,725",20,top_5,top_5,outstanding
"6,726",5,top_5_10,top_5_10,outstanding
"6,728",3,top_5,top_5,outstanding
"6,731",3,top_5,top_5,outstanding
"6,735",3,top_5_10,top_5_10,outstanding
"6,738",2,top_10_15,top_10_15,outstanding
"6,740",66,top_5,top_5,outstanding
"6,741",1,top_5_10,top_5_10,outstanding
"6,742",6,top_5,top_5,outstanding
"6,745",1,top_5,top_5,outstanding
"6,747",1,top_5,top_5,outstanding
"6,751",1,top_50_100,ordinary,ordinary
"6,753",24,top_5,top_5,outstanding
"6,755",3,top_5,top_5,outstanding
"6,758",12,top_5,top_5,outstanding
"6,759",2,top_40_45,ordinary,ordinary
"6,762",61,top_5,top_5,outstanding
"6,763",36,top_5,top_5,outstanding
"6,764",2,top_5,top_5,outstanding
"6,765",62,top_5,top_5,outstanding
"6,768",37,top_5,top_5,outstanding
"6,772",1,top_10_15,top_10_15,outstanding
"6,774",1,top_5,top_5,outstanding
"6,776",61,top_5,top_5,outstanding
"6,779",1,top_5,top_5,outstanding
"6,780",1,top_40_45,ordinary,ordinary
"6,781",115,top_5,top_5,outstanding
"6,782",17,top_5,top_5,outstanding
"6,785",7,top_5,top_5,outstanding
"6,787",5,top_5_10,top_5_10,outstanding
"6,791",1,top_5,top_5,outstanding
"6,794",1,top_5,top_5,outstanding
"6,798",14,top_5,top_5,outstanding
"6,802",50,top_5,top_5,outstanding
"6,805",20,top_5,top_5,outstanding
"6,807",5,top_5,top_5,outstanding
"6,808",165,top_5,top_5,outstanding
"6,810",5,top_5_10,top_5_10,outstanding
"6,813",2,top_10_15,top_10_15,outstanding
"6,822",6,top_5,top_5,outstanding
"6,825",1,top_5_10,top_5_10,outstanding
"6,829",38,top_5,top_5,outstanding
"6,831",5,top_5_10,top_5_10,outstanding
"6,835",2,top_50_100,ordinary,ordinary
"6,837",5,top_10_15,top_10_15,outstanding
"6,838",11,top_5,top_5,outstanding
"6,840",32,top_5_10,top_5_10,outstanding
"6,841",2,top_5,top_5,outstanding
"6,844",13,top_5,top_5,outstanding
"6,850",4,top_5,top_5,outstanding
"6,858",98,top_5,top_5,outstanding
"6,859",1,top_5_10,top_5_10,outstanding
"6,864",9,top_5,top_5,outstanding
"6,869",9,top_5,top_5,outstanding
"6,872",2,top_10_15,top_10_15,outstanding
"6,876",5,top_5,top_5,outstanding
"6,877",7,top_5,top_5,outstanding
"6,883",7,top_5,top_5,outstanding
"6,889",3,top_50_100,ordinary,ordinary
"6,892",11,top_5,top_5,outstanding
"6,893",7,top_5,top_5,outstanding
"6,894",3,top_5,top_5,outstanding
"6,896",3,top_10_15,top_10_15,outstanding
"6,906",4,top_5,top_5,outstanding
"6,909",3,top_5,top_5,outstanding
"6,910",10,top_5,top_5,outstanding
"6,911",4,top_5_10,top_5_10,outstanding
"6,912",3,top_5_10,top_5_10,outstanding
"6,913",8,top_5,top_5,outstanding
"6,918",50,top_5,top_5,outstanding
"6,920",7,top_50_100,ordinary,ordinary
"6,921",2,top_10_15,top_10_15,outstanding
"6,924",1,top_10_15,top_10_15,outstanding
"6,925",9,top_5,top_5,outstanding
"6,926",30,top_5,top_5,outstanding
"6,930",2,top_15_20,ordinary,ordinary
"6,932",3,top_5_10,top_5_10,outstanding
"6,933",20,top_10_15,top_10_15,outstanding
"6,936",1,top_40_45,ordinary,ordinary
"6,938",1,top_5,top_5,outstanding
"6,950",1,top_5,top_5,outstanding
"6,951",1,top_50_100,ordinary,ordinary
"6,962",11,top_5,top_5,outstanding
"6,963",20,top_5,top_5,outstanding
"6,968",4,top_5,top_5,outstanding
"6,969",1,top_50_100,ordinary,ordinary
"6,980",3,top_45_50,ordinary,ordinary
"6,983",2,top_5_10,top_5_10,outstanding
"6,985",1,top_5,top_5,outstanding
"6,989",32,top_5,top_5,outstanding
"6,990",12,top_10_15,top_10_15,outstanding
"6,995",2,top_10_15,top_10_15,outstanding
"7,017",1,top_20_25,ordinary,ordinary
"7,019",7,top_5,top_5,outstanding
"7,021",6,top_5,top_5,outstanding
"7,023",2,top_45_50,ordinary,ordinary
"7,025",8,top_10_15,top_10_15,outstanding
"7,028",2,top_5_10,top_5_10,outstanding
"7,032",1,top_15_20,ordinary,ordinary
"7,036",5,top_5_10,top_5_10,outstanding
"7,044",1,top_5,top_5,outstanding
"7,052",2,top_10_15,top_10_15,outstanding
"7,064",60,top_5,top_5,outstanding
"7,067",4,top_5,top_5,outstanding
"7,071",18,top_5,top_5,outstanding
"7,077",6,top_10_15,top_10_15,outstanding
"7,079",1,top_20_25,ordinary,ordinary
"7,081",1,top_15_20,ordinary,ordinary
