"id_user","count_you_usage","category","class","class2"
"6,699",1,top_50_100,ordinary,ordinary
"6,701",1,top_20_25,ordinary,ordinary
"6,704",499,top_5,top_5,outstanding
"6,707",6,top_5,top_5,outstanding
"6,710",45,top_5,top_5,outstanding
"6,712",2,top_10_15,top_10_15,outstanding
"6,717",4,top_10_15,top_10_15,outstanding
"6,722",31,top_5,top_5,outstanding
"6,725",283,top_5,top_5,outstanding
"6,728",4,top_5,top_5,outstanding
"6,731",23,top_5,top_5,outstanding
"6,733",26,top_5,top_5,outstanding
"6,734",1,top_5_10,top_5_10,outstanding
"6,735",1,top_5_10,top_5_10,outstanding
"6,738",1,top_10_15,top_10_15,outstanding
"6,739",1,top_5,top_5,outstanding
"6,740",141,top_5,top_5,outstanding
"6,741",3,top_5_10,top_5_10,outstanding
"6,742",23,top_5,top_5,outstanding
"6,743",1,top_10_15,top_10_15,outstanding
"6,745",52,top_5,top_5,outstanding
"6,746",1,top_10_15,top_10_15,outstanding
"6,747",16,top_5,top_5,outstanding
"6,753",229,top_5,top_5,outstanding
"6,755",6,top_5,top_5,outstanding
"6,756",3,top_40_45,ordinary,ordinary
"6,758",2,top_5,top_5,outstanding
"6,759",2,top_40_45,ordinary,ordinary
"6,762",138,top_5,top_5,outstanding
"6,763",128,top_5,top_5,outstanding
"6,764",23,top_5,top_5,outstanding
"6,765",333,top_5,top_5,outstanding
"6,768",102,top_5,top_5,outstanding
"6,769",4,top_10_15,top_10_15,outstanding
"6,774",4,top_5,top_5,outstanding
"6,776",35,top_5,top_5,outstanding
"6,777",13,top_5_10,top_5_10,outstanding
"6,779",11,top_5,top_5,outstanding
"6,781",640,top_5,top_5,outstanding
"6,782",55,top_5,top_5,outstanding
"6,785",2,top_5,top_5,outstanding
"6,790",3,top_30_35,ordinary,ordinary
"6,791",6,top_5,top_5,outstanding
"6,794",5,top_5,top_5,outstanding
"6,798",7,top_5,top_5,outstanding
"6,802",481,top_5,top_5,outstanding
"6,804",4,top_40_45,ordinary,ordinary
"6,805",134,top_5,top_5,outstanding
"6,807",1,top_5,top_5,outstanding
"6,808",711,top_5,top_5,outstanding
"6,810",20,top_5_10,top_5_10,outstanding
"6,813",7,top_10_15,top_10_15,outstanding
"6,819",12,top_5_10,top_5_10,outstanding
"6,821",5,top_15_20,ordinary,ordinary
"6,822",19,top_5,top_5,outstanding
"6,827",1,top_10_15,top_10_15,outstanding
"6,829",69,top_5,top_5,outstanding
"6,830",6,top_5,top_5,outstanding
"6,835",1,top_50_100,ordinary,ordinary
"6,837",6,top_10_15,top_10_15,outstanding
"6,838",30,top_5,top_5,outstanding
"6,840",10,top_5_10,top_5_10,outstanding
"6,841",13,top_5,top_5,outstanding
"6,844",24,top_5,top_5,outstanding
"6,846",12,top_5,top_5,outstanding
"6,850",33,top_5,top_5,outstanding
"6,852",2,top_10_15,top_10_15,outstanding
"6,858",168,top_5,top_5,outstanding
"6,859",2,top_5_10,top_5_10,outstanding
"6,864",19,top_5,top_5,outstanding
"6,865",1,top_5_10,top_5_10,outstanding
"6,869",108,top_5,top_5,outstanding
"6,872",8,top_10_15,top_10_15,outstanding
"6,876",41,top_5,top_5,outstanding
"6,877",18,top_5,top_5,outstanding
"6,879",3,top_30_35,ordinary,ordinary
"6,883",99,top_5,top_5,outstanding
"6,891",12,top_20_25,ordinary,ordinary
"6,892",6,top_5,top_5,outstanding
"6,893",73,top_5,top_5,outstanding
"6,894",1,top_5,top_5,outstanding
"6,896",5,top_10_15,top_10_15,outstanding
"6,898",3,top_50_100,ordinary,ordinary
"6,906",39,top_5,top_5,outstanding
"6,909",39,top_5,top_5,outstanding
"6,910",13,top_5,top_5,outstanding
"6,911",1,top_5_10,top_5_10,outstanding
"6,912",2,top_5_10,top_5_10,outstanding
"6,913",18,top_5,top_5,outstanding
"6,918",88,top_5,top_5,outstanding
"6,920",8,top_50_100,ordinary,ordinary
"6,921",4,top_10_15,top_10_15,outstanding
"6,924",1,top_10_15,top_10_15,outstanding
"6,925",15,top_5,top_5,outstanding
"6,926",55,top_5,top_5,outstanding
"6,930",6,top_15_20,ordinary,ordinary
"6,932",3,top_5_10,top_5_10,outstanding
"6,933",1,top_10_15,top_10_15,outstanding
"6,937",1,top_5_10,top_5_10,outstanding
"6,938",8,top_5,top_5,outstanding
"6,945",2,top_10_15,top_10_15,outstanding
"6,947",1,top_35_40,ordinary,ordinary
"6,949",2,top_10_15,top_10_15,outstanding
"6,950",12,top_5,top_5,outstanding
"6,952",6,top_50_100,ordinary,ordinary
"6,962",3,top_5,top_5,outstanding
"6,963",21,top_5,top_5,outstanding
"6,968",9,top_5,top_5,outstanding
"6,978",1,top_50_100,ordinary,ordinary
"6,980",2,top_45_50,ordinary,ordinary
"6,983",7,top_5_10,top_5_10,outstanding
"6,985",11,top_5,top_5,outstanding
"6,989",67,top_5,top_5,outstanding
"6,990",16,top_10_15,top_10_15,outstanding
"6,995",3,top_10_15,top_10_15,outstanding
"6,996",2,top_10_15,top_10_15,outstanding
"6,998",2,top_15_20,ordinary,ordinary
"6,999",1,top_50_100,ordinary,ordinary
"7,001",3,top_10_15,top_10_15,outstanding
"7,003",7,top_45_50,ordinary,ordinary
"7,005",2,top_5_10,top_5_10,outstanding
"7,012",5,top_10_15,top_10_15,outstanding
"7,017",5,top_20_25,ordinary,ordinary
"7,019",71,top_5,top_5,outstanding
"7,020",1,top_15_20,ordinary,ordinary
"7,021",2,top_5,top_5,outstanding
"7,023",7,top_45_50,ordinary,ordinary
"7,025",4,top_10_15,top_10_15,outstanding
"7,028",13,top_5_10,top_5_10,outstanding
"7,030",3,top_5_10,top_5_10,outstanding
"7,036",1,top_5_10,top_5_10,outstanding
"7,044",18,top_5,top_5,outstanding
"7,049",4,top_40_45,ordinary,ordinary
"7,056",2,top_40_45,ordinary,ordinary
"7,064",253,top_5,top_5,outstanding
"7,067",9,top_5,top_5,outstanding
"7,069",1,top_30_35,ordinary,ordinary
"7,071",20,top_5,top_5,outstanding
"7,077",1,top_10_15,top_10_15,outstanding
"7,079",1,top_20_25,ordinary,ordinary
"7,082",28,top_5,top_5,outstanding
"7,083",3,top_15_20,ordinary,ordinary
"7,084",1,top_5_10,top_5_10,outstanding
"7,087",1,top_15_20,ordinary,ordinary
"7,089",4,top_10_15,top_10_15,outstanding
"7,093",1,top_15_20,ordinary,ordinary
"7,094",7,top_10_15,top_10_15,outstanding
"7,102",225,top_5,top_5,outstanding
"7,104",1,top_50_100,ordinary,ordinary
"7,107",3,top_5_10,top_5_10,outstanding
"7,111",105,top_5,top_5,outstanding
"7,112",3,top_5,top_5,outstanding
"7,113",2,top_40_45,ordinary,ordinary
"7,116",1,top_15_20,ordinary,ordinary
"7,117",16,top_5_10,top_5_10,outstanding
"7,120",3,top_40_45,ordinary,ordinary
"7,123",173,top_5,top_5,outstanding
"7,124",6,top_10_15,top_10_15,outstanding
"7,125",3,top_15_20,ordinary,ordinary
"7,127",1,top_10_15,top_10_15,outstanding
"7,129",3,top_5,top_5,outstanding
"7,131",2,top_10_15,top_10_15,outstanding
"7,133",4,top_40_45,ordinary,ordinary
"7,137",8,top_5,top_5,outstanding
"7,139",1,top_10_15,top_10_15,outstanding
"7,146",15,top_10_15,top_10_15,outstanding
"7,150",7,top_10_15,top_10_15,outstanding
"7,153",1,top_15_20,ordinary,ordinary
"7,154",4,top_10_15,top_10_15,outstanding
"7,158",139,top_5,top_5,outstanding
"7,162",4,top_5_10,top_5_10,outstanding
"7,166",19,top_10_15,top_10_15,outstanding
"7,168",25,top_5,top_5,outstanding
"7,170",5,top_50_100,ordinary,ordinary
"7,176",1,top_50_100,ordinary,ordinary
"7,182",8,top_5_10,top_5_10,outstanding
"7,184",5,top_5,top_5,outstanding
"7,186",1,top_40_45,ordinary,ordinary
"7,193",64,top_5,top_5,outstanding
"7,198",359,top_5,top_5,outstanding
"7,199",2,top_15_20,ordinary,ordinary
"7,200",14,top_5,top_5,outstanding
"7,201",2,top_15_20,ordinary,ordinary
"7,202",5,top_50_100,ordinary,ordinary
"7,208",2,top_15_20,ordinary,ordinary
"7,211",27,top_5,top_5,outstanding
"7,213",1,top_50_100,ordinary,ordinary
"7,214",8,top_5,top_5,outstanding
"7,216",24,top_5,top_5,outstanding
"7,217",9,top_5,top_5,outstanding
"7,220",6,top_15_20,ordinary,ordinary
"7,221",8,top_5_10,top_5_10,outstanding
"7,226",2,top_10_15,top_10_15,outstanding
"7,230",13,top_5,top_5,outstanding
"7,232",91,top_5,top_5,outstanding
"7,238",11,top_5,top_5,outstanding
"7,239",4,top_10_15,top_10_15,outstanding
"7,240",18,top_5_10,top_5_10,outstanding
"7,241",53,top_5_10,top_5_10,outstanding
"7,243",1,top_5_10,top_5_10,outstanding
"7,253",1,top_45_50,ordinary,ordinary
"7,254",1,top_5_10,top_5_10,outstanding
"7,257",1,top_50_100,ordinary,ordinary
"7,260",1,top_5_10,top_5_10,outstanding
"7,261",4,top_5_10,top_5_10,outstanding
"7,263",1,top_5,top_5,outstanding
"7,267",4,top_10_15,top_10_15,outstanding
"7,270",2,top_5_10,top_5_10,outstanding
"7,274",3,top_5,top_5,outstanding
"7,275",1,top_10_15,top_10_15,outstanding
"7,277",1,top_5_10,top_5_10,outstanding
"7,278",3,top_5_10,top_5_10,outstanding
"7,282",3,top_5_10,top_5_10,outstanding
"7,287",1,top_20_25,ordinary,ordinary
"7,293",3,top_10_15,top_10_15,outstanding
"7,296",1,top_15_20,ordinary,ordinary
"7,297",16,top_5,top_5,outstanding
"7,298",1,top_50_100,ordinary,ordinary
"7,301",12,top_5,top_5,outstanding
"7,305",9,top_5,top_5,outstanding
"7,308",1,top_50_100,ordinary,ordinary
"7,313",8,top_5,top_5,outstanding
"7,316",7,top_20_25,ordinary,ordinary
"7,318",12,top_5,top_5,outstanding
"7,323",3,top_20_25,ordinary,ordinary
"7,325",9,top_5,top_5,outstanding
"7,328",2,top_15_20,ordinary,ordinary
"7,330",3,top_10_15,top_10_15,outstanding
"7,332",1,top_50_100,ordinary,ordinary
"7,333",62,top_5,top_5,outstanding
"7,335",3,top_5_10,top_5_10,outstanding
"7,337",1,top_5_10,top_5_10,outstanding
"7,338",14,top_5_10,top_5_10,outstanding
"7,339",1,top_50_100,ordinary,ordinary
"7,340",7,top_10_15,top_10_15,outstanding
"7,344",2,top_15_20,ordinary,ordinary
"7,345",2,top_10_15,top_10_15,outstanding
"7,346",1,top_15_20,ordinary,ordinary
"7,351",3,top_5_10,top_5_10,outstanding
"7,359",3,top_10_15,top_10_15,outstanding
"7,361",5,top_5_10,top_5_10,outstanding
"7,369",4,top_30_35,ordinary,ordinary
"7,370",2,top_20_25,ordinary,ordinary
"7,372",3,top_20_25,ordinary,ordinary
"7,374",335,top_5,top_5,outstanding
