"id_user","count_i_usage","category","class","class2"
"28,793",1,top_50_100,ordinary,ordinary
"28,795",91,top_5,top_5,outstanding
"28,798",9,top_5_10,top_5_10,outstanding
"28,799",48,top_5,top_5,outstanding
"28,800",11,top_5,top_5,outstanding
"28,802",438,top_5,top_5,outstanding
"28,804",3,top_5,top_5,outstanding
"28,805",1,top_15_20,ordinary,ordinary
"28,809",4,top_5,top_5,outstanding
"28,810",382,top_5,top_5,outstanding
"28,811",41,top_5,top_5,outstanding
"28,812",23,top_15_20,ordinary,ordinary
"28,813",14,top_5,top_5,outstanding
"28,817",3,top_30_35,ordinary,ordinary
"28,818",349,top_5,top_5,outstanding
"28,820",83,top_5,top_5,outstanding
"28,822",13,top_5_10,top_5_10,outstanding
"28,823",7,top_5,top_5,outstanding
"28,824",1,top_5_10,top_5_10,outstanding
"28,826",5,top_25_30,ordinary,ordinary
"28,827",151,top_5,top_5,outstanding
"28,830",12,top_5_10,top_5_10,outstanding
"28,831",21,top_5,top_5,outstanding
"28,833",4,top_15_20,ordinary,ordinary
"28,835",21,top_5,top_5,outstanding
"28,838",13,top_5,top_5,outstanding
"28,840",1,top_5_10,top_5_10,outstanding
"28,841",5,top_5,top_5,outstanding
"28,842",11,top_10_15,top_10_15,outstanding
"28,845",46,top_5,top_5,outstanding
"28,848",3,top_10_15,top_10_15,outstanding
"28,849",5,top_5,top_5,outstanding
"28,852",10,top_5,top_5,outstanding
"28,853",8,top_20_25,ordinary,ordinary
"28,861",395,top_5,top_5,outstanding
"28,862",34,top_5,top_5,outstanding
"28,866",122,top_5,top_5,outstanding
"28,867",2,top_25_30,ordinary,ordinary
"28,869",137,top_5,top_5,outstanding
"28,871",152,top_5,top_5,outstanding
"28,872",237,top_5,top_5,outstanding
"28,873",5,top_5,top_5,outstanding
"28,878",2,top_5,top_5,outstanding
"28,879",13,top_5,top_5,outstanding
"28,880",8,top_5_10,top_5_10,outstanding
"28,881",3,top_20_25,ordinary,ordinary
"28,882",1,top_10_15,top_10_15,outstanding
"28,884",5,top_5,top_5,outstanding
"28,889",37,top_5,top_5,outstanding
"28,891",1,top_10_15,top_10_15,outstanding
"28,892",35,top_5,top_5,outstanding
"28,894",14,top_5,top_5,outstanding
"28,897",1,top_5_10,top_5_10,outstanding
"28,898",3,top_5_10,top_5_10,outstanding
"28,901",76,top_5,top_5,outstanding
"28,902",5,top_5_10,top_5_10,outstanding
"28,905",23,top_5,top_5,outstanding
"28,908",114,top_5,top_5,outstanding
"28,911",22,top_5,top_5,outstanding
"28,915",6,top_5_10,top_5_10,outstanding
"28,917",2,top_20_25,ordinary,ordinary
"28,920",95,top_5,top_5,outstanding
"28,924",217,top_5,top_5,outstanding
"28,926",87,top_5,top_5,outstanding
"28,930",2,top_5_10,top_5_10,outstanding
"28,931",51,top_5,top_5,outstanding
"28,932",29,top_5,top_5,outstanding
"28,935",221,top_5,top_5,outstanding
"28,938",13,top_10_15,top_10_15,outstanding
"28,939",17,top_10_15,top_10_15,outstanding
"28,941",7,top_15_20,ordinary,ordinary
"28,946",113,top_5,top_5,outstanding
"28,951",1,top_5,top_5,outstanding
"28,953",8,top_10_15,top_10_15,outstanding
"28,954",2,top_5_10,top_5_10,outstanding
"28,956",4,top_5_10,top_5_10,outstanding
"28,962",5,top_5,top_5,outstanding
"28,971",639,top_5,top_5,outstanding
"28,974",818,top_5,top_5,outstanding
"28,979",200,top_5,top_5,outstanding
"28,981",1,top_5_10,top_5_10,outstanding
"28,983",2,top_10_15,top_10_15,outstanding
"28,984",6,top_5_10,top_5_10,outstanding
"29,001",8,top_5,top_5,outstanding
"29,005",4,top_10_15,top_10_15,outstanding
"29,006",5,top_5,top_5,outstanding
"29,007",1,top_50_100,ordinary,ordinary
"29,013",6,top_5_10,top_5_10,outstanding
"29,014",3,top_10_15,top_10_15,outstanding
"29,017",1,top_20_25,ordinary,ordinary
"29,019",2,top_35_40,ordinary,ordinary
"29,023",8,top_30_35,ordinary,ordinary
"29,026",6,top_5,top_5,outstanding
"29,029",2,top_5,top_5,outstanding
"29,032",46,top_5_10,top_5_10,outstanding
"29,034",3,top_5_10,top_5_10,outstanding
"29,036",18,top_5_10,top_5_10,outstanding
"29,037",32,top_15_20,ordinary,ordinary
"29,039",4,top_5_10,top_5_10,outstanding
"29,042",10,top_5_10,top_5_10,outstanding
"29,044",59,top_5,top_5,outstanding
"29,046",2,top_30_35,ordinary,ordinary
"29,047",3,top_5_10,top_5_10,outstanding
"29,051",27,top_5,top_5,outstanding
"29,053",11,top_10_15,top_10_15,outstanding
"29,054",5,top_40_45,ordinary,ordinary
"29,055",898,top_5,top_5,outstanding
"29,057",7,top_10_15,top_10_15,outstanding
"29,061",10,top_5,top_5,outstanding
"29,063",52,top_5,top_5,outstanding
"29,064",5,top_15_20,ordinary,ordinary
"29,068",27,top_5_10,top_5_10,outstanding
"29,071",17,top_30_35,ordinary,ordinary
"29,075",17,top_5_10,top_5_10,outstanding
"29,078",4,top_10_15,top_10_15,outstanding
"29,079",14,top_10_15,top_10_15,outstanding
"29,081",25,top_5_10,top_5_10,outstanding
"29,083",663,top_5,top_5,outstanding
"29,087",9,top_10_15,top_10_15,outstanding
"29,091",1,top_30_35,ordinary,ordinary
"29,096",5,top_5_10,top_5_10,outstanding
"29,097",4,top_5_10,top_5_10,outstanding
"29,100",131,top_5,top_5,outstanding
"29,101",8,top_5,top_5,outstanding
"29,102",10,top_5_10,top_5_10,outstanding
"29,104",51,top_5,top_5,outstanding
"29,105",3,top_5_10,top_5_10,outstanding
"29,108",3,top_45_50,ordinary,ordinary
"29,110",7,top_5_10,top_5_10,outstanding
"29,113",7,top_30_35,ordinary,ordinary
"29,116",1,top_5_10,top_5_10,outstanding
"29,117",38,top_10_15,top_10_15,outstanding
"29,118",6,top_5_10,top_5_10,outstanding
"29,119",2,top_25_30,ordinary,ordinary
"29,120",2,top_25_30,ordinary,ordinary
"29,121",10,top_5,top_5,outstanding
"29,122",58,top_5_10,top_5_10,outstanding
"29,124",21,top_5_10,top_5_10,outstanding
"29,127",26,top_5_10,top_5_10,outstanding
