"id_user","count_she_he_usage","category","class","class2"
"28,795",1,top_5,top_5,outstanding
"28,802",9,top_5,top_5,outstanding
"28,810",10,top_5,top_5,outstanding
"28,813",2,top_5,top_5,outstanding
"28,818",4,top_5,top_5,outstanding
"28,820",9,top_5,top_5,outstanding
"28,827",2,top_5,top_5,outstanding
"28,853",2,top_20_25,ordinary,ordinary
"28,861",12,top_5,top_5,outstanding
"28,866",6,top_5,top_5,outstanding
"28,869",24,top_5,top_5,outstanding
"28,871",4,top_5,top_5,outstanding
"28,872",4,top_5,top_5,outstanding
"28,879",1,top_5,top_5,outstanding
"28,892",7,top_5,top_5,outstanding
"28,897",1,top_5_10,top_5_10,outstanding
"28,901",9,top_5,top_5,outstanding
"28,908",12,top_5,top_5,outstanding
"28,920",3,top_5,top_5,outstanding
"28,924",7,top_5,top_5,outstanding
"28,932",1,top_5,top_5,outstanding
"28,946",4,top_5,top_5,outstanding
"28,971",36,top_5,top_5,outstanding
"28,974",25,top_5,top_5,outstanding
"28,979",1,top_5,top_5,outstanding
"29,005",1,top_10_15,top_10_15,outstanding
"29,026",1,top_5,top_5,outstanding
"29,032",11,top_5_10,top_5_10,outstanding
"29,037",1,top_15_20,ordinary,ordinary
"29,044",2,top_5,top_5,outstanding
"29,055",32,top_5,top_5,outstanding
"29,063",1,top_5,top_5,outstanding
"29,083",19,top_5,top_5,outstanding
"29,100",3,top_5,top_5,outstanding
"29,104",6,top_5,top_5,outstanding
"29,128",2,top_20_25,ordinary,ordinary
"29,132",3,top_5,top_5,outstanding
"29,147",1,top_5,top_5,outstanding
"29,162",13,top_5,top_5,outstanding
"29,167",1,top_5,top_5,outstanding
"29,176",67,top_5,top_5,outstanding
"29,219",5,top_5,top_5,outstanding
"29,235",11,top_5,top_5,outstanding
"29,236",5,top_50_100,ordinary,ordinary
"29,280",2,top_5,top_5,outstanding
"29,286",2,top_5,top_5,outstanding
"29,290",2,top_5_10,top_5_10,outstanding
"29,315",5,top_5,top_5,outstanding
"29,328",1,top_30_35,ordinary,ordinary
"29,344",3,top_15_20,ordinary,ordinary
