"id_user","count_they_usage","category","class","class2"
"28,793",5,top_50_100,ordinary,ordinary
"28,795",58,top_5,top_5,outstanding
"28,798",6,top_5_10,top_5_10,outstanding
"28,799",9,top_5,top_5,outstanding
"28,800",4,top_5,top_5,outstanding
"28,802",76,top_5,top_5,outstanding
"28,804",1,top_5,top_5,outstanding
"28,806",3,top_10_15,top_10_15,outstanding
"28,809",5,top_5,top_5,outstanding
"28,810",124,top_5,top_5,outstanding
"28,811",3,top_5,top_5,outstanding
"28,812",2,top_15_20,ordinary,ordinary
"28,813",17,top_5,top_5,outstanding
"28,817",1,top_30_35,ordinary,ordinary
"28,818",143,top_5,top_5,outstanding
"28,820",71,top_5,top_5,outstanding
"28,823",1,top_5,top_5,outstanding
"28,827",48,top_5,top_5,outstanding
"28,830",1,top_5_10,top_5_10,outstanding
"28,831",5,top_5,top_5,outstanding
"28,835",6,top_5,top_5,outstanding
"28,838",1,top_5,top_5,outstanding
"28,841",3,top_5,top_5,outstanding
"28,842",2,top_10_15,top_10_15,outstanding
"28,845",8,top_5,top_5,outstanding
"28,848",1,top_10_15,top_10_15,outstanding
"28,849",4,top_5,top_5,outstanding
"28,852",27,top_5,top_5,outstanding
"28,855",4,top_15_20,ordinary,ordinary
"28,861",67,top_5,top_5,outstanding
"28,862",2,top_5,top_5,outstanding
"28,866",17,top_5,top_5,outstanding
"28,869",358,top_5,top_5,outstanding
"28,871",66,top_5,top_5,outstanding
"28,872",74,top_5,top_5,outstanding
"28,878",1,top_5,top_5,outstanding
"28,879",4,top_5,top_5,outstanding
"28,880",1,top_5_10,top_5_10,outstanding
"28,882",2,top_10_15,top_10_15,outstanding
"28,884",8,top_5,top_5,outstanding
"28,889",6,top_5,top_5,outstanding
"28,891",1,top_10_15,top_10_15,outstanding
"28,892",13,top_5,top_5,outstanding
"28,893",2,top_10_15,top_10_15,outstanding
"28,894",16,top_5,top_5,outstanding
"28,898",2,top_5_10,top_5_10,outstanding
"28,901",29,top_5,top_5,outstanding
"28,905",5,top_5,top_5,outstanding
"28,908",25,top_5,top_5,outstanding
"28,911",11,top_5,top_5,outstanding
"28,915",1,top_5_10,top_5_10,outstanding
"28,917",1,top_20_25,ordinary,ordinary
"28,920",46,top_5,top_5,outstanding
"28,923",1,top_5_10,top_5_10,outstanding
"28,924",58,top_5,top_5,outstanding
"28,926",10,top_5,top_5,outstanding
"28,931",13,top_5,top_5,outstanding
"28,932",5,top_5,top_5,outstanding
"28,935",21,top_5,top_5,outstanding
"28,939",2,top_10_15,top_10_15,outstanding
"28,946",46,top_5,top_5,outstanding
"28,951",6,top_5,top_5,outstanding
"28,953",2,top_10_15,top_10_15,outstanding
"28,959",1,top_35_40,ordinary,ordinary
"28,962",2,top_5,top_5,outstanding
"28,971",249,top_5,top_5,outstanding
"28,973",3,top_50_100,ordinary,ordinary
"28,974",219,top_5,top_5,outstanding
"28,979",67,top_5,top_5,outstanding
"28,981",1,top_5_10,top_5_10,outstanding
"28,984",2,top_5_10,top_5_10,outstanding
"29,001",2,top_5,top_5,outstanding
"29,026",11,top_5,top_5,outstanding
"29,032",31,top_5_10,top_5_10,outstanding
"29,036",2,top_5_10,top_5_10,outstanding
"29,037",4,top_15_20,ordinary,ordinary
"29,039",3,top_5_10,top_5_10,outstanding
"29,042",3,top_5_10,top_5_10,outstanding
"29,044",15,top_5,top_5,outstanding
"29,046",1,top_30_35,ordinary,ordinary
"29,051",2,top_5,top_5,outstanding
"29,055",419,top_5,top_5,outstanding
"29,061",2,top_5,top_5,outstanding
"29,063",17,top_5,top_5,outstanding
"29,068",4,top_5_10,top_5_10,outstanding
"29,071",8,top_30_35,ordinary,ordinary
"29,075",7,top_5_10,top_5_10,outstanding
"29,079",2,top_10_15,top_10_15,outstanding
"29,081",6,top_5_10,top_5_10,outstanding
"29,083",138,top_5,top_5,outstanding
"29,087",1,top_10_15,top_10_15,outstanding
"29,091",1,top_30_35,ordinary,ordinary
"29,096",5,top_5_10,top_5_10,outstanding
"29,097",2,top_5_10,top_5_10,outstanding
"29,100",31,top_5,top_5,outstanding
"29,101",2,top_5,top_5,outstanding
"29,104",26,top_5,top_5,outstanding
"29,110",1,top_5_10,top_5_10,outstanding
"29,113",1,top_30_35,ordinary,ordinary
"29,117",10,top_10_15,top_10_15,outstanding
"29,118",1,top_5_10,top_5_10,outstanding
"29,119",1,top_25_30,ordinary,ordinary
"29,121",2,top_5,top_5,outstanding
"29,122",11,top_5_10,top_5_10,outstanding
"29,124",3,top_5_10,top_5_10,outstanding
"29,127",1,top_5_10,top_5_10,outstanding
"29,131",2,top_10_15,top_10_15,outstanding
"29,132",169,top_5,top_5,outstanding
"29,145",1,top_15_20,ordinary,ordinary
"29,146",2,top_5,top_5,outstanding
"29,147",12,top_5,top_5,outstanding
"29,150",3,top_5_10,top_5_10,outstanding
"29,151",3,top_5,top_5,outstanding
"29,152",7,top_5,top_5,outstanding
"29,159",1,top_20_25,ordinary,ordinary
"29,162",28,top_5,top_5,outstanding
"29,163",1,top_30_35,ordinary,ordinary
"29,165",1,top_40_45,ordinary,ordinary
"29,167",2,top_5,top_5,outstanding
"29,174",9,top_5_10,top_5_10,outstanding
"29,175",2,top_5_10,top_5_10,outstanding
"29,176",279,top_5,top_5,outstanding
"29,196",11,top_5,top_5,outstanding
"29,197",3,top_5_10,top_5_10,outstanding
"29,201",8,top_5,top_5,outstanding
"29,211",1,top_15_20,ordinary,ordinary
"29,219",65,top_5,top_5,outstanding
"29,225",6,top_5,top_5,outstanding
"29,227",1,top_10_15,top_10_15,outstanding
"29,228",1,top_10_15,top_10_15,outstanding
"29,229",2,top_5_10,top_5_10,outstanding
"29,232",1,top_50_100,ordinary,ordinary
"29,235",353,top_5,top_5,outstanding
"29,236",1,top_50_100,ordinary,ordinary
"29,237",1,top_5,top_5,outstanding
"29,240",3,top_30_35,ordinary,ordinary
"29,244",1,top_5_10,top_5_10,outstanding
"29,246",1,top_10_15,top_10_15,outstanding
"29,252",3,top_5,top_5,outstanding
"29,253",1,top_35_40,ordinary,ordinary
"29,258",2,top_10_15,top_10_15,outstanding
"29,261",10,top_5,top_5,outstanding
"29,274",3,top_10_15,top_10_15,outstanding
"29,278",1,top_35_40,ordinary,ordinary
"29,280",18,top_5,top_5,outstanding
"29,286",2,top_5,top_5,outstanding
"29,290",5,top_5_10,top_5_10,outstanding
"29,296",2,top_40_45,ordinary,ordinary
"29,301",1,top_35_40,ordinary,ordinary
"29,309",1,top_10_15,top_10_15,outstanding
"29,315",61,top_5,top_5,outstanding
"29,319",6,top_5,top_5,outstanding
"29,321",1,top_45_50,ordinary,ordinary
"29,322",2,top_5_10,top_5_10,outstanding
"29,323",4,top_10_15,top_10_15,outstanding
"29,327",8,top_5,top_5,outstanding
"29,328",2,top_30_35,ordinary,ordinary
"29,332",2,top_20_25,ordinary,ordinary
"29,334",13,top_5,top_5,outstanding
"29,339",3,top_10_15,top_10_15,outstanding
"29,342",1,top_5_10,top_5_10,outstanding
"29,344",1,top_15_20,ordinary,ordinary
"29,347",16,top_5,top_5,outstanding
"29,349",1,top_50_100,ordinary,ordinary
"29,354",4,top_5_10,top_5_10,outstanding
"29,355",1,top_5_10,top_5_10,outstanding
"29,357",2,top_15_20,ordinary,ordinary
"29,367",1,top_5_10,top_5_10,outstanding
"29,371",8,top_5,top_5,outstanding
"29,374",1,top_5_10,top_5_10,outstanding
"29,376",2,top_5,top_5,outstanding
"29,377",1,top_30_35,ordinary,ordinary
"29,382",4,top_5_10,top_5_10,outstanding
"29,385",8,top_5,top_5,outstanding
"29,389",16,top_5,top_5,outstanding
"29,391",1,top_10_15,top_10_15,outstanding
"29,398",1,top_5_10,top_5_10,outstanding
"29,400",1,top_10_15,top_10_15,outstanding
"29,404",1,top_40_45,ordinary,ordinary
"29,407",3,top_10_15,top_10_15,outstanding
"29,409",2,top_5_10,top_5_10,outstanding
"29,411",5,top_5,top_5,outstanding
"29,417",24,top_5,top_5,outstanding
"29,419",4,top_5_10,top_5_10,outstanding
"29,420",3,top_15_20,ordinary,ordinary
"29,424",3,top_5,top_5,outstanding
"29,439",9,top_5,top_5,outstanding
"29,442",1,top_5,top_5,outstanding
