"id_user","count_we_usage","category","class","class2"
"28,793",8,top_50_100,ordinary,ordinary
"28,795",7,top_5,top_5,outstanding
"28,799",6,top_5,top_5,outstanding
"28,800",2,top_5,top_5,outstanding
"28,802",296,top_5,top_5,outstanding
"28,810",204,top_5,top_5,outstanding
"28,811",6,top_5,top_5,outstanding
"28,812",4,top_15_20,ordinary,ordinary
"28,813",6,top_5,top_5,outstanding
"28,818",51,top_5,top_5,outstanding
"28,820",123,top_5,top_5,outstanding
"28,823",5,top_5,top_5,outstanding
"28,827",14,top_5,top_5,outstanding
"28,838",2,top_5,top_5,outstanding
"28,845",8,top_5,top_5,outstanding
"28,848",1,top_10_15,top_10_15,outstanding
"28,849",2,top_5,top_5,outstanding
"28,853",1,top_20_25,ordinary,ordinary
"28,861",75,top_5,top_5,outstanding
"28,862",1,top_5,top_5,outstanding
"28,866",24,top_5,top_5,outstanding
"28,869",210,top_5,top_5,outstanding
"28,871",9,top_5,top_5,outstanding
"28,872",20,top_5,top_5,outstanding
"28,873",1,top_5,top_5,outstanding
"28,879",3,top_5,top_5,outstanding
"28,884",3,top_5,top_5,outstanding
"28,891",4,top_10_15,top_10_15,outstanding
"28,892",4,top_5,top_5,outstanding
"28,894",4,top_5,top_5,outstanding
"28,901",6,top_5,top_5,outstanding
"28,905",1,top_5,top_5,outstanding
"28,908",17,top_5,top_5,outstanding
"28,911",11,top_5,top_5,outstanding
"28,920",4,top_5,top_5,outstanding
"28,924",45,top_5,top_5,outstanding
"28,926",29,top_5,top_5,outstanding
"28,931",1,top_5,top_5,outstanding
"28,932",7,top_5,top_5,outstanding
"28,935",16,top_5,top_5,outstanding
"28,939",1,top_10_15,top_10_15,outstanding
"28,946",26,top_5,top_5,outstanding
"28,971",428,top_5,top_5,outstanding
"28,973",1,top_50_100,ordinary,ordinary
"28,974",125,top_5,top_5,outstanding
"28,979",67,top_5,top_5,outstanding
"28,983",1,top_10_15,top_10_15,outstanding
"28,984",2,top_5_10,top_5_10,outstanding
"29,006",3,top_5,top_5,outstanding
"29,032",19,top_5_10,top_5_10,outstanding
"29,037",5,top_15_20,ordinary,ordinary
"29,039",1,top_5_10,top_5_10,outstanding
"29,044",34,top_5,top_5,outstanding
"29,046",1,top_30_35,ordinary,ordinary
"29,051",2,top_5,top_5,outstanding
"29,054",3,top_40_45,ordinary,ordinary
"29,055",981,top_5,top_5,outstanding
"29,057",2,top_10_15,top_10_15,outstanding
"29,061",2,top_5,top_5,outstanding
"29,063",16,top_5,top_5,outstanding
"29,064",4,top_15_20,ordinary,ordinary
"29,068",2,top_5_10,top_5_10,outstanding
"29,075",2,top_5_10,top_5_10,outstanding
"29,078",1,top_10_15,top_10_15,outstanding
"29,079",1,top_10_15,top_10_15,outstanding
"29,080",2,top_5_10,top_5_10,outstanding
"29,081",4,top_5_10,top_5_10,outstanding
"29,083",34,top_5,top_5,outstanding
"29,096",1,top_5_10,top_5_10,outstanding
"29,097",2,top_5_10,top_5_10,outstanding
"29,100",7,top_5,top_5,outstanding
"29,104",5,top_5,top_5,outstanding
"29,117",2,top_10_15,top_10_15,outstanding
"29,120",2,top_25_30,ordinary,ordinary
"29,121",2,top_5,top_5,outstanding
"29,124",1,top_5_10,top_5_10,outstanding
"29,132",55,top_5,top_5,outstanding
"29,145",1,top_15_20,ordinary,ordinary
"29,147",1,top_5,top_5,outstanding
"29,152",19,top_5,top_5,outstanding
"29,162",29,top_5,top_5,outstanding
"29,175",3,top_5_10,top_5_10,outstanding
"29,176",238,top_5,top_5,outstanding
"29,181",1,top_20_25,ordinary,ordinary
"29,188",1,top_35_40,ordinary,ordinary
"29,197",3,top_5_10,top_5_10,outstanding
"29,201",9,top_5,top_5,outstanding
"29,206",1,top_10_15,top_10_15,outstanding
"29,214",1,top_5_10,top_5_10,outstanding
"29,219",66,top_5,top_5,outstanding
"29,220",1,top_5_10,top_5_10,outstanding
"29,225",7,top_5,top_5,outstanding
"29,227",1,top_10_15,top_10_15,outstanding
"29,229",2,top_5_10,top_5_10,outstanding
"29,232",3,top_50_100,ordinary,ordinary
"29,235",103,top_5,top_5,outstanding
"29,236",6,top_50_100,ordinary,ordinary
"29,237",10,top_5,top_5,outstanding
"29,241",2,top_20_25,ordinary,ordinary
"29,252",1,top_5,top_5,outstanding
"29,253",4,top_35_40,ordinary,ordinary
