"id_user","count_you_usage","category","class","class2"
"28,793",8,top_50_100,ordinary,ordinary
"28,795",357,top_5,top_5,outstanding
"28,798",2,top_5_10,top_5_10,outstanding
"28,799",38,top_5,top_5,outstanding
"28,800",13,top_5,top_5,outstanding
"28,802",504,top_5,top_5,outstanding
"28,804",1,top_5,top_5,outstanding
"28,805",1,top_15_20,ordinary,ordinary
"28,806",1,top_10_15,top_10_15,outstanding
"28,809",8,top_5,top_5,outstanding
"28,810",418,top_5,top_5,outstanding
"28,811",17,top_5,top_5,outstanding
"28,812",1,top_15_20,ordinary,ordinary
"28,813",34,top_5,top_5,outstanding
"28,816",1,top_5_10,top_5_10,outstanding
"28,818",484,top_5,top_5,outstanding
"28,820",145,top_5,top_5,outstanding
"28,823",5,top_5,top_5,outstanding
"28,827",360,top_5,top_5,outstanding
"28,830",5,top_5_10,top_5_10,outstanding
"28,831",3,top_5,top_5,outstanding
"28,833",2,top_15_20,ordinary,ordinary
"28,835",21,top_5,top_5,outstanding
"28,838",4,top_5,top_5,outstanding
"28,842",1,top_10_15,top_10_15,outstanding
"28,845",15,top_5,top_5,outstanding
"28,848",3,top_10_15,top_10_15,outstanding
"28,849",20,top_5,top_5,outstanding
"28,852",28,top_5,top_5,outstanding
"28,853",4,top_20_25,ordinary,ordinary
"28,854",2,top_30_35,ordinary,ordinary
"28,861",672,top_5,top_5,outstanding
"28,862",4,top_5,top_5,outstanding
"28,866",148,top_5,top_5,outstanding
"28,869",697,top_5,top_5,outstanding
"28,870",3,top_5_10,top_5_10,outstanding
"28,871",150,top_5,top_5,outstanding
"28,872",249,top_5,top_5,outstanding
"28,873",2,top_5,top_5,outstanding
"28,879",22,top_5,top_5,outstanding
"28,884",5,top_5,top_5,outstanding
"28,889",18,top_5,top_5,outstanding
"28,891",1,top_10_15,top_10_15,outstanding
"28,892",113,top_5,top_5,outstanding
"28,894",15,top_5,top_5,outstanding
"28,898",1,top_5_10,top_5_10,outstanding
"28,901",32,top_5,top_5,outstanding
"28,902",1,top_5_10,top_5_10,outstanding
"28,905",7,top_5,top_5,outstanding
"28,908",55,top_5,top_5,outstanding
"28,911",10,top_5,top_5,outstanding
"28,912",2,top_30_35,ordinary,ordinary
"28,915",3,top_5_10,top_5_10,outstanding
"28,917",1,top_20_25,ordinary,ordinary
"28,920",141,top_5,top_5,outstanding
"28,923",2,top_5_10,top_5_10,outstanding
"28,924",207,top_5,top_5,outstanding
"28,926",55,top_5,top_5,outstanding
"28,931",48,top_5,top_5,outstanding
"28,932",10,top_5,top_5,outstanding
"28,935",40,top_5,top_5,outstanding
"28,939",3,top_10_15,top_10_15,outstanding
"28,946",165,top_5,top_5,outstanding
"28,951",3,top_5,top_5,outstanding
"28,953",1,top_10_15,top_10_15,outstanding
"28,954",2,top_5_10,top_5_10,outstanding
"28,956",1,top_5_10,top_5_10,outstanding
"28,957",1,top_25_30,ordinary,ordinary
"28,962",2,top_5,top_5,outstanding
"28,965",15,top_30_35,ordinary,ordinary
"28,971",710,top_5,top_5,outstanding
"28,973",1,top_50_100,ordinary,ordinary
"28,974","1,519",top_5,top_5,outstanding
"28,979",254,top_5,top_5,outstanding
"29,001",1,top_5,top_5,outstanding
"29,004",1,top_30_35,ordinary,ordinary
"29,006",6,top_5,top_5,outstanding
"29,013",4,top_5_10,top_5_10,outstanding
"29,014",3,top_10_15,top_10_15,outstanding
"29,015",11,top_20_25,ordinary,ordinary
"29,016",2,top_30_35,ordinary,ordinary
"29,019",3,top_35_40,ordinary,ordinary
"29,026",57,top_5,top_5,outstanding
"29,029",1,top_5,top_5,outstanding
"29,032",62,top_5_10,top_5_10,outstanding
"29,034",2,top_5_10,top_5_10,outstanding
"29,036",4,top_5_10,top_5_10,outstanding
"29,037",13,top_15_20,ordinary,ordinary
"29,039",4,top_5_10,top_5_10,outstanding
"29,042",11,top_5_10,top_5_10,outstanding
"29,044",77,top_5,top_5,outstanding
"29,046",3,top_30_35,ordinary,ordinary
