"id_user","count","category","class"
"6,704",499,top_5,you
"6,707",6,top_5,you
"6,710",45,top_5,you
"6,712",2,top_10_15,you
"6,717",4,top_10_15,you
"6,722",31,top_5,you
"6,725",283,top_5,you
"6,728",4,top_5,you
"6,731",23,top_5,you
"6,733",26,top_5,you
"6,734",1,top_5_10,you
"6,735",1,top_5_10,you
"6,738",1,top_10_15,you
"6,739",1,top_5,you
"6,740",141,top_5,you
"6,741",3,top_5_10,you
"6,742",23,top_5,you
"6,743",1,top_10_15,you
"6,745",52,top_5,you
"6,746",1,top_10_15,you
"6,747",16,top_5,you
"6,753",229,top_5,you
"6,755",6,top_5,you
"6,758",2,top_5,you
"6,762",138,top_5,you
"6,763",128,top_5,you
"6,764",23,top_5,you
"6,765",333,top_5,you
"6,768",102,top_5,you
"6,769",4,top_10_15,you
"6,774",4,top_5,you
"6,776",35,top_5,you
"6,777",13,top_5_10,you
"6,779",11,top_5,you
"6,781",640,top_5,you
"6,782",55,top_5,you
"6,785",2,top_5,you
"6,791",6,top_5,you
"6,794",5,top_5,you
"6,798",7,top_5,you
"6,802",481,top_5,you
"6,805",134,top_5,you
"6,807",1,top_5,you
"6,808",711,top_5,you
"6,810",20,top_5_10,you
"6,813",7,top_10_15,you
"6,819",12,top_5_10,you
"6,822",19,top_5,you
"6,827",1,top_10_15,you
"6,829",69,top_5,you
"6,830",6,top_5,you
"6,837",6,top_10_15,you
"6,838",30,top_5,you
"6,840",10,top_5_10,you
"6,841",13,top_5,you
"6,844",24,top_5,you
"6,846",12,top_5,you
"6,850",33,top_5,you
"6,852",2,top_10_15,you
"6,858",168,top_5,you
"6,859",2,top_5_10,you
"6,864",19,top_5,you
"6,865",1,top_5_10,you
"6,869",108,top_5,you
"6,872",8,top_10_15,you
"6,876",41,top_5,you
"6,877",18,top_5,you
"6,883",99,top_5,you
"6,892",6,top_5,you
"6,893",73,top_5,you
"6,894",1,top_5,you
"6,896",5,top_10_15,you
"6,906",39,top_5,you
"6,909",39,top_5,you
"6,910",13,top_5,you
"6,911",1,top_5_10,you
"6,912",2,top_5_10,you
"6,913",18,top_5,you
"6,918",88,top_5,you
"6,921",4,top_10_15,you
"6,924",1,top_10_15,you
"6,925",15,top_5,you
"6,926",55,top_5,you
"6,932",3,top_5_10,you
"6,933",1,top_10_15,you
"6,937",1,top_5_10,you
"6,938",8,top_5,you
"6,945",2,top_10_15,you
"6,949",2,top_10_15,you
"6,950",12,top_5,you
"6,962",3,top_5,you
"6,963",21,top_5,you
"6,968",9,top_5,you
"6,983",7,top_5_10,you
"6,985",11,top_5,you
"6,989",67,top_5,you
"6,990",16,top_10_15,you
"6,995",3,top_10_15,you
"6,996",2,top_10_15,you
"7,001",3,top_10_15,you
"7,005",2,top_5_10,you
"7,012",5,top_10_15,you
"7,019",71,top_5,you
"7,021",2,top_5,you
"7,025",4,top_10_15,you
"7,028",13,top_5_10,you
"7,030",3,top_5_10,you
"7,036",1,top_5_10,you
"7,044",18,top_5,you
"7,064",253,top_5,you
"7,067",9,top_5,you
"7,071",20,top_5,you
"7,077",1,top_10_15,you
"7,082",28,top_5,you
"7,084",1,top_5_10,you
"7,089",4,top_10_15,you
"7,094",7,top_10_15,you
"7,102",225,top_5,you
"7,107",3,top_5_10,you
"7,111",105,top_5,you
"7,112",3,top_5,you
"7,117",16,top_5_10,you
"7,123",173,top_5,you
"7,124",6,top_10_15,you
"7,127",1,top_10_15,you
"7,129",3,top_5,you
"7,131",2,top_10_15,you
"7,137",8,top_5,you
"7,139",1,top_10_15,you
"7,146",15,top_10_15,you
"7,150",7,top_10_15,you
"7,154",4,top_10_15,you
"7,158",139,top_5,you
"7,162",4,top_5_10,you
"7,166",19,top_10_15,you
"7,168",25,top_5,you
"7,182",8,top_5_10,you
"7,184",5,top_5,you
"7,193",64,top_5,you
"7,198",359,top_5,you
"7,200",14,top_5,you
"7,211",27,top_5,you
"7,214",8,top_5,you
"7,216",24,top_5,you
"7,217",9,top_5,you
"7,221",8,top_5_10,you
"7,226",2,top_10_15,you
"7,230",13,top_5,you
"7,232",91,top_5,you
"7,238",11,top_5,you
"7,239",4,top_10_15,you
"7,240",18,top_5_10,you
"7,241",53,top_5_10,you
"7,243",1,top_5_10,you
"7,254",1,top_5_10,you
"7,260",1,top_5_10,you
"7,261",4,top_5_10,you
"7,263",1,top_5,you
"7,267",4,top_10_15,you
"7,270",2,top_5_10,you
"7,274",3,top_5,you
"7,275",1,top_10_15,you
"7,277",1,top_5_10,you
"7,278",3,top_5_10,you
"7,282",3,top_5_10,you
"7,293",3,top_10_15,you
"7,297",16,top_5,you
"7,301",12,top_5,you
"7,305",9,top_5,you
"7,313",8,top_5,you
"7,318",12,top_5,you
"7,325",9,top_5,you
"7,330",3,top_10_15,you
"7,333",62,top_5,you
"7,335",3,top_5_10,you
"7,337",1,top_5_10,you
"7,338",14,top_5_10,you
"7,340",7,top_10_15,you
"7,345",2,top_10_15,you
"7,351",3,top_5_10,you
"7,359",3,top_10_15,you
"7,361",5,top_5_10,you
"7,374",335,top_5,you
"7,378",5,top_10_15,you
"7,380",1,top_10_15,you
"7,386",63,top_5,you
"7,388",24,top_5_10,you
"7,392",11,top_5,you
"7,398",42,top_5,you
"7,403",1,top_5,you
"7,413",1,top_10_15,you
"7,415",2,top_5_10,you
"7,416",264,top_5,you
"7,419",14,top_5,you
"7,422",5,top_5_10,you
"7,429",18,top_5,you
"7,435",478,top_5,you
"7,439",50,top_5,you
"7,443",8,top_5_10,you
"7,444",1,top_5_10,you
"7,446",47,top_5,you
"7,447",3,top_5_10,you
"7,454",31,top_5,you
"7,462",1,top_5_10,you
"7,463",2,top_5_10,you
"7,466",8,top_5_10,you
"7,470",6,top_10_15,you
"7,475",39,top_5,you
"7,487",1,top_5,you
"7,489",7,top_5_10,you
"7,490",2,top_10_15,you
"7,496",3,top_10_15,you
"7,503",2,top_5_10,you
"7,505",7,top_5_10,you
"7,543",2,top_5_10,you
"7,556",5,top_5_10,you
"7,558",3,top_5_10,you
"7,565","2,280",top_5,you
"7,570",3,top_5_10,you
"7,573",13,top_5,you
"7,574",38,top_10_15,you
"7,585",3,top_5_10,you
"7,588",38,top_5,you
"7,591",16,top_5,you
"7,602",2,top_5_10,you
"7,604",73,top_5,you
"7,609",23,top_5,you
"7,616",2,top_5_10,you
"7,617",16,top_5,you
"7,618",2,top_5_10,you
"7,628",12,top_10_15,you
"7,651",14,top_5_10,you
"7,658",5,top_5_10,you
"7,660",4,top_5_10,you
"7,664",1,top_10_15,you
