"id_user","count","category","class"
"28,795",357,top_5,you
"28,798",2,top_5_10,you
"28,799",38,top_5,you
"28,800",13,top_5,you
"28,802",504,top_5,you
"28,804",1,top_5,you
"28,806",1,top_10_15,you
"28,809",8,top_5,you
"28,810",418,top_5,you
"28,811",17,top_5,you
"28,813",34,top_5,you
"28,816",1,top_5_10,you
"28,818",484,top_5,you
"28,820",145,top_5,you
"28,823",5,top_5,you
"28,827",360,top_5,you
"28,830",5,top_5_10,you
"28,831",3,top_5,you
"28,835",21,top_5,you
"28,838",4,top_5,you
"28,842",1,top_10_15,you
"28,845",15,top_5,you
"28,848",3,top_10_15,you
"28,849",20,top_5,you
"28,852",28,top_5,you
"28,861",672,top_5,you
"28,862",4,top_5,you
"28,866",148,top_5,you
"28,869",697,top_5,you
"28,870",3,top_5_10,you
"28,871",150,top_5,you
"28,872",249,top_5,you
"28,873",2,top_5,you
"28,879",22,top_5,you
"28,884",5,top_5,you
"28,889",18,top_5,you
"28,891",1,top_10_15,you
"28,892",113,top_5,you
"28,894",15,top_5,you
"28,898",1,top_5_10,you
"28,901",32,top_5,you
"28,902",1,top_5_10,you
"28,905",7,top_5,you
"28,908",55,top_5,you
"28,911",10,top_5,you
"28,915",3,top_5_10,you
"28,920",141,top_5,you
"28,923",2,top_5_10,you
"28,924",207,top_5,you
"28,926",55,top_5,you
"28,931",48,top_5,you
"28,932",10,top_5,you
"28,935",40,top_5,you
"28,939",3,top_10_15,you
"28,946",165,top_5,you
"28,951",3,top_5,you
"28,953",1,top_10_15,you
"28,954",2,top_5_10,you
"28,956",1,top_5_10,you
"28,962",2,top_5,you
"28,971",710,top_5,you
"28,974","1,519",top_5,you
"28,979",254,top_5,you
"29,001",1,top_5,you
"29,006",6,top_5,you
"29,013",4,top_5_10,you
"29,014",3,top_10_15,you
"29,026",57,top_5,you
"29,029",1,top_5,you
"29,032",62,top_5_10,you
"29,034",2,top_5_10,you
"29,036",4,top_5_10,you
"29,039",4,top_5_10,you
"29,042",11,top_5_10,you
"29,044",77,top_5,you
"29,051",4,top_5,you
"29,055","2,011",top_5,you
"29,061",2,top_5,you
"29,063",118,top_5,you
"29,068",10,top_5_10,you
"29,075",15,top_5_10,you
"29,079",2,top_10_15,you
"29,081",5,top_5_10,you
"29,083",407,top_5,you
"29,087",6,top_10_15,you
"29,096",1,top_5_10,you
"29,097",1,top_5_10,you
"29,100",114,top_5,you
"29,101",17,top_5,you
"29,102",1,top_5_10,you
"29,104",122,top_5,you
"29,110",2,top_5_10,you
"29,117",3,top_10_15,you
"29,118",12,top_5_10,you
"29,121",12,top_5,you
"29,122",7,top_5_10,you
"29,124",5,top_5_10,you
"29,127",1,top_5_10,you
"29,132",204,top_5,you
"29,147",15,top_5,you
"29,150",1,top_5_10,you
"29,151",38,top_5,you
"29,152",32,top_5,you
"29,157",5,top_5,you
"29,162",105,top_5,you
"29,174",4,top_5_10,you
"29,175",17,top_5_10,you
"29,176","1,705",top_5,you
"29,196",83,top_5,you
"29,197",19,top_5_10,you
"29,201",36,top_5,you
"29,212",1,top_10_15,you
"29,214",4,top_5_10,you
"29,219",367,top_5,you
"29,225",25,top_5,you
"29,227",4,top_10_15,you
"29,228",3,top_10_15,you
"29,235",584,top_5,you
"29,237",7,top_5,you
"29,246",2,top_10_15,you
"29,252",5,top_5,you
"29,258",7,top_10_15,you
"29,261",69,top_5,you
"29,267",1,top_10_15,you
"29,268",1,top_5_10,you
"29,280",50,top_5,you
"29,284",1,top_10_15,you
"29,286",8,top_5,you
"29,287",1,top_5_10,you
"29,290",7,top_5_10,you
"29,304",2,top_10_15,you
"29,312",2,top_10_15,you
"29,315",260,top_5,you
"29,319",10,top_5,you
"29,323",4,top_10_15,you
"29,327",3,top_5,you
"29,334",62,top_5,you
"29,347",58,top_5,you
"29,350",4,top_10_15,you
"29,354",1,top_5_10,you
"29,355",2,top_5_10,you
"29,359",4,top_5_10,you
"29,371",27,top_5,you
"29,376",7,top_5,you
"29,380",2,top_10_15,you
"29,382",3,top_5_10,you
"29,385",12,top_5,you
"29,389",78,top_5,you
"29,393",2,top_10_15,you
"29,394",1,top_10_15,you
"29,398",1,top_5_10,you
"29,400",5,top_10_15,you
"29,407",13,top_10_15,you
"29,409",7,top_5_10,you
"29,411",23,top_5,you
"29,417",47,top_5,you
"29,419",1,top_5_10,you
"29,424",7,top_5,you
"29,437",2,top_10_15,you
"29,439",73,top_5,you
"29,442",15,top_5,you
"29,443",1,top_10_15,you
"29,449",2,top_5_10,you
"29,452",2,top_5_10,you
"29,455",3,top_10_15,you
"29,458",2,top_5_10,you
"29,459",5,top_5,you
"29,462",1,top_10_15,you
"29,468",1,top_5,you
"29,470",19,top_5,you
"29,473",1,top_10_15,you
"29,483",14,top_5_10,you
"29,489",20,top_5,you
"29,496",6,top_5_10,you
"29,497",2,top_5_10,you
"29,499",1,top_5_10,you
"29,500",12,top_5_10,you
"29,502",9,top_5,you
"29,543",2,top_10_15,you
"29,553",757,top_5,you
"29,561",68,top_5,you
"29,582",53,top_5,you
"29,583",3,top_10_15,you
"29,596",3,top_10_15,you
"29,597",6,top_5_10,you
"29,606",1,top_5_10,you
"29,607",3,top_10_15,you
"29,610",10,top_5,you
"29,621",6,top_5_10,you
"29,631",24,top_5,you
"29,638",16,top_5,you
"29,640",3,top_5_10,you
"29,644",2,top_10_15,you
"29,649",19,top_5_10,you
"29,672",6,top_5_10,you
"29,679",11,top_5,you
"29,692",15,top_5,you
"29,712",25,top_5,you
"29,716",37,top_5_10,you
"29,718",2,top_10_15,you
"29,722",1,top_5_10,you
"29,723",4,top_10_15,you
"29,725",16,top_5,you
"29,727",1,top_10_15,you
"29,738",6,top_5_10,you
"29,740",2,top_5,you
"29,754",1,top_10_15,you
"29,760",73,top_5,you
"29,763",1,top_10_15,you
"29,809",8,top_5_10,you
"29,810",181,top_5,you
"29,812",3,top_5_10,you
"29,818",1,top_5_10,you
"29,824",51,top_5,you
"29,845",3,top_10_15,you
"29,850",1,top_5_10,you
"29,853",17,top_5_10,you
"29,856",10,top_5_10,you
"29,863",2,top_10_15,you
"29,864",5,top_5_10,you
"29,867",1,top_5_10,you
"29,868",1,top_5_10,you
"29,878",21,top_5,you
"29,880",3,top_5_10,you
"29,886",1,top_10_15,you
"29,902",1,top_5_10,you
"29,904",10,top_5_10,you
"29,907",1,top_10_15,you
"29,918",5,top_5_10,you
"29,921",347,top_5,you
"29,935",1,top_10_15,you
"29,936",51,top_5,you
"29,940",1,top_5_10,you
"29,941",3,top_10_15,you
"29,946",1,top_5_10,you
"29,950",2,top_10_15,you
"29,956",101,top_5,you
"29,958",9,top_5_10,you
"29,961",7,top_5_10,you
"29,975",121,top_5,you
"29,976",4,top_5,you
"29,977",5,top_5_10,you
"29,981",1,top_10_15,you
"29,991",8,top_5,you
"29,995",470,top_5,you
"30,021",67,top_5,you
"30,022",12,top_5,you
"30,040",125,top_5,you
"30,044",7,top_5_10,you
"30,060",127,top_5,you
"30,062",2,top_10_15,you
"30,063",25,top_5,you
"30,082",2,top_10_15,you
"30,092",17,top_5,you
"30,113",30,top_5_10,you
"30,116","1,090",top_5,you
"30,119",10,top_5_10,you
"30,141",1,top_5_10,you
"30,146",38,top_5,you
"30,151",2,top_5_10,you
"30,160",34,top_5,you
"30,181",330,top_5,you
"30,193",198,top_5,you
"30,209",1,top_10_15,you
"30,246",2,top_10_15,you
"30,255",12,top_5_10,you
"30,261",8,top_5_10,you
