"id_user","count","category","class"
"28,793",8,top_50_100,you
"28,805",1,top_15_20,you
"28,812",1,top_15_20,you
"28,833",2,top_15_20,you
"28,853",4,top_20_25,you
"28,854",2,top_30_35,you
"28,912",2,top_30_35,you
"28,917",1,top_20_25,you
"28,957",1,top_25_30,you
"28,965",15,top_30_35,you
"28,973",1,top_50_100,you
"29,004",1,top_30_35,you
"29,015",11,top_20_25,you
"29,016",2,top_30_35,you
"29,019",3,top_35_40,you
"29,037",13,top_15_20,you
"29,046",3,top_30_35,you
"29,054",2,top_40_45,you
"29,064",1,top_15_20,you
"29,071",11,top_30_35,you
"29,098",2,top_50_100,you
"29,108",1,top_45_50,you
"29,119",3,top_25_30,you
"29,120",2,top_25_30,you
"29,163",1,top_30_35,you
"29,165",1,top_40_45,you
"29,168",1,top_15_20,you
"29,170",1,top_20_25,you
"29,172",1,top_50_100,you
"29,181",1,top_20_25,you
"29,188",3,top_35_40,you
"29,189",1,top_30_35,you
"29,200",1,top_50_100,you
"29,203",1,top_50_100,you
"29,211",1,top_15_20,you
"29,232",8,top_50_100,you
"29,236",1,top_50_100,you
"29,240",3,top_30_35,you
"29,249",4,top_50_100,you
"29,253",2,top_35_40,you
"29,256",2,top_35_40,you
"29,262",4,top_15_20,you
"29,266",1,top_50_100,you
"29,295",1,top_30_35,you
"29,301",20,top_35_40,you
"29,321",5,top_45_50,you
"29,328",1,top_30_35,you
"29,333",1,top_50_100,you
"29,337",1,top_20_25,you
"29,344",8,top_15_20,you
"29,357",2,top_15_20,you
"29,366",6,top_20_25,you
"29,390",1,top_35_40,you
"29,402",2,top_20_25,you
"29,404",1,top_40_45,you
"29,415",3,top_20_25,you
"29,420",2,top_15_20,you
"29,426",1,top_35_40,you
"29,431",1,top_20_25,you
"29,445",9,top_30_35,you
"29,451",2,top_50_100,you
"29,457",2,top_40_45,you
"29,467",2,top_35_40,you
"29,476",4,top_30_35,you
"29,492",2,top_40_45,you
"29,494",1,top_20_25,you
"29,495",1,top_30_35,you
"29,515",1,top_30_35,you
"29,516",1,top_50_100,you
"29,523",1,top_50_100,you
"29,530",3,top_15_20,you
"29,537",1,top_35_40,you
"29,539",2,top_25_30,you
"29,557",3,top_35_40,you
"29,559",2,top_20_25,you
"29,560",2,top_20_25,you
"29,563",4,top_30_35,you
"29,577",1,top_50_100,you
"29,594",1,top_30_35,you
"29,598",4,top_50_100,you
"29,599",4,top_15_20,you
"29,602",1,top_40_45,you
"29,609",3,top_35_40,you
"29,611",6,top_30_35,you
"29,626",2,top_40_45,you
"29,646",2,top_50_100,you
"29,653",1,top_45_50,you
"29,655",4,top_30_35,you
"29,656",5,top_25_30,you
"29,657",3,top_30_35,you
"29,681",3,top_40_45,you
"29,690",1,top_50_100,you
"29,697",1,top_50_100,you
"29,698",22,top_30_35,you
"29,703",3,top_45_50,you
"29,719",5,top_15_20,you
"29,724",1,top_30_35,you
"29,736",1,top_35_40,you
"29,753",1,top_50_100,you
"29,767",3,top_15_20,you
"29,782",3,top_45_50,you
"29,785",1,top_15_20,you
"29,789",11,top_20_25,you
"29,792",1,top_50_100,you
"29,795",1,top_15_20,you
"29,798",10,top_45_50,you
"29,804",4,top_30_35,you
"29,828",1,top_45_50,you
"29,834",6,top_40_45,you
"29,846",1,top_35_40,you
"29,849",2,top_15_20,you
"29,851",1,top_25_30,you
"29,861",1,top_50_100,you
"29,882",1,top_15_20,you
"29,887",1,top_50_100,you
"29,890",3,top_40_45,you
"29,895",1,top_15_20,you
"29,906",1,top_45_50,you
"29,908",1,top_50_100,you
"29,915",3,top_15_20,you
"29,937",1,top_50_100,you
"29,938",2,top_45_50,you
"29,942",1,top_50_100,you
"29,944",1,top_35_40,you
"29,948",2,top_30_35,you
"29,953",1,top_35_40,you
"29,959",1,top_45_50,you
"29,969",1,top_20_25,you
"29,980",1,top_45_50,you
"29,989",1,top_15_20,you
"29,998",3,top_15_20,you
"30,005",1,top_15_20,you
"30,024",1,top_25_30,you
"30,026",2,top_15_20,you
"30,029",1,top_50_100,you
"30,034",1,top_45_50,you
"30,038",1,top_50_100,you
"30,042",1,top_20_25,you
"30,049",2,top_35_40,you
"30,055",1,top_35_40,you
"30,057",5,top_15_20,you
"30,059",3,top_25_30,you
"30,065",1,top_15_20,you
"30,067",1,top_50_100,you
"30,071",1,top_20_25,you
"30,077",1,top_50_100,you
"30,078",1,top_50_100,you
"30,079",1,top_15_20,you
"30,080",2,top_25_30,you
"30,086",1,top_50_100,you
"30,088",1,top_30_35,you
"30,112",1,top_20_25,you
"30,114",1,top_50_100,you
"30,122",2,top_50_100,you
"30,125",1,top_35_40,you
"30,129",1,top_35_40,you
"30,136",3,top_50_100,you
