"id_user_source","reciprocity_count","class","class2"
"6,704","1,690",top_5,outstanding
"6,707",262,top_5,outstanding
"6,710",558,top_5,outstanding
"6,714",67,top_10_15,outstanding
"6,715",47,top_5_10,outstanding
"6,721",66,top_5,outstanding
"6,722",201,top_5,outstanding
"6,723",67,top_5_10,outstanding
"6,725","2,059",top_5,outstanding
"6,731",134,top_5,outstanding
"6,734",132,top_5_10,outstanding
"6,735",66,top_5_10,outstanding
"6,739",67,top_5,outstanding
"6,740","1,454",top_5,outstanding
"6,741",201,top_5_10,outstanding
"6,742",61,top_5,outstanding
"6,743",57,top_10_15,outstanding
"6,745",393,top_5,outstanding
"6,746",175,top_10_15,outstanding
"6,747",198,top_5,outstanding
"6,753",995,top_5,outstanding
"6,755",133,top_5,outstanding
"6,762",840,top_5,outstanding
"6,763",350,top_5,outstanding
"6,764",503,top_5,outstanding
"6,765","2,673",top_5,outstanding
"6,768",580,top_5,outstanding
"6,769",61,top_10_15,outstanding
"6,774",134,top_5,outstanding
"6,776","1,577",top_5,outstanding
"6,777",65,top_5_10,outstanding
"6,779",197,top_5,outstanding
"6,781","2,181",top_5,outstanding
"6,782",159,top_5,outstanding
"6,786",67,ordinary,ordinary
"6,787",64,top_5_10,outstanding
"6,790",109,ordinary,ordinary
"6,791",261,top_5,outstanding
"6,794",63,top_5,outstanding
"6,798",195,top_5,outstanding
"6,802","2,514",top_5,outstanding
"6,805","1,068",top_5,outstanding
"6,808","2,522",top_5,outstanding
"6,810",59,top_5_10,outstanding
"6,813",67,top_10_15,outstanding
"6,819",66,top_5_10,outstanding
"6,821",67,ordinary,ordinary
"6,822",555,top_5,outstanding
"6,825",67,top_5_10,outstanding
"6,829",477,top_5,outstanding
"6,830",51,top_5,outstanding
"6,838",506,top_5,outstanding
"6,840",81,top_5_10,outstanding
"6,841",67,top_5,outstanding
"6,844",109,top_5,outstanding
"6,846",186,top_5,outstanding
"6,850",311,top_5,outstanding
"6,852",33,top_10_15,outstanding
"6,858",990,top_5,outstanding
"6,864",294,top_5,outstanding
"6,865",57,top_5_10,outstanding
"6,869",777,top_5,outstanding
"6,872",82,top_10_15,outstanding
"6,876",490,top_5,outstanding
"6,877",268,top_5,outstanding
"6,879",29,ordinary,ordinary
"6,883",389,top_5,outstanding
"6,885",67,ordinary,ordinary
"6,891",2,ordinary,ordinary
"6,892",410,top_5,outstanding
"6,893",525,top_5,outstanding
"6,894",66,top_5,outstanding
"6,896",104,top_10_15,outstanding
"6,906",331,top_5,outstanding
"6,909",60,top_5,outstanding
"6,910",245,top_5,outstanding
"6,911",153,top_5_10,outstanding
"6,912",67,top_5_10,outstanding
"6,913",261,top_5,outstanding
"6,917",63,ordinary,ordinary
"6,918",756,top_5,outstanding
"6,920",48,ordinary,ordinary
"6,925",743,top_5,outstanding
"6,926",449,top_5,outstanding
"6,930",23,ordinary,ordinary
"6,932",187,top_5_10,outstanding
"6,933",110,top_10_15,outstanding
