"id_user_source","reciprocity_count","class","class2"
"28,795",852,top_5,outstanding
"28,798",186,top_5_10,outstanding
"28,799",235,top_5,outstanding
"28,800",247,top_5,outstanding
"28,802","1,038",top_5,outstanding
"28,804",62,top_5,outstanding
"28,806",62,top_10_15,outstanding
"28,810","1,918",top_5,outstanding
"28,811",202,top_5,outstanding
"28,812",33,ordinary,ordinary
"28,813",338,top_5,outstanding
"28,818","3,652",top_5,outstanding
"28,820",489,top_5,outstanding
"28,822",123,top_5_10,outstanding
"28,823",186,top_5,outstanding
"28,826",55,ordinary,ordinary
"28,827","1,312",top_5,outstanding
"28,830",173,top_5_10,outstanding
"28,831",121,top_5,outstanding
"28,835",223,top_5,outstanding
"28,838",11,top_5,outstanding
"28,845",300,top_5,outstanding
"28,848",31,top_10_15,outstanding
"28,849",54,top_5,outstanding
"28,852",310,top_5,outstanding
"28,854",2,ordinary,ordinary
"28,861",650,top_5,outstanding
"28,862",122,top_5,outstanding
"28,866",430,top_5,outstanding
"28,869","1,186",top_5,outstanding
"28,871",367,top_5,outstanding
"28,872","1,781",top_5,outstanding
"28,875",105,top_10_15,outstanding
"28,878",62,top_5,outstanding
"28,879",146,top_5,outstanding
"28,880",55,top_5_10,outstanding
"28,884",123,top_5,outstanding
"28,889",209,top_5,outstanding
"28,892",260,top_5,outstanding
"28,894",180,top_5,outstanding
"28,901",567,top_5,outstanding
"28,905",124,top_5,outstanding
"28,908",521,top_5,outstanding
"28,911",332,top_5,outstanding
"28,915",61,top_5_10,outstanding
"28,920",792,top_5,outstanding
"28,924",366,top_5,outstanding
"28,926",230,top_5,outstanding
"28,931",269,top_5,outstanding
"28,932",118,top_5,outstanding
"28,935",705,top_5,outstanding
"28,938",62,top_10_15,outstanding
"28,946",466,top_5,outstanding
"28,954",62,top_5_10,outstanding
"28,971","1,869",top_5,outstanding
"28,974","1,921",top_5,outstanding
"28,979",161,top_5,outstanding
"29,005",62,top_10_15,outstanding
"29,013",61,top_5_10,outstanding
"29,014",44,top_10_15,outstanding
"29,026",50,top_5,outstanding
"29,032",138,top_5_10,outstanding
"29,036",122,top_5_10,outstanding
"29,037",104,ordinary,ordinary
"29,039",183,top_5_10,outstanding
"29,040",61,top_5_10,outstanding
"29,042",61,top_5_10,outstanding
"29,044",142,top_5,outstanding
"29,051",59,top_5,outstanding
"29,053",61,top_10_15,outstanding
"29,054",61,ordinary,ordinary
"29,055","6,204",top_5,outstanding
"29,061",61,top_5,outstanding
"29,063",66,top_5,outstanding
"29,068",153,top_5_10,outstanding
"29,071",76,ordinary,ordinary
"29,078",61,top_10_15,outstanding
"29,079",61,top_10_15,outstanding
"29,081",130,top_5_10,outstanding
"29,083","1,938",top_5,outstanding
"29,096",59,top_5_10,outstanding
"29,098",61,ordinary,ordinary
"29,100",270,top_5,outstanding
"29,104",415,top_5,outstanding
"29,110",108,top_5_10,outstanding
"29,113",61,ordinary,ordinary
"29,117",56,top_10_15,outstanding
"29,121",58,top_5,outstanding
"29,122",359,top_5_10,outstanding
"29,124",120,top_5_10,outstanding
"29,127",45,top_5_10,outstanding
"29,132","1,146",top_5,outstanding
"29,136",42,top_5_10,outstanding
"29,145",60,ordinary,ordinary
"29,146",158,top_5,outstanding
"29,147",159,top_5,outstanding
"29,150",60,top_5_10,outstanding
"29,151",217,top_5,outstanding
"29,152",274,top_5,outstanding
"29,157",9,top_5,outstanding
"29,161",60,top_5_10,outstanding
"29,162",205,top_5,outstanding
"29,167",24,top_5,outstanding
"29,174",58,top_5_10,outstanding
"29,175",118,top_5_10,outstanding
"29,176","7,244",top_5,outstanding
"29,188",172,ordinary,ordinary
"29,196",129,top_5,outstanding
"29,197",59,top_5_10,outstanding
"29,200",37,ordinary,ordinary
"29,201",165,top_5,outstanding
"29,206",59,top_10_15,outstanding
"29,211",51,ordinary,ordinary
"29,212",10,top_10_15,outstanding
"29,214",59,top_5_10,outstanding
"29,218",59,ordinary,ordinary
"29,219","1,427",top_5,outstanding
"29,225",222,top_5,outstanding
"29,228",33,top_10_15,outstanding
"29,229",107,top_5_10,outstanding
"29,235","2,819",top_5,outstanding
"29,236",59,ordinary,ordinary
"29,237",41,top_5,outstanding
"29,244",38,top_5_10,outstanding
"29,246",59,top_10_15,outstanding
"29,252",13,top_5,outstanding
"29,253",114,ordinary,ordinary
"29,258",118,top_10_15,outstanding
"29,261",147,top_5,outstanding
"29,266",55,ordinary,ordinary
"29,267",116,top_10_15,outstanding
"29,274",58,top_10_15,outstanding
"29,280",14,top_5,outstanding
"29,284",58,top_10_15,outstanding
"29,286",343,top_5,outstanding
"29,290",27,top_5_10,outstanding
"29,304",58,top_10_15,outstanding
"29,315",399,top_5,outstanding
"29,319",107,top_5,outstanding
"29,323",58,top_10_15,outstanding
"29,327",472,top_5,outstanding
"29,328",219,ordinary,ordinary
"29,333",58,ordinary,ordinary
"29,334",219,top_5,outstanding
"29,341",58,top_10_15,outstanding
"29,344",57,ordinary,ordinary
"29,347",118,top_5,outstanding
"29,350",43,top_10_15,outstanding
"29,352",58,top_10_15,outstanding
"29,355",86,top_5_10,outstanding
"29,358",58,ordinary,ordinary
"29,359",115,top_5_10,outstanding
"29,367",57,top_5_10,outstanding
"29,374",47,top_5_10,outstanding
"29,382",51,top_5_10,outstanding
"29,385",105,top_5,outstanding
"29,389",890,top_5,outstanding
"29,390",57,ordinary,ordinary
"29,391",34,top_10_15,outstanding
"29,392",57,ordinary,ordinary
"29,399",52,top_10_15,outstanding
"29,400",57,top_10_15,outstanding
"29,402",55,ordinary,ordinary
"29,404",57,ordinary,ordinary
"29,407",154,top_10_15,outstanding
"29,411",161,top_5,outstanding
"29,415",57,ordinary,ordinary
"29,417",403,top_5,outstanding
"29,419",56,top_5_10,outstanding
"29,420",44,ordinary,ordinary
"29,424",170,top_5,outstanding
"29,426",57,ordinary,ordinary
"29,429",57,top_10_15,outstanding
"29,439",56,top_5,outstanding
"29,442",155,top_5,outstanding
"29,448",39,top_5_10,outstanding
"29,449",136,top_5_10,outstanding
"29,451",57,ordinary,ordinary
"29,455",97,top_10_15,outstanding
"29,458",53,top_5_10,outstanding
"29,459",56,top_5,outstanding
"29,467",56,ordinary,ordinary
"29,468",271,top_5,outstanding
"29,470",68,top_5,outstanding
"29,473",56,top_10_15,outstanding
"29,476",56,ordinary,ordinary
"29,479",56,ordinary,ordinary
"29,483",100,top_5_10,outstanding
"29,484",43,ordinary,ordinary
"29,486",112,ordinary,ordinary
"29,489",201,top_5,outstanding
"29,490",56,top_10_15,outstanding
"29,494",56,ordinary,ordinary
"29,496",160,top_5_10,outstanding
"29,498",112,top_10_15,outstanding
"29,500",111,top_5_10,outstanding
"29,502",158,top_5,outstanding
"29,510",50,top_5,outstanding
"29,543",77,top_10_15,outstanding
"29,553",842,top_5,outstanding
"29,557",55,ordinary,ordinary
"29,559",35,ordinary,ordinary
"29,560",55,ordinary,ordinary
"29,561",489,top_5,outstanding
"29,569",54,ordinary,ordinary
"29,573",55,top_5_10,outstanding
"29,580",55,ordinary,ordinary
"29,582",216,top_5,outstanding
"29,583",141,top_10_15,outstanding
"29,598",53,ordinary,ordinary
