"count_ordinaries","count_outstanding","total_members","contains_outstd"
1,1,2,contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
2,0,2,dont_contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
614,113,727,contains_outstd
2,0,2,dont_contains_outstd
2,0,2,dont_contains_outstd
1,0,1,dont_contains_outstd
2,0,2,dont_contains_outstd
"1,622",204,"1,826",contains_outstd
2,0,2,dont_contains_outstd
2,0,2,dont_contains_outstd
2,0,2,dont_contains_outstd
2,0,2,dont_contains_outstd
"1,103",147,"1,250",contains_outstd
1,0,1,dont_contains_outstd
308,51,359,contains_outstd
2,0,2,dont_contains_outstd
2,0,2,dont_contains_outstd
"1,120",472,"1,592",contains_outstd
0,1,1,contains_outstd
2,0,2,dont_contains_outstd
1,0,1,dont_contains_outstd
2,0,2,dont_contains_outstd
203,19,222,contains_outstd
672,84,756,contains_outstd
1,0,1,dont_contains_outstd
"1,259",196,"1,455",contains_outstd
2,0,2,dont_contains_outstd
191,38,229,contains_outstd
405,65,470,contains_outstd
2,0,2,dont_contains_outstd
1,0,1,dont_contains_outstd
2,0,2,dont_contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
1,0,1,dont_contains_outstd
4,0,4,dont_contains_outstd
